model,macro_f1,weighted_f1
XGBoost,0.7649432918803823,0.7972267612520844
LightGBM,0.764036798443952,0.7978495618403353
Random Forest,0.7574889834191005,0.789429305233345
Logistic Regression,0.5536639729518853,0.6424663247337918
Decision Tree,0.5372586072385502,0.6181582182028558
