model,n_runs,f1_mean,f1_std,f1,roc_auc_mean,roc_auc_std,roc_auc,pr_auc_mean,pr_auc_std,pr_auc,precision_mean,precision_std,precision,recall_mean,recall_std,recall
XGBoost,6,0.9850181501343455,0.000810608042463508,0.9850 +/- 0.0008,0.9977367054007225,0.00018640194809243496,0.9977 +/- 0.0002,0.9990664918531712,7.921172917306681e-05,0.9991 +/- 0.0001,0.9806247723919682,0.0032748385258416133,0.9806 +/- 0.0033,0.9894704507450828,0.003645319420197021,0.9895 +/- 0.0036
Random Forest,6,0.9846627307473667,0.0020487161061803617,0.9847 +/- 0.0020,0.9973045437440539,0.00042352237591664825,0.9973 +/- 0.0004,0.9987318471367369,0.0003568032609779962,0.9987 +/- 0.0004,0.9781223832686795,0.004854081075804611,0.9781 +/- 0.0049,0.9913131565089658,0.003187740255424067,0.9913 +/- 0.0032
LightGBM,6,0.9846342545972697,0.0014692556996306711,0.9846 +/- 0.0015,0.9976554386518878,0.0003003688582160924,0.9977 +/- 0.0003,0.9990327905795228,0.00012878918434397894,0.9990 +/- 0.0001,0.9797720284813881,0.0035939896297774118,0.9798 +/- 0.0036,0.9895578466967841,0.0025224769367636073,0.9896 +/- 0.0025
KAN Chebyshev,6,0.9773628266696162,0.002014485358599776,0.9774 +/- 0.0020,0.9958443453510721,0.0006679307447633893,0.9958 +/- 0.0007,0.9982884528516113,0.000274434589619453,0.9983 +/- 0.0003,0.9847814621284123,0.0026687996787369186,0.9848 +/- 0.0027,0.9700775107859169,0.0052144092751385115,0.9701 +/- 0.0052
Decision Tree (d=5),6,0.9745238580986461,0.0031883632826120232,0.9745 +/- 0.0032,0.9922792033213724,0.002000399628265139,0.9923 +/- 0.0020,0.9946077997475283,0.0017298207180060305,0.9946 +/- 0.0017,0.9890780294040842,0.0021158256971423386,0.9891 +/- 0.0021,0.9604250159363653,0.007318854701497766,0.9604 +/- 0.0073
Logistic Regression,6,0.9692175853552153,0.003573277931544929,0.9692 +/- 0.0036,0.99135713745382,0.0014343034559917039,0.9914 +/- 0.0014,0.996317657676211,0.0006605304666135688,0.9963 +/- 0.0007,0.9811508704323693,0.004470341896132499,0.9812 +/- 0.0045,0.9576178136230519,0.0077059956910611824,0.9576 +/- 0.0077
