board,model,acquisitions,mean_call_us,mean_power_W,energy_uJ_per_call
Mega 2560,coeff,2,1395.187604651163,0.35308706238883525,492.62269279449356
Mega 2560,lut,2,224.84151424287856,0.35418970260004157,79.63654906182816
Mega 2560,mlp,2,1340.6797094972067,0.3560124236925739,477.2986327821865
Mega 2560,kanml,2,12223.855510204081,0.35520495341741715,4341.974027083279
Mega 2560,dt5,2,15.732680780646687,0.35805480924165295,5.633162015749706
ESP32-C3,coeff,2,5.21331316821833,0.1677757408641131,0.8746674791533703
ESP32-C3,lut,2,3.326822253617338,0.16579407397917062,0.5515674148317842
ESP32-C3,mlp,2,19.8210599598968,0.16982809677612168,3.3661728890595795
ESP32-C3,kanml,2,54.18651369559917,0.17387270383386116,9.421555647672513
ESP32-C3,dt5,2,0.738560679962703,0.1688052223645655,0.12467289981082876
