exp,non adattato,8 etichette,32 etichette,128 etichette,rifit completo n=8,rifit completo n=32,rifit completo n=128
bot->bot,0.9931,,,,,,
bot->ton,0.5158,0.724,0.8167,0.8533,0.62,0.8359,0.8911
bot->unsw,0.4706,0.6595,0.716,0.7515,0.6239,0.7304,0.7658
ton->bot,0.6313,0.7195,0.5823,0.5995,0.5537,0.5379,0.5387
ton->ton,0.9613,,,,,,
ton->unsw,0.2612,0.6913,0.72,0.7479,0.7051,0.7378,0.7681
unsw->bot,0.5919,0.79,0.7895,0.6983,0.7353,0.7393,0.6567
unsw->ton,0.3255,0.6906,0.753,0.7634,0.6354,0.8441,0.886
unsw->unsw,0.8008,,,,,,
