exp,non adattato,8 etichette,32 etichette,128 etichette,rifit completo n=8,rifit completo n=32,rifit completo n=128
bot->bot,0.9931,,,,,,
bot->ton,0.634,0.7751,0.8003,0.8623,0.632,0.8115,0.9003
bot->unsw,0.4551,0.6488,0.7381,0.7552,0.6771,0.7492,0.7717
ton->bot,0.5554,0.7724,0.8657,0.9018,0.7573,0.7787,0.7671
ton->ton,0.9705,,,,,,
ton->unsw,0.2237,0.6433,0.7158,0.7494,0.6566,0.7407,0.7692
unsw->bot,0.7368,,,,,,
unsw->ton,0.2984,0.6093,0.7065,0.8365,0.6747,0.8143,0.9075
unsw->unsw,0.8184,,,,,,
