exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,guadagni_q15,bias,iters_used
bot->ton,48,intero + guadagni float  n=128,0.8614604938145205,20.0,,128.0,21.0,,,
bot->ton,48,intero + guadagni interi n=128,0.8485433524671205,20.0,,128.0,,"[61, 66, 129, 120, 44, -38, -74, -283, 128, 223, 1024, -520]",2569.0,6000.0
bot->ton,49,float non adattato,0.6448951253391951,20.0,,,,,,
bot->ton,49,intero non adattato,0.582955740516508,20.0,0.9015082234426159,,,,,
bot->ton,49,intero + guadagni float  n=8,0.5297505494311183,20.0,,8.0,1.0,,,
bot->ton,49,intero + guadagni interi n=8,0.4959521120922431,20.0,,8.0,,"[-76, -42, -161, -55, 29, 508, 506, 58, -10, 49, 1079, -7375]",6000.0,6000.0
bot->ton,49,intero + guadagni float  n=32,0.6664418783881667,20.0,,32.0,5.0,,,
bot->ton,49,intero + guadagni interi n=32,0.7869217013741916,20.0,,32.0,,"[-27, 49, -32, -29, 66, 12, 102, -340, -4, -6, 1287, -26]",6006.0,6000.0
bot->ton,49,intero + guadagni float  n=128,0.790169276661466,20.0,,128.0,22.0,,,
bot->ton,49,intero + guadagni interi n=128,0.7778453974293014,20.0,,128.0,,"[-4, 33, -19, 46, 81, 30, 20, -283, -3, -6, 1401, -56]",926.0,6000.0
bot->ton,50,float non adattato,0.6464260769483927,20.0,,,,,,
bot->ton,50,intero non adattato,0.6450100983588234,20.0,0.8083802826912051,,,,,
bot->ton,50,intero + guadagni float  n=8,0.7405276914511019,20.0,,8.0,3.0,,,
bot->ton,50,intero + guadagni interi n=8,0.7848692712071796,20.0,,8.0,,"[-53, -44, 9, -74, 26, 1, -4, -227, 68, 37, 1967, 137]",4561.0,6000.0
bot->ton,50,intero + guadagni float  n=32,0.7017373985497127,20.0,,32.0,12.0,,,
bot->ton,50,intero + guadagni interi n=32,0.6728554586555,20.0,,32.0,,"[-92, -167, -158, -164, -26, 22, 96, -512, 18, -42, 1032, -135]",6000.0,6000.0
bot->ton,50,intero + guadagni float  n=128,0.5870133564589696,20.0,,128.0,51.0,,,
bot->ton,50,intero + guadagni interi n=128,0.554687608454544,20.0,,128.0,,"[-83, -93, 22, -146, 21, 17, 61, -512, 32, -18, 985, -40]",6000.0,6000.0
bot->ton,51,float non adattato,0.5689844611687561,20.0,,,,,,
bot->ton,51,intero non adattato,0.6269554573002242,20.0,0.7860720327137124,,,,,
bot->ton,51,intero + guadagni float  n=8,0.6853138500807827,20.0,,8.0,2.0,,,
bot->ton,51,intero + guadagni interi n=8,0.6840974406501735,20.0,,8.0,,"[154, 151, -201, -198, 215, 439, -425, -227, 122, 166, 1962, -751]",6000.0,6000.0
bot->ton,51,intero + guadagni float  n=32,0.8417755632438041,20.0,,32.0,11.0,,,
bot->ton,51,intero + guadagni interi n=32,0.8483540411010257,20.0,,32.0,,"[52, 232, 122, 64, 160, -19, -753, -229, 256, 256, 1392, 140]",0.0,6000.0
bot->ton,51,intero + guadagni float  n=128,0.8725448454934563,20.0,,128.0,25.0,,,
bot->ton,51,intero + guadagni interi n=128,0.8771103984327195,20.0,,128.0,,"[6, 16, 10, 62, 152, -57, -230, -276, 256, 142, 1518, -399]",0.0,6000.0
bot->unsw,42,float non adattato,0.46731929054707244,20.0,,,,,,
bot->unsw,42,intero non adattato,0.46272385889689893,20.0,0.913941313214811,,,,,
bot->unsw,42,intero + guadagni float  n=8,0.5381250711394097,20.0,,8.0,4.0,,,
bot->unsw,42,intero + guadagni interi n=8,0.5386721893742925,20.0,,8.0,,"[56, 128, -242, -49, -16, -108, -94, -423, -58, -15, -784, -165]",1769.0,6000.0
bot->unsw,42,intero + guadagni float  n=32,0.48856497052316966,20.0,,32.0,17.0,,,
bot->unsw,42,intero + guadagni interi n=32,0.5291283260763598,20.0,,32.0,,"[113, 123, -139, -256, -256, -153, -256, 9, -37, 78, -1397, 23196]",1033.0,6000.0
bot->unsw,42,intero + guadagni float  n=128,0.5187783751547007,20.0,,128.0,61.0,,,
bot->unsw,42,intero + guadagni interi n=128,0.6914485312659393,20.0,,128.0,,"[21, 103, -69, -208, -151, -238, -256, 90, -211, 105, -2048, 800]",8.0,6000.0
bot->unsw,43,float non adattato,0.47414338612025436,20.0,,,,,,
bot->unsw,43,intero non adattato,0.45765516381144805,20.0,0.9204883709197316,,,,,
bot->unsw,43,intero + guadagni float  n=8,0.46952903560182374,20.0,,8.0,4.0,,,
bot->unsw,43,intero + guadagni interi n=8,0.4636820838610468,20.0,,8.0,,"[87, -8, -169, -46, -60, -4096, -23, -534, -11, 132, 615, 288]",1925.0,6000.0
bot->unsw,43,intero + guadagni float  n=32,0.5010936465959643,20.0,,32.0,20.0,,,
bot->unsw,43,intero + guadagni interi n=32,0.5022501496713319,20.0,,32.0,,"[27, -6, 24, -256, -45, -2048, -398, -924, -256, 214, -2011, 2048]",4.0,6000.0
bot->unsw,43,intero + guadagni float  n=128,0.5173155007304054,20.0,,128.0,74.0,,,
bot->unsw,43,intero + guadagni interi n=128,0.5176780207251411,20.0,,128.0,,"[71, 90, -75, -138, -23, -665, -57, -132, -163, 94, -961, 1956]",0.0,6000.0
bot->unsw,44,float non adattato,0.4604617225770799,20.0,,,,,,
bot->unsw,44,intero non adattato,0.45842327541405126,20.0,0.9101341622909657,,,,,
bot->unsw,44,intero + guadagni float  n=8,0.37487140999989055,20.0,,8.0,5.0,,,
bot->unsw,44,intero + guadagni interi n=8,0.6159782728187508,20.0,,8.0,,"[128, -256, -29, 8, -55, 206, -124, 215, -256, 109, -1542, 2048]",627.0,6000.0
bot->unsw,44,intero + guadagni float  n=32,0.5022542287393165,20.0,,32.0,17.0,,,
bot->unsw,44,intero + guadagni interi n=32,0.7607893504711549,20.0,,32.0,,"[81, 86, 41, 100, -128, 284, -1024, -8, -256, -112, -1244, 1737]",4111.0,6000.0
bot->unsw,44,intero + guadagni float  n=128,0.5045955996165832,20.0,,128.0,73.0,,,
bot->unsw,44,intero + guadagni interi n=128,0.5124404012652695,20.0,,128.0,,"[79, 6, -51, -111, -48, -80, -512, 69, 162, -28, -391, 2048]",0.0,6000.0
bot->unsw,45,float non adattato,0.4609929737585514,20.0,,,,,,
bot->unsw,45,intero non adattato,0.45543223402861155,20.0,0.9133242520559003,,,,,
bot->unsw,45,intero + guadagni float  n=8,0.3326966856890001,20.0,,8.0,4.0,,,
bot->unsw,45,intero + guadagni interi n=8,0.3927845280461806,20.0,,8.0,,"[1, 162, -1, -105, 12, -418, -1024, 11, 89, 14, 178, -6180]",0.0,6000.0
bot->unsw,45,intero + guadagni float  n=32,0.6096218089701003,20.0,,32.0,14.0,,,
bot->unsw,45,intero + guadagni interi n=32,0.7714159098586343,20.0,,32.0,,"[-56, 31, 46, 233, -69, -87, -85, 44, -198, 145, -373, 1035]",4563.0,6000.0
bot->unsw,45,intero + guadagni float  n=128,0.6250661722260628,20.0,,128.0,69.0,,,
bot->unsw,45,intero + guadagni interi n=128,0.7789888026371667,20.0,,128.0,,"[-39, -9, 52, 153, -74, -48, -87, -105, -228, 184, -692, 1437]",991.0,6000.0
bot->unsw,46,float non adattato,0.46434544972117764,20.0,,,,,,
bot->unsw,46,intero non adattato,0.4576898516179572,20.0,0.9216371137061314,,,,,
bot->unsw,46,intero + guadagni float  n=8,0.4661625525366556,20.0,,8.0,5.0,,,
bot->unsw,46,intero + guadagni interi n=8,0.45466875141723523,20.0,,8.0,,"[339, 249, -256, -42, -71, -442, 279, 465, 251, 256, 160, -1203]",5624.0,6000.0
bot->unsw,46,intero + guadagni float  n=32,0.47941579706692683,20.0,,32.0,15.0,,,
bot->unsw,46,intero + guadagni interi n=32,0.4822827512550349,20.0,,32.0,,"[23, 27, -36, -201, 11, -1024, -257, 389, 136, 256, -613, 599]",2832.0,6000.0
bot->unsw,46,intero + guadagni float  n=128,0.4859223272491416,20.0,,128.0,65.0,,,
bot->unsw,46,intero + guadagni interi n=128,0.499934632107721,20.0,,128.0,,"[27, 21, 11, 38, -68, -512, -291, 143, -71, 0, -114, 722]",0.0,6000.0
bot->unsw,47,float non adattato,0.4687845310442219,20.0,,,,,,
bot->unsw,47,intero non adattato,0.45418725291942214,20.0,0.9268763122251846,,,,,
bot->unsw,47,intero + guadagni float  n=8,0.5094655395073775,20.0,,8.0,1.0,,,
bot->unsw,47,intero + guadagni interi n=8,0.5012635126286635,20.0,,8.0,,"[-128, 41, 256, 0, -123, 77, -342, -350, 693, -61, 347, -405]",5085.0,6000.0
bot->unsw,47,intero + guadagni float  n=32,0.6165846255556922,20.0,,32.0,17.0,,,
bot->unsw,47,intero + guadagni interi n=32,0.6659511853787521,20.0,,32.0,,"[-45, 256, 61, -183, 93, 303, -189, -512, 280, -55, -967, 2828]",20.0,6000.0
bot->unsw,47,intero + guadagni float  n=128,0.4936433129944325,20.0,,128.0,70.0,,,
bot->unsw,47,intero + guadagni interi n=128,0.6601434859178033,20.0,,128.0,,"[61, 110, -60, -175, 24, -12, -206, 82, -2, 101, -885, 898]",-1.0,6000.0
bot->unsw,48,float non adattato,0.45922300637646885,20.0,,,,,,
bot->unsw,48,intero non adattato,0.4536785320193706,20.0,0.9124898611806437,,,,,
bot->unsw,48,intero + guadagni float  n=8,0.3934893292930002,20.0,,8.0,4.0,,,
bot->unsw,48,intero + guadagni interi n=8,0.38801329287966213,20.0,,8.0,,"[45, -106, -1, 53, -9, -115, -247, -512, 581, 256, 685, -4227]",256.0,6000.0
bot->unsw,48,intero + guadagni float  n=32,0.4646047017200341,20.0,,32.0,15.0,,,
bot->unsw,48,intero + guadagni interi n=32,0.4685293452480445,20.0,,32.0,,"[-128, -12, 205, 95, -13, -53, -512, -216, -81, 197, 793, 1047]",0.0,6000.0
bot->unsw,48,intero + guadagni float  n=128,0.5139440251258192,20.0,,128.0,64.0,,,
bot->unsw,48,intero + guadagni interi n=128,0.5223406154216925,20.0,,128.0,,"[33, -18, 82, -42, -128, -37, -512, -27, -184, 32, -192, 1563]",157.0,6000.0
bot->unsw,49,float non adattato,0.4598239595264359,20.0,,,,,,
bot->unsw,49,intero non adattato,0.5603019096692703,20.0,0.8242695198953712,,,,,
bot->unsw,49,intero + guadagni float  n=8,0.53792404761275,20.0,,8.0,4.0,,,
bot->unsw,49,intero + guadagni interi n=8,0.39560824831322206,20.0,,8.0,,"[-256, 50, -256, -13, -256, -54, -174, -224, 1024, 64, 107, 272]",2411.0,6000.0
bot->unsw,49,intero + guadagni float  n=32,0.6694368870571432,20.0,,32.0,15.0,,,
bot->unsw,49,intero + guadagni interi n=32,0.7783950856238224,20.0,,32.0,,"[-92, 21, -96, 23, -256, -60, -204, 5, -256, 172, -2048, 1818]",299.0,6000.0
bot->unsw,49,intero + guadagni float  n=128,0.6814284041124277,20.0,,128.0,63.0,,,
bot->unsw,49,intero + guadagni interi n=128,0.6914933854337117,20.0,,128.0,,"[-43, 147, -30, -68, -256, -85, -249, 162, -256, 103, -2048, 1487]",1120.0,6000.0
bot->unsw,50,float non adattato,0.46380320402330094,20.0,,,,,,
bot->unsw,50,intero non adattato,0.4563563475650571,20.0,0.9194521738792967,,,,,
bot->unsw,50,intero + guadagni float  n=8,0.48446864336411594,20.0,,8.0,5.0,,,
bot->unsw,50,intero + guadagni interi n=8,0.4866874592534418,20.0,,8.0,,"[-68, 202, -178, -212, -13, -394, -491, 51, 53, 256, -283, 446]",0.0,6000.0
bot->unsw,50,intero + guadagni float  n=32,0.4866265306973301,20.0,,32.0,18.0,,,
bot->unsw,50,intero + guadagni interi n=32,0.6596711463870084,20.0,,32.0,,"[-95, 56, -32, -53, -256, -312, -253, -129, -77, 97, -879, 1583]",16.0,6000.0
bot->unsw,50,intero + guadagni float  n=128,0.6038756700662995,20.0,,128.0,68.0,,,
bot->unsw,50,intero + guadagni interi n=128,0.5218161463977763,20.0,,128.0,,"[-40, 21, 127, 126, -46, 48, 38, -173, -16, -31, -119, 184]",6003.0,6000.0
bot->unsw,51,float non adattato,0.4732922841416116,20.0,,,,,,
bot->unsw,51,intero non adattato,0.4597055291199783,20.0,0.9258051871946227,,,,,
bot->unsw,51,intero + guadagni float  n=8,0.7188448796211933,20.0,,8.0,5.0,,,
bot->unsw,51,intero + guadagni interi n=8,0.719747489707055,20.0,,8.0,,"[42, 153, 248, 77, -89, 708, 2023, 477, -203, 256, -1806, 1547]",5700.0,6000.0
bot->unsw,51,intero + guadagni float  n=32,0.4836617220514474,20.0,,32.0,15.0,,,
bot->unsw,51,intero + guadagni interi n=32,0.5032707282054153,20.0,,32.0,,"[85, 109, 72, 194, -256, 352, 202, 396, 68, 256, -1380, 1113]",5710.0,6000.0
bot->unsw,51,intero + guadagni float  n=128,0.4955406758155824,20.0,,128.0,48.0,,,
bot->unsw,51,intero + guadagni interi n=128,0.6599363744723992,20.0,,128.0,,"[-11, 29, -9, 75, -181, -10, -18, 84, 127, 256, -1446, 1230]",3556.0,6000.0
