exp,model,8,32,128,512
bot->ton,DecisionTree(d=5),0.7164,0.8847,0.8641,0.8974
bot->ton,"KAN(cat,1L)",0.6331,0.8583,0.9512,0.9132
bot->ton,LightGBM,0.5,0.5,0.851,0.8787
bot->ton,MLP(16),,0.5338,0.5613,0.6361
bot->ton,XGBoost,0.5,0.807,0.8978,0.92
ton->bot,DecisionTree(d=5),0.6006,0.6089,0.8667,0.8059
ton->bot,"KAN(cat,1L)",0.7472,0.755,0.7515,0.7434
ton->bot,LightGBM,0.5,0.5,0.7028,0.7734
ton->bot,MLP(16),,0.5049,0.4238,0.531
ton->bot,XGBoost,,0.5,0.7912,0.6469
