accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fold,task
0.9744841147622544,0.9761789344593126,0.9934694395130612,0.9729578689186252,0.9831066773328314,0.9318585263786086,0.9955916824490048,0.9983939337986522,9794,206,871,31338,0.0206,0.0270421310813747,"KAN(cat,1L)",42,1,binary
0.991542088180246,0.9919757707473068,0.9977497187148392,0.9911515414946132,0.9944396853827584,0.9768723587506078,0.996586839082244,0.9980394497278214,9928,72,285,31924,0.0072,0.0088484585053866,DecisionTree(d=5),42,1,binary
0.9987680352531452,0.9984342916576112,0.9993167914039937,0.9990685833152224,0.99919267194535,0.996593848542228,0.9999878869260144,0.9999962255723144,9978,22,30,32179,0.0022,0.0009314166847775,LightGBM,42,1,binary
0.9981046696202232,0.9969998152690244,0.9984176724271664,0.9990996305380484,0.9987585350713842,0.9947551673082768,0.999971290633053,0.999990834044451,9949,51,29,32180,0.0051,0.0009003694619516,XGBoost,42,1,binary
0.995830273164491,0.99457868608153,0.9975768119543944,0.99695737216306,0.9972669958694368,0.9884766382587574,0.9995202086373376,0.9998493034699484,9922,78,98,32111,0.0078,0.0030426278369399,MLP(16),42,1,binary
0.9744130398730128,0.9766495094538794,0.99393862460728,0.9723990189077588,0.9830508474576272,0.931827186681896,0.9959540904716072,0.9985895383373732,9809,191,889,31320,0.0191,0.0276009810922412,"KAN(cat,1L)",42,2,binary
0.9913051718827738,0.9920618693532864,0.9979669710997122,0.9906237387065728,0.9942817967934436,0.9762635501100588,0.9967691095656492,0.9981892320502356,9935,65,302,31907,0.0065,0.0093762612934273,DecisionTree(d=5),42,2,binary
0.9987206519936508,0.9983687680461985,0.9992857364678116,0.9990375360923964,0.9991616208663252,0.9964628374357264,0.99997542146605,0.9999928806086624,9977,23,31,32178,0.0023,0.0009624639076034,LightGBM,42,2,binary
0.9984363524366842,0.9978032444347852,0.998944459967092,0.9990064888695708,0.9989754734554486,0.995675151986604,0.9999646294513956,0.9999895949455612,9966,34,32,32177,0.0034,0.0009935111304293,XGBoost,42,2,binary
0.9955459736075244,0.994806119407619,0.9979473144030108,0.996212238815238,0.9970790217830396,0.9877119218230354,0.9992712720047192,0.9997804920703076,9934,66,122,32087,0.0066,0.003787761184762,MLP(16),42,2,binary
0.974768414319221,0.9765375997392034,0.9936283522475116,0.9731751994784068,0.9832954278095836,0.9326183048573872,0.9959019094042038,0.9985427366938522,9799,201,864,31345,0.0201,0.0268248005215933,"KAN(cat,1L)",42,3,binary
0.9929398943353314,0.9933053804837156,0.9981268146483094,0.9926107609674316,0.9953611457036114,0.9806589509611828,0.9972216538855598,0.9983900143212834,9940,60,238,31971,0.006,0.0073892390325685,DecisionTree(d=5),42,3,binary
0.998862801772134,0.9985998152690242,0.9994099195627192,0.9990996305380484,0.9992547509626132,0.996856164451714,0.9999899298332764,0.99999687981541,9981,19,29,32180,0.0019,0.0009003694619516,LightGBM,42,3,binary
0.9986969603639034,0.99818086249185,0.9991307047500776,0.9991617249837004,0.9991462146261196,0.9963960792611244,0.9999836055139868,0.9999949134040766,9972,28,27,32182,0.0028,0.0008382750162997,XGBoost,42,3,binary
0.9924660617403872,0.9922709040951287,0.9974729354506598,0.9926418081902574,0.9950515078895772,0.9793255741485228,0.999367533919091,0.9997834908658464,9919,81,237,31972,0.0081,0.0073581918097426,MLP(16),42,3,binary
0.9761893479909022,0.9767791107799304,0.9930162742929372,0.9756582215598608,0.9842607238500932,0.9360152054450426,0.9956365437158472,0.9983868012643105,9779,221,784,31424,0.0221,0.024341778440139,"KAN(cat,1L)",42,4,binary
0.9926080363912054,0.9921915548931942,0.9973181988274916,0.9929831097863884,0.9951459331632336,0.97969550898368,0.9966615809736712,0.9980993248434604,9914,86,226,31982,0.0086,0.0070168902136115,DecisionTree(d=5),42,4,binary
0.9984600075815012,0.998025608544461,0.999130407776639,0.998851217088922,0.9989907929262348,0.9957424280712934,0.9999854880774964,0.9999954893045332,9972,28,37,32171,0.0028,0.0011487829110779,LightGBM,42,4,binary
0.9981283169067476,0.997394560357675,0.9987581110869632,0.9987891207153502,0.9987736156604624,0.9948234202903432,0.9999775785519126,0.9999930195461326,9960,40,39,32169,0.004,0.0012108792846497,XGBoost,42,4,binary
0.9935557240333586,0.9916058618976652,0.9962396668531296,0.9953117237953304,0.9957754791414284,0.9821977547331864,0.9990358699701936,0.9996328058234992,9879,121,151,32057,0.0121,0.0046882762046696,MLP(16),42,4,binary
0.9741755117513268,0.975528514654744,0.9930599569020154,0.9729570293094884,0.9829057148234114,0.9309618535704092,0.9956056911326376,0.998387870431028,9781,219,871,31337,0.0219,0.0270429706905116,"KAN(cat,1L)",42,5,binary
0.9912812736921912,0.991804868355688,0.9977488744372186,0.990809736711376,0.9942671984047856,0.9761754675676272,0.9964080911574764,0.9978930437734228,9928,72,296,31912,0.0072,0.0091902632886239,DecisionTree(d=5),42,5,binary
0.9983652388172858,0.997860084451068,0.9990372969783547,0.998820168902136,0.9989287211414554,0.9954800330533546,0.9999738713984104,0.9999917921405848,9969,31,38,32170,0.0031,0.0011798310978638,LightGBM,42,5,binary
0.9980098559514784,0.997041132637854,0.9985102420856612,0.998882265275708,0.998696219035202,0.9944940058158304,0.9999570541480378,0.9999864293310456,9952,48,36,32172,0.0048,0.0011177347242921,XGBoost,42,5,binary
0.9953563305534496,0.9938199701937408,0.9971733863452816,0.9967399403874814,0.9969566162541535,0.9871638883599207,0.9994194237456532,0.9998054678301144,9909,91,105,32103,0.0091,0.0032600596125186,MLP(16),42,5,binary
0.9746973394299794,0.97607731224192,0.9932524471758482,0.97345462448384,0.9832538886101356,0.9323260508044192,0.995322301220156,0.9983054281245936,9787,213,855,31354,0.0213,0.02654537551616,"KAN(cat,1L)",43,1,binary
0.9912340969935322,0.9904983374212176,0.9965998065945036,0.9918966748424354,0.9942426788659632,0.9759305493856506,0.9968880281908784,0.998266614481366,9891,109,261,31948,0.0109,0.0081033251575646,DecisionTree(d=5),43,1,binary
0.9987206519936508,0.998196386103263,0.9991307317376052,0.999192772206526,0.9991617510090034,0.9964614895504708,0.9999662609829552,0.9999898730468046,9972,28,26,32183,0.0028,0.0008072277934738,LightGBM,43,1,binary
0.9983889691771896,0.9974274333260892,0.9986347699277048,0.999254866652178,0.9989447220584128,0.9955421760616594,0.9999735244807352,0.9999917996962042,9956,44,24,32185,0.0044,0.000745133347822,XGBoost,43,1,binary
0.9914947049207516,0.9912896721413268,0.9971590909090908,0.991679344282654,0.9944116685605766,0.9766845904284572,0.9990219100251484,0.9996835951141811,9909,91,268,31941,0.0091,0.008320655717346,MLP(16),43,1,binary
0.9742471984647824,0.9767132261169238,0.9940941131644124,0.9720264522338476,0.9829364394141564,0.9314634506026668,0.9958965754913224,0.9985182763562775,9814,186,901,31308,0.0186,0.0279735477661523,"KAN(cat,1L)",43,2,binary
0.9913999384017628,0.9923308221304604,0.9981541734451258,0.9905616442609207,0.994343415455098,0.9765378915471784,0.9965253143531312,0.997925541390156,9941,59,304,31905,0.0059,0.0094383557390791,DecisionTree(d=5),43,2,binary
