accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fold,task
0.9744841147622545,0.9761789344593126,0.9934694395130611,0.9729578689186252,0.9831066773328314,0.9318585263786086,0.9955916824490049,0.9983939337986522,9794,206,871,31338,0.0206,0.027042131081374772,"KAN(cat,1L)",42,1,binary
0.9915420881802459,0.9919757707473067,0.9977497187148393,0.9911515414946133,0.9944396853827584,0.9768723587506078,0.9965868390822441,0.9980394497278214,9928,72,285,31924,0.0072,0.008848458505386693,DecisionTree(d=5),42,1,binary
0.9987680352531451,0.9984342916576112,0.9993167914039937,0.9990685833152224,0.9991926719453501,0.996593848542228,0.9999878869260145,0.9999962255723143,9978,22,30,32179,0.0022,0.0009314166847775466,LightGBM,42,1,binary
0.9981046696202232,0.9969998152690243,0.9984176724271664,0.9990996305380484,0.9987585350713842,0.9947551673082768,0.999971290633053,0.999990834044451,9949,51,29,32180,0.0051,0.0009003694619516285,XGBoost,42,1,binary
0.995830273164491,0.99457868608153,0.9975768119543944,0.99695737216306,0.9972669958694369,0.9884766382587574,0.9995202086373375,0.9998493034699485,9922,78,98,32111,0.0078,0.0030426278369399856,MLP(16),42,1,binary
0.9744130398730129,0.9766495094538794,0.99393862460728,0.9723990189077587,0.9830508474576272,0.9318271866818961,0.9959540904716072,0.9985895383373732,9809,191,889,31320,0.0191,0.027600981092241298,"KAN(cat,1L)",42,2,binary
0.9913051718827738,0.9920618693532863,0.9979669710997122,0.9906237387065727,0.9942817967934435,0.9762635501100587,0.9967691095656493,0.9981892320502357,9935,65,302,31907,0.0065,0.009376261293427304,DecisionTree(d=5),42,2,binary
0.9987206519936507,0.9983687680461983,0.9992857364678116,0.9990375360923965,0.9991616208663251,0.9964628374357264,0.9999754214660499,0.9999928806086625,9977,23,31,32178,0.0023,0.0009624639076034649,LightGBM,42,2,binary
0.9984363524366842,0.9978032444347853,0.998944459967092,0.9990064888695707,0.9989754734554486,0.9956751519866041,0.9999646294513956,0.9999895949455611,9966,34,32,32177,0.0034,0.000993511130429383,XGBoost,42,2,binary
0.9955459736075245,0.994806119407619,0.9979473144030107,0.996212238815238,0.9970790217830396,0.9877119218230354,0.9992712720047192,0.9997804920703077,9934,66,122,32087,0.0066,0.003787761184762023,MLP(16),42,2,binary
0.974768414319221,0.9765375997392034,0.9936283522475116,0.9731751994784067,0.9832954278095836,0.9326183048573871,0.9959019094042038,0.9985427366938522,9799,201,864,31345,0.0201,0.026824800521593344,"KAN(cat,1L)",42,3,binary
0.9929398943353314,0.9933053804837157,0.9981268146483094,0.9926107609674315,0.9953611457036114,0.9806589509611829,0.9972216538855598,0.9983900143212834,9940,60,238,31971,0.006,0.007389239032568537,DecisionTree(d=5),42,3,binary
0.9988628017721339,0.9985998152690242,0.9994099195627193,0.9990996305380484,0.9992547509626133,0.996856164451714,0.9999899298332764,0.99999687981541,9981,19,29,32180,0.0019,0.0009003694619516285,LightGBM,42,3,binary
0.9986969603639034,0.9981808624918501,0.9991307047500776,0.9991617249837003,0.9991462146261196,0.9963960792611245,0.9999836055139867,0.9999949134040766,9972,28,27,32182,0.0028,0.000838275016299792,XGBoost,42,3,binary
0.9924660617403871,0.9922709040951287,0.9974729354506598,0.9926418081902574,0.9950515078895771,0.9793255741485227,0.999367533919091,0.9997834908658465,9919,81,237,31972,0.0081,0.0073581918097426185,MLP(16),42,3,binary
0.9761893479909022,0.9767791107799304,0.9930162742929373,0.9756582215598609,0.9842607238500932,0.9360152054450426,0.9956365437158471,0.9983868012643103,9779,221,784,31424,0.0221,0.024341778440139097,"KAN(cat,1L)",42,4,binary
0.9926080363912054,0.9921915548931942,0.9973181988274916,0.9929831097863885,0.9951459331632335,0.9796955089836799,0.9966615809736712,0.9980993248434603,9914,86,226,31982,0.0086,0.007016890213611525,DecisionTree(d=5),42,4,binary
0.9984600075815011,0.998025608544461,0.999130407776639,0.998851217088922,0.9989907929262347,0.9957424280712934,0.9999854880774963,0.9999954893045333,9972,28,37,32171,0.0028,0.001148782911077993,LightGBM,42,4,binary
0.9981283169067475,0.997394560357675,0.9987581110869632,0.9987891207153502,0.9987736156604623,0.9948234202903432,0.9999775785519126,0.9999930195461326,9960,40,39,32169,0.004,0.0012108792846497764,XGBoost,42,4,binary
0.9935557240333586,0.9916058618976652,0.9962396668531295,0.9953117237953304,0.9957754791414283,0.9821977547331865,0.9990358699701937,0.9996328058234993,9879,121,151,32057,0.0121,0.0046882762046696475,MLP(16),42,4,binary
0.9741755117513268,0.9755285146547441,0.9930599569020154,0.9729570293094884,0.9829057148234114,0.9309618535704092,0.9956056911326377,0.998387870431028,9781,219,871,31337,0.0219,0.027042970690511675,"KAN(cat,1L)",42,5,binary
0.9912812736921911,0.991804868355688,0.9977488744372186,0.9908097367113761,0.9942671984047856,0.9761754675676272,0.9964080911574764,0.9978930437734229,9928,72,296,31912,0.0072,0.009190263288623945,DecisionTree(d=5),42,5,binary
0.9983652388172858,0.9978600844510681,0.9990372969783547,0.9988201689021361,0.9989287211414554,0.9954800330533546,0.9999738713984103,0.9999917921405848,9969,31,38,32170,0.0031,0.0011798310978638849,LightGBM,42,5,binary
0.9980098559514784,0.9970411326378539,0.9985102420856611,0.9988822652757079,0.9986962190352021,0.9944940058158304,0.9999570541480378,0.9999864293310455,9952,48,36,32172,0.0048,0.0011177347242921013,XGBoost,42,5,binary
0.9953563305534496,0.9938199701937407,0.9971733863452817,0.9967399403874814,0.9969566162541535,0.9871638883599209,0.9994194237456532,0.9998054678301143,9909,91,105,32103,0.0091,0.0032600596125186287,MLP(16),42,5,binary
0.9746973394299794,0.97607731224192,0.9932524471758482,0.9734546244838399,0.9832538886101355,0.9323260508044192,0.9953223012201559,0.9983054281245936,9787,213,855,31354,0.0213,0.02654537551616008,"KAN(cat,1L)",43,1,binary
0.9912340969935322,0.9904983374212177,0.9965998065945035,0.9918966748424354,0.9942426788659633,0.9759305493856506,0.9968880281908783,0.9982666144813659,9891,109,261,31948,0.0109,0.008103325157564656,DecisionTree(d=5),43,1,binary
0.9987206519936507,0.998196386103263,0.9991307317376051,0.9991927722065261,0.9991617510090034,0.9964614895504709,0.9999662609829552,0.9999898730468046,9972,28,26,32183,0.0028,0.0008072277934738737,LightGBM,43,1,binary
0.9983889691771897,0.9974274333260891,0.9986347699277048,0.999254866652178,0.9989447220584128,0.9955421760616594,0.9999735244807353,0.9999917996962042,9956,44,24,32185,0.0044,0.0007451333478220373,XGBoost,43,1,binary
0.9914947049207515,0.9912896721413269,0.9971590909090909,0.9916793442826539,0.9944116685605766,0.9766845904284573,0.9990219100251483,0.9996835951141813,9909,91,268,31941,0.0091,0.008320655717346083,MLP(16),43,1,binary
0.9742471984647824,0.9767132261169238,0.9940941131644123,0.9720264522338476,0.9829364394141563,0.9314634506026668,0.9958965754913224,0.9985182763562777,9814,186,901,31308,0.0186,0.027973547766152317,"KAN(cat,1L)",43,2,binary
0.9913999384017627,0.9923308221304604,0.9981541734451258,0.9905616442609209,0.994343415455098,0.9765378915471784,0.9965253143531312,0.997925541390156,9941,59,304,31905,0.0059,0.009438355739079139,DecisionTree(d=5),43,2,binary
0.9985548105854202,0.9983980083206557,0.999409681227863,0.9986960166413115,0.9990527214845873,0.9960073558585453,0.9999816573007545,0.9999942590778317,9981,19,42,32167,0.0019,0.0013039833586885653,LightGBM,43,2,binary
0.9983889691771897,0.9976687680461982,0.9988514667080552,0.9990375360923965,0.9989444927356265,0.9955435495217199,0.9999711043497158,0.999990968959338,9963,37,31,32178,0.0037,0.0009624639076034649,XGBoost,43,2,binary
0.9945272335283944,0.9939662221739265,0.9977895392278954,0.9950324443478531,0.9964090845497365,0.9849269921591478,0.9992876152628147,0.9997497849993733,9929,71,160,32049,0.0071,0.004967555652146916,MLP(16),43,2,binary
0.9738207491293326,0.9753995094538794,0.9931506849315068,0.9723990189077587,0.9826653070829084,0.9301024480305045,0.9959452854792139,0.9985740195501422,9784,216,889,31320,0.0216,0.027600981092241298,"KAN(cat,1L)",43,3,binary
0.9912577886232794,0.9910999596386103,0.9971271546340245,0.9913999192772206,0.9942552893372566,0.9760458282970098,0.9969224626657145,0.9981997628871687,9908,92,277,31932,0.0092,0.008600080722779348,DecisionTree(d=5),43,3,binary
0.9986258854746618,0.9980653388804371,0.9990686411474341,0.9991306777608743,0.9990996584911518,0.9961993770291819,0.9999899344903598,0.9999968739111202,9970,30,28,32181,0.003,0.0008693222391257102,LightGBM,43,3,binary
0.9982468193987064,0.9971963861032631,0.998510750519686,0.9991927722065261,0.9988516449410304,0.9951486078028078,0.9999847775466484,0.9999952841567596,9952,48,26,32183,0.0048,0.0008072277934738737,XGBoost,43,3,binary
0.9934374185600228,0.9921833680027321,0.9968259895444361,0.9945667360054643,0.9956950812028906,0.9819067009246335,0.9994172405228351,0.9998041621863996,9898,102,175,32034,0.0102,0.005433263994535689,MLP(16),43,3,binary
0.9757865807429871,0.9775150024838549,0.9939182768451061,0.9742300049677098,0.9839756655900154,0.9352583864935574,0.9961361680327869,0.9986371188019822,9808,192,830,31378,0.0192,0.025769995032290115,"KAN(cat,1L)",43,4,binary
0.9903572782410918,0.9912683805265772,0.9978084593469209,0.9895367610531545,0.9936553960311151,0.973721258221799,0.99635953955539,0.9979487947524472,9930,70,337,31871,0.007,0.010463238946845504,DecisionTree(d=5),43,4,binary
0.9987680060652009,0.9985721808246398,0.9994408548707754,0.9989443616492797,0.9991925465838509,0.9965951726788412,0.9999910705414804,0.9999972268363055,9982,18,34,32174,0.0018,0.001055638350720318,LightGBM,43,4,binary
0.9983889310083397,0.9977377049180328,0.9989133809375971,0.9989754098360656,0.9989443944239188,0.9955440629534816,0.9999845985469449,0.9999952194049189,9965,35,33,32175,0.0035,0.0010245901639344263,XGBoost,43,4,binary
0.9961144806671721,0.9948683556880278,0.9976703733614959,0.9972367113760556,0.9974534952330673,0.9892596486845481,0.999590300546448,0.9998662559417559,9925,75,89,32119,0.0075,0.0027632886239443615,MLP(16),43,4,binary
0.974128127369219,0.9749113760556384,0.9925288084082563,0.9734227521112767,0.9828829393692394,0.9306815923242006,0.9956795765027322,0.9984119730500138,9764,236,856,31352,0.0236,0.026577247888723298,"KAN(cat,1L)",43,5,binary
0.9919446550416983,0.991825832091406,0.9973779498064678,0.9920516641828118,0.994707676981508,0.9779145132997401,0.9965185559488328,0.9980109434089219,9916,84,256,31952,0.0084,0.007948335817188276,DecisionTree(d=5),43,5,binary
0.9987680060652009,0.9985032290114257,0.9993788048204746,0.9990064580228515,0.9991925967331222,0.996594463996062,0.9999693088673622,0.9999911024801462,9980,20,32,32176,0.002,0.0009935419771485345,LightGBM,43,5,binary
0.9984126231993935,0.9976498012916046,0.9988204984945837,0.9990996025832092,0.9989600310438495,0.9956086963682584,0.999969121025832,0.9999905718510855,9962,38,29,32179,0.0038,0.0009003974167908595,XGBoost,43,5,binary
0.9951194086429113,0.9932854942871336,0.9968328882816866,0.9967709885742673,0.9968019374670103,0.9865029758756726,0.9993194858420269,0.9997738148375549,9898,102,104,32104,0.0102,0.003229011425732737,MLP(16),43,5,binary
0.9766874363287451,0.9781397761495234,0.9939570348340557,0.9753795522990468,0.9845806694245958,0.9375359980424351,0.9958974820702289,0.9985362599470253,9809,191,793,31416,0.0191,0.02462044770095315,"KAN(cat,1L)",44,1,binary
0.9917316212182236,0.9911346207581732,0.9968808484092326,0.9922692415163463,0.9945696992329117,0.9772952328410336,0.9965828464093887,0.9980514193443003,9900,100,249,31960,0.01,0.007730758483653637,DecisionTree(d=5),44,1,binary
0.9988154185126394,0.9984653388804372,0.999316833835357,0.9991306777608743,0.9992237471278643,0.9967245739896444,0.9999887546958925,0.9999965126964478,9978,22,28,32181,0.0022,0.0008693222391257102,LightGBM,44,1,binary
0.9983652775474425,0.9975842916576112,0.9987894965547209,0.9990685833152224,0.9989290204417403,0.9954776407287745,0.9999819336210376,0.9999943888227287,9961,39,30,32179,0.0039,0.0009314166847775466,XGBoost,44,1,binary
0.9952379824208107,0.9936734499674005,0.9971112629682549,0.9966468999348008,0.9968790273745012,0.9868370376742397,0.9993984072774689,0.9998056299332787,9907,93,108,32101,0.0093,0.003353100065199168,MLP(16),44,1,binary
0.9768769693667227,0.9777468192120216,0.9934902828250909,0.976093638424043,0.9847151313934914,0.9378851820098985,0.9959442453972492,0.9984440427905814,9794,206,770,31439,0.0206,0.02390636157595703,"KAN(cat,1L)",44,2,binary
0.9915183965504987,0.992270534633177,0.9980298339431466,0.9908410692663542,0.9944224597264201,0.9768397719514704,0.9968299776459996,0.998192447680575,9937,63,295,31914,0.0063,0.009158930733645876,DecisionTree(d=5),44,2,binary
0.998317894287948,0.9979324847092428,0.9991302727216251,0.9986649694184855,0.9988975668835303,0.9953507084585789,0.9999778788537365,0.9999930849500656,9972,28,43,32166,0.0028,0.0013350305815144836,LightGBM,44,2,binary
0.9979625198417399,0.9969066736005464,0.9984173778122576,0.9989133472010928,0.9986653009280815,0.9943624063481845,0.999962623800801,0.9999881565195381,9949,51,35,32174,0.0051,0.0010866527989071377,XGBoost,44,2,binary
0.9957355066455021,0.9943442096929429,0.9974219599316664,0.9969884193858859,0.9972051425377306,0.9882118553102056,0.9995576205408427,0.9998597012740017,9917,83,97,32112,0.0083,0.0030115806141140676,MLP(16),44,2,binary
0.9755502381008789,0.9763603511440901,0.993010531642367,0.9748207022881803,0.9838315472833239,0.9343985971426657,0.9958592349964295,0.9985440077157193,9779,221,811,31398,0.0221,0.02517929771181968,"KAN(cat,1L)",44,3,binary
0.9911393304745434,0.9916773929646994,0.9977173947031049,0.9906547859293986,0.994173547281508,0.9757925030539186,0.9966464528547921,0.9980332776557935,9927,73,301,31908,0.0073,0.009345214070601385,DecisionTree(d=5),44,3,binary
0.9989338766613756,0.9985084805489148,0.9992859360447066,0.9993169610978297,0.9993014483304615,0.9970513379676146,0.9999876230246204,0.9999961693650723,9977,23,22,32187,0.0023,0.0006830389021702009,LightGBM,44,3,binary
0.998317894287948,0.997311909714676,0.9985727582997208,0.999223819429352,0.9988981827775105,0.9953453965964488,0.9999801654816977,0.9999938515302713,9954,46,25,32184,0.0046,0.0007761805706479556,XGBoost,44,3,binary
0.9933426520410339,0.9912593638424043,0.9960536946118949,0.9952187276848086,0.9956360360920005,0.981606521703963,0.9990579030705704,0.9996567422110854,9873,127,154,32055,0.0127,0.0047812723151914064,MLP(16),44,3,binary
0.9757865807429871,0.9771702434177845,0.9936055713833492,0.9745404868355688,0.9839806890498135,0.935166743488679,0.995815058370591,0.9984530826111202,9798,202,820,31388,0.0202,0.025459513164431197,"KAN(cat,1L)",44,4,binary
