model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,n_runs
LightGBM,0.998681153146281,0.0001805821822661135,0.9983474853682057,0.0002660990115849896,0.9992898507236635,0.0001577548884746202,0.9989816374030782,0.00018413409483829864,0.9991357059190418,0.000118359309090559,0.9963541143195886,0.0004990717993876443,0.9999814134265864,8.947440609137808e-06,0.9999943651644533,2.5801602065563945e-06,9977.133333333333,5.083118652766345,22.866666666666667,5.083118652765766,32.8,5.930550444219202,32175.8,6.143521558752629,0.0022866666666666664,0.0005083118652765764,0.0010183625969216934,0.00018413409483831908,15
XGBoost,0.9983052424367705,0.0001911937051599488,0.997489796366566,0.0003509219147235703,0.998739894312344,0.00021816092307512495,0.9990395927331319,0.00015186920450859374,0.9988897026740863,0.00012520553789816007,0.9953116097456717,0.0005293043871823562,0.9999737678554916,9.195390908817744e-06,0.9999918785336506,2.83845061907498e-06,9959.4,7.038668705291864,40.6,7.038668705292013,30.933333333333334,4.891197146283261,32177.666666666668,5.191568255583635,0.00406,0.0007038668705292012,0.0009604072668679866,0.00015186920450858775,15
"KAN(cat,ML)",0.9963309202746842,0.0003039307534819928,0.9963133648055211,0.0003845468699083605,0.9988422163231727,0.00024307316183427643,0.9963467296110423,0.0003919818925634316,0.9975928499744878,0.00019968983743578187,0.9898950421173821,0.0008329970651175808,0.9997769173560767,6.487410831004312e-05,0.999922147333833,3.097109401311634e-05,9962.8,7.821216565946104,37.2,7.8212165659460275,117.66666666666667,12.624616920166423,32090.933333333334,12.79211066392504,0.00372,0.0007821216565946026,0.0036532703889577134,0.0003919818925634493,15
MLP(16),0.9945745709852687,0.0014254268095231744,0.993427237183318,0.0013807166193842155,0.9972779001569293,0.0005969014491190919,0.9956078076999693,0.0016657753738569456,0.9964415066032928,0.0009377262159350029,0.9850397731221702,0.003892148787725542,0.9993451364056316,0.00018291550851531533,0.999779982461025,7.156803708955573e-05,9912.466666666667,19.227460521224284,87.53333333333333,19.227460521224273,141.46666666666667,53.653473681535644,32067.133333333335,53.46142356432195,0.008753333333333333,0.0019227460521224274,0.004392192300030607,0.0016657753738569504,15
DecisionTree(d=5),0.9915562230409296,0.0006157183739695543,0.9918907944099021,0.0006914166926365444,0.9976651735954685,0.0005020606238761003,0.9912549221531374,0.0009451476535777737,0.9944493328049887,0.00040691425364971584,0.9769057763822923,0.0016501988562309048,0.9967103343420172,0.00025044885539446247,0.9981117765681042,0.00015345895407410645,9925.266666666666,16.153136213249795,74.73333333333333,16.15313621325003,281.6666666666667,30.441200151549,31926.933333333334,30.49933644867694,0.0074733333333333336,0.0016153136213250027,0.008745077846862553,0.0009451476535777573,15
"KAN(cat,1L)",0.9751124975589149,0.0009744697295962113,0.9765378031275087,0.0008802631516855132,0.9934271526139856,0.0004405666147047341,0.9738289395883509,0.0012572151618678044,0.9835299692206668,0.0006537822507917969,0.9334257528410699,0.002481508145805895,0.9957971824540341,0.00020050954466033623,0.9984854877622665,9.46428543523648e-05,9792.466666666667,14.029900043766952,207.53333333333333,14.02990004376707,842.9333333333333,40.49597275685337,31365.666666666668,40.399198483327766,0.020753333333333335,0.0014029900043767073,0.026171060411649093,0.0012572151618678185,15
