model,n_runs,f1_mean,f1_std,f1,roc_auc_mean,roc_auc_std,roc_auc,pr_auc_mean,pr_auc_std,pr_auc,precision_mean,precision_std,precision,recall_mean,recall_std,recall
Random Forest,15,0.9818556281266683,0.0005945667403697156,0.9819 +/- 0.0006,0.9840889826247486,0.0005077570888300796,0.9841 +/- 0.0005,0.9908120782229035,0.0002793573106665597,0.9908 +/- 0.0003,0.9652667822365569,0.0010518892128156935,0.9653 +/- 0.0011,0.9990251055072185,0.0001707784735684409,0.9990 +/- 0.0002
LightGBM,15,0.9817862112586668,0.000558838607097267,0.9818 +/- 0.0006,0.9843426223248114,0.00048466799827111116,0.9843 +/- 0.0005,0.9909718329975223,0.00026745419196975875,0.9910 +/- 0.0003,0.9651075783074154,0.0010562945270804884,0.9651 +/- 0.0011,0.9990520136787103,0.0001564999863981694,0.9991 +/- 0.0002
XGBoost,15,0.9813917257489829,0.000568999272198603,0.9814 +/- 0.0006,0.9840104510007006,0.0004650814147047146,0.9840 +/- 0.0005,0.9908554697713934,0.00026214022027939743,0.9909 +/- 0.0003,0.9645616227386573,0.0010850620262742093,0.9646 +/- 0.0011,0.9988201910732155,0.00018179405242082933,0.9988 +/- 0.0002
KAN Chebyshev,15,0.9700124826061133,0.0006825487042181823,0.9700 +/- 0.0007,0.9698537433900624,0.0007604528811859423,0.9699 +/- 0.0008,0.98488248372511,0.00047761583654275556,0.9849 +/- 0.0005,0.9578360662459058,0.0011813278069569158,0.9578 +/- 0.0012,0.9825036349902376,0.0008307497081147656,0.9825 +/- 0.0008
Decision Tree (d=5),15,0.962838292694698,0.0006584253958962864,0.9628 +/- 0.0007,0.9153215873707892,0.001855875287794666,0.9153 +/- 0.0019,0.9509139797545273,0.0010116873807559151,0.9509 +/- 0.0010,0.9292233322544707,0.0012365010679172372,0.9292 +/- 0.0012,0.9989774988658561,0.0001742400034315251,0.9990 +/- 0.0002
Logistic Regression,15,0.9365338321984155,0.0005868508691862296,0.9365 +/- 0.0006,0.8411763270927568,0.0017036262545635015,0.8412 +/- 0.0017,0.9159023033281328,0.0012313324522209442,0.9159 +/- 0.0012,0.9168698635144081,0.0011176162460178793,0.9169 +/- 0.0011,0.9570611533276738,0.0008695577888465977,0.9571 +/- 0.0009
