model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,mcc_mean,mcc_std,roc_auc_macro_mean,roc_auc_macro_std,pr_auc_macro_mean,pr_auc_macro_std,f1_normal_mean,f1_normal_std,f1_backdoor_mean,f1_backdoor_std,f1_ddos_mean,f1_ddos_std,f1_dos_mean,f1_dos_std,f1_injection_mean,f1_injection_std,f1_mitm_mean,f1_mitm_std,f1_password_mean,f1_password_std,f1_ransomware_mean,f1_ransomware_std,f1_scanning_mean,f1_scanning_std,f1_xss_mean,f1_xss_std,n_runs
LightGBM,0.9901315533498172,0.0004128667080454242,0.9807314141823089,0.00200533270884738,0.9680393348839235,0.0020926242369370884,0.9903277929653197,0.0003951569009791221,0.9589369216826309,0.0025570422646725576,0.9807314141823089,0.00200533270884738,0.9886900290596097,0.00047317567144825913,0.999805347423942,3.082076254087373e-05,0.9849928756194405,0.0019606893536990486,0.997688537220568,0.00032984456539227145,0.9996332666367089,0.0001454170261835758,0.9870355448756324,0.0015145657275663414,0.987637783860049,0.0009339395046670767,0.976873929543126,0.0012295107829740869,0.7668285708354402,0.02004968309194632,0.9936647621659286,0.0008177847876772407,0.9997333729059926,0.00016272513474490237,0.9911091278150462,0.0008799636045798593,0.9801884529807418,0.0015026369566774247,15
XGBoost,0.9891412336841712,0.0004293215956288381,0.9736722029198871,0.0027899336773272265,0.9665565135490934,0.002125900261655448,0.9892516132917897,0.0004173582619087801,0.9608330983027631,0.0021958230327002322,0.9736722029198871,0.0027899336773272265,0.9875529816905233,0.0004920946835983589,0.9997795395029488,4.254340863585041e-05,0.9834055659088303,0.001889549355705617,0.9963961536782544,0.0004170645309399817,0.9996416572733052,0.000148386566014197,0.9839236653647383,0.0009684722265388532,0.9876183617826804,0.0009978402874060949,0.9750795370925952,0.0013213515876039897,0.7611199115906777,0.020181338145782067,0.9927469398376051,0.0006579080807026,0.9996500603960996,0.00013525812716691212,0.9909206422449518,0.0010504722950032282,0.9784682062300264,0.0013363290506382241,15
"KAN(cat,ML)",0.9786962803820978,0.0009393764427391644,0.9737669366948841,0.001923614951528835,0.9374258696912666,0.003554964813184784,0.9802908735060857,0.0006786515293927777,0.9245767373758812,0.002968172717696377,0.9737669366948841,0.001923614951528835,0.975642733227708,0.001064878608286386,0.9988412633907998,0.00019458130097288375,0.962888227488518,0.003184637856724404,0.988665058982774,0.0010492227539845211,0.9992746007731118,0.0002765330165559558,0.967907580871554,0.0023432645067423155,0.9816357720734706,0.0013217091032025256,0.9602858088076243,0.002488503101933637,0.5413104801295862,0.0334500744137342,0.9908919854801231,0.0009087753143035543,0.9960147112983724,0.0004140778490893639,0.9881921878988569,0.0009508607273251297,0.9600805105971933,0.00315692111693088,15
MLP(16),0.9761344080100867,0.002045204990780455,0.9151217416267944,0.015425296014865251,0.9181945858412947,0.010663135710405173,0.9758133546486335,0.0023815536556137454,0.9253143801552762,0.005529106906870111,0.9151217416267944,0.015425296014865251,0.9726608764606183,0.0023396676684577277,0.9976923816264641,0.0006652865192321546,0.9372541408642358,0.005754025352782109,0.9874749821787161,0.0027088064258162466,0.9989501329991639,0.000355567369839841,0.9631595426161953,0.0023173652157856476,0.977095738131013,0.006051842586987579,0.9541322079207859,0.0029637940438452227,0.38637700620848003,0.09348167391099381,0.9889800672169408,0.0010213125317191402,0.9952984708383331,0.0009137928994658475,0.9877794304176112,0.0014366352030274385,0.9426982798857068,0.007546377564876475,15
"KAN(cat,1L)",0.9348963575843598,0.0013997248082237585,0.929486941847626,0.0022739931108650222,0.8766739756622113,0.0014138596053617654,0.9424437015804281,0.0011824307881029691,0.8759343226638403,0.00124598324729499,0.929486941847626,0.0022739931108650222,0.9260011585008122,0.0015617095033500091,0.993051619172912,0.0004023296305226772,0.9105809558084396,0.0022317922793557215,0.9562262796303956,0.001948307492380891,0.9725190767366236,0.0020686567104710413,0.8868182741124818,0.003943227974200312,0.9477681762976187,0.0022914261210971697,0.9350185668580232,0.002400898537353182,0.27037146708656024,0.00907694638909118,0.9507293385832783,0.0018855451107876798,0.9766468214601169,0.0024740871423406846,0.9528604282245611,0.00322242770793662,0.9177813276324538,0.0020045283341459733,15
DecisionTree(d=5),0.8120983204894704,0.003679845203721691,0.7863865431235431,0.0037285303433972623,0.763280621072693,0.0033020589671494526,0.8244504452164381,0.004110380109765892,0.7828847265022432,0.002573610881415459,0.7863865431235431,0.0037285303433972623,0.7916577237975527,0.0036811671104701018,0.964308846458141,0.0008981869695606746,0.7351252600442416,0.008152967713030266,0.8069096383946589,0.011043594252816206,0.9892094069994445,0.0009983090041087075,0.6354570146585724,0.002756359092803257,0.9578426532270079,0.0015568860570625892,0.8687085002596312,0.030640165362087645,0.15133886922195422,0.04973940802402226,0.8448879759734922,0.0036634041470351036,0.7698679420322393,0.007788510673929119,0.9599532417805389,0.002397734887209849,0.64863096817939,0.006760331830905476,15
