model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,n_runs
LightGBM,0.9974270621789966,0.0002477230030068307,0.9971419235508175,0.00046011222874539756,0.9989431441225495,0.0003050460244260754,0.9976838471016354,0.00026673292798550327,0.9983130538451734,0.0001623587567192492,0.9928979116478432,0.0006853744801908996,0.9999248214133821,3.055116736347863e-05,0.9999734416264605,1.3870273153833045e-05,9966.0,9.82344135219425,34.0,9.82344135219425,74.6,8.59069263796581,32134.0,8.80340843082935,0.0034000000000000002,0.0009823441352194249,0.002316152898364672,0.0002667329279855216,5
DecisionTree(d=5),0.9875428203979938,0.0007799821484636602,0.9864730863723405,0.0007224684793916309,0.9951365232739426,0.00022998041054292053,0.9885061727446811,0.000860575181224034,0.9918101586118804,0.0005155460907358751,0.9658968171170257,0.0020975984848132273,0.9947653437326839,0.00026136118693825377,0.9969066805195647,0.00017435469753499032,9844.4,7.300684899377527,155.6,7.300684899377594,370.2,27.716421125390635,31838.4,27.844209451877656,0.015560000000000001,0.000730068489937759,0.011493827255318927,0.0008605751812240219,5
"KAN(cat,1L)",0.9787673608095648,0.0006867200000068498,0.9771927096408968,0.000545398865091091,0.9918942656694971,0.00034969539284384666,0.9801854192817936,0.0010187031024184296,0.9860047772142003,0.0004597322982197354,0.9423261346800913,0.001765073220885963,0.9933228670876412,0.00020070466232259153,0.997406780326528,0.00013065283782175935,9742.0,11.335784048754695,258.0,11.335784048754634,638.2,32.813107137240145,31570.4,32.70015290484116,0.0258,0.0011335784048754627,0.01981458071820632,0.001018703102418418,5
