model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,mcc_mean,mcc_std,roc_auc_macro_mean,roc_auc_macro_std,pr_auc_macro_mean,pr_auc_macro_std,f1_normal_mean,f1_normal_std,f1_backdoor_mean,f1_backdoor_std,f1_ddos_mean,f1_ddos_std,f1_dos_mean,f1_dos_std,f1_injection_mean,f1_injection_std,f1_mitm_mean,f1_mitm_std,f1_password_mean,f1_password_std,f1_ransomware_mean,f1_ransomware_std,f1_scanning_mean,f1_scanning_std,f1_xss_mean,f1_xss_std,n_runs
LightGBM,0.9901315533498172,0.00041286670804544857,0.9807314141823089,0.0020053327088474016,0.9680393348839235,0.002092624236937055,0.9903277929653197,0.0003951569009790659,0.9589369216826309,0.0025570422646725398,0.9807314141823089,0.0020053327088474016,0.9886900290596097,0.0004731756714482195,0.999805347423942,3.082076254085056e-05,0.9849928756194405,0.0019606893536990373,0.997688537220568,0.0003298445653922747,0.9996332666367089,0.00014541702618354918,0.9870355448756324,0.0015145657275663408,0.987637783860049,0.0009339395046670453,0.976873929543126,0.0012295107829740934,0.7668285708354402,0.02004968309194632,0.9936647621659286,0.0008177847876772552,0.9997333729059926,0.00016272513474489597,0.9911091278150462,0.0008799636045798509,0.9801884529807418,0.001502636956677415,15
XGBoost,0.9891412336841712,0.00042932159562883773,0.9736722029198871,0.0027899336773272066,0.9665565135490934,0.002125900261655446,0.9892516132917897,0.00041735826190879614,0.9608330983027631,0.002195823032700252,0.9736722029198871,0.0027899336773272066,0.9875529816905233,0.0004920946835983637,0.9997795395029488,4.254340863585628e-05,0.9834055659088304,0.001889549355705599,0.9963961536782544,0.0004170645309399892,0.9996416572733052,0.00014838656601417528,0.9839236653647383,0.0009684722265388207,0.9876183617826804,0.0009978402874060547,0.9750795370925952,0.001321351587603998,0.7611199115906777,0.020181338145782067,0.9927469398376051,0.0006579080807025716,0.9996500603960996,0.0001352581271669026,0.9909206422449518,0.0010504722950032122,0.9784682062300264,0.0013363290506382293,15
MLP(16),0.9761344080100867,0.0020452049907804543,0.9151217416267943,0.015425296014865234,0.9181945858412947,0.010663135710405159,0.9758133546486335,0.0023815536556137376,0.9253143801552762,0.005529106906870094,0.9151217416267943,0.015425296014865234,0.9726608764606183,0.002339667668457785,0.9976923816264641,0.0006652865192321517,0.9372541408642358,0.0057540253527821415,0.9874749821787161,0.0027088064258162284,0.9989501329991639,0.00035556736983985264,0.9631595426161953,0.0023173652157856407,0.977095738131013,0.006051842586987601,0.9541322079207859,0.002963794043845199,0.38637700620848003,0.0934816739109938,0.9889800672169408,0.0010213125317191552,0.9952984708383331,0.0009137928994659109,0.9877794304176112,0.001436635203027422,0.9426982798857068,0.007546377564876514,15
"KAN(cat,1L)",0.9348963575843598,0.0013997248082237735,0.929486941847626,0.002273993110865025,0.8766739756622113,0.0014138596053617654,0.9424437015804281,0.001182430788102968,0.8759343226638403,0.00124598324729499,0.929486941847626,0.002273993110865025,0.9260011585008122,0.001561709503350041,0.993051619172912,0.00040232963052264456,0.9105809558084395,0.0022317922793556795,0.9562262796303956,0.001948307492380836,0.9725190767366236,0.0020686567104710547,0.8868182741124818,0.003943227974200312,0.9477681762976187,0.0022914261210971523,0.9350185668580232,0.0024008985373532013,0.2703714670865603,0.009076946389091184,0.9507293385832783,0.001885545110787698,0.9766468214601169,0.0024740871423406365,0.9528604282245611,0.003222427707936644,0.9177813276324538,0.002004528334145961,15
DecisionTree(d=5),0.8120983204894704,0.003679845203721691,0.7863865431235431,0.0037285303433972623,0.763280621072693,0.0033020589671494526,0.8244504452164381,0.004110380109765892,0.7828847265022432,0.002573610881415459,0.7863865431235431,0.0037285303433972623,0.7916577237975527,0.0036811671104701018,0.964308846458141,0.0008981869695606564,0.7351252600442416,0.008152967713030266,0.8069096383946589,0.011043594252816206,0.9892094069994445,0.0009983090041086882,0.6354570146585724,0.002756359092803257,0.9578426532270079,0.0015568860570625823,0.8687085002596312,0.030640165362087645,0.15133886922195428,0.04973940802402227,0.8448879759734922,0.0036634041470351036,0.7698679420322393,0.007788510673929119,0.9599532417805389,0.0023977348872098476,0.64863096817939,0.006760331830905476,15
