accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,dst,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,ratio,variant,n_normal,n_attack,n_per_domain,n_joint,train_pool_ton_normal,train_pool_bot_normal,train_pool_ton_attack,train_pool_bot_attack,split
0.9956504998602981,0.91888782330207,0.9999794646783912,0.9956703834462453,0.9978202718982417,0.1434063592400567,0.977209663513311,0.9999959091096106,64,12,2541,584347,0.15789473684210525,0.00432961655375472,MLP(16),42,bot,5.2,3672,586964,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,306,1530,1836,3672,32000,306,103067,2347547,validation
0.9377498741374715,0.9429644530795203,0.9845612023424383,0.9330539061590406,0.9581158091898139,0.841884483094715,0.9723389121744866,0.9840268170086078,7623,377,1725,24042,0.047125,0.06694609384095937,"KAN(cat,1L)",42,ton,1.1,6732,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9955925746723819,0.9583274294602251,0.9999897315308747,0.9956022273415029,0.997791156257551,0.15554735034948775,0.9976341200042472,0.999999686945813,70,6,2581,584307,0.07894736842105263,0.004397772658497022,"KAN(cat,1L)",42,bot,11.3,6732,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9853999466935174,0.9753070375868359,0.9864875269479519,0.9944890751736718,0.9904721411591906,0.9593971468584443,0.9944985422245507,0.9977457769981958,7649,351,142,25625,0.043875,0.005510924826328249,"KAN(cat,ML)",42,ton,9.8,6732,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9967630042046872,0.9918031970952585,0.9999982905690695,0.9967642889273592,0.9983786708172694,0.19331161941763508,0.9997506024640944,0.9999999645939734,75,1,1899,584989,0.013157894736842105,0.0032357110726407763,"KAN(cat,ML)",42,bot,20.8,6732,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9762193857908609,0.9604570477742849,0.9786777113054149,0.9904140955485699,0.9845109272225758,0.9336501057054503,0.9801435047735475,0.9892333262335831,7444,556,247,25520,0.0695,0.009585904451430123,DecisionTree(d=5),42,ton,0.3,6732,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9964631561731213,0.9719189674134902,0.9999931602886358,0.9964695137743488,0.9982282275106085,0.1780157141128586,0.989740073691098,0.9999973860442903,72,4,2072,584816,0.05263157894736842,0.0035304862256512314,DecisionTree(d=5),42,bot,3.8,6732,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9874729765747623,0.9771825081499592,0.9869725616785797,0.9967400162999185,0.9918322423680704,0.9651846049664362,0.9918764019870377,0.9937678730832855,7661,339,84,25683,0.042375,0.0032599837000814994,LightGBM,42,ton,3.8,6732,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9964989334950696,0.9916711446423203,0.9999982901160156,0.9965001840214828,0.9982461725168833,0.18611638958235882,0.9998165838510209,0.999999970079809,75,1,2054,584834,0.013157894736842105,0.003499815978517196,LightGBM,42,bot,18.1,6732,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.98341576095004,0.9713781095975473,0.9841727171449426,0.9942562191950945,0.9891887717672497,0.9538337201625251,0.9940536611751466,0.9973894291932346,7588,412,148,25619,0.0515,0.0057437808049054994,XGBoost,42,ton,2.0,6732,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
