dst,bot,bot,bot,bot,bot,bot,ton,ton,ton,ton,ton,ton
model,DecisionTree(d=5),"KAN(cat,1L)","KAN(cat,ML)",LightGBM,MLP(16),XGBoost,DecisionTree(d=5),"KAN(cat,1L)","KAN(cat,ML)",LightGBM,MLP(16),XGBoost
ratio,,,,,,,,,,,,
5.0,0.9914,0.9857,0.989,0.993,0.9631,0.9928,0.9629,0.9438,0.9781,0.9807,0.9211,0.9768
10.0,0.9901,0.9827,0.9871,0.9904,0.9611,0.9807,0.9651,0.943,0.9779,0.9795,0.9098,0.9749
20.0,0.9855,0.9852,0.9878,0.9891,0.9355,0.9725,0.9633,0.9423,0.9784,0.978,0.8997,0.9706
50.0,0.9857,0.9901,0.9891,0.9872,0.9364,0.9637,0.9622,0.9422,0.9777,0.9741,0.842,0.9599
100.0,0.9889,0.9875,0.9845,0.9859,0.9256,0.9598,0.963,0.9431,0.978,0.9727,0.7836,0.9549
