model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,n_runs
LightGBM,0.9984931960701855,0.00020146982794191107,0.9980887232919272,0.0003377504621725912,0.9991676904537501,0.0001967994099066035,0.9988574465838547,0.00014296807163835098,0.999012534699299,0.00013200264007652253,0.9958343859379223,0.0005574128757435168,0.999972742568015,9.595481171370604e-06,0.999991435063917,3.3388703812247927e-06,9973.2,6.340346993659027,26.8,6.340346993658944,36.8,4.604345773288536,32171.8,5.019960159204525,0.00268,0.0006340346993658943,0.001142553416145361,0.00014296807163831975,5
DecisionTree(d=5),0.9819657572068492,0.0007514302308591738,0.9724345539807329,0.0011917294472234238,0.985884500677898,0.0006609718492650898,0.9905491079614658,0.000545145732573689,0.9882111969946171,0.0004903279138329413,0.9499082917371146,0.0020953492871839683,0.9906910470205774,0.000691883784023707,0.994778836257457,0.0005027823001410721,9543.2,21.60324049766617,456.8,21.603240497666082,304.4,17.558473737771177,31904.2,17.569860557215698,0.04568,0.002160324049766609,0.009450892038534277,0.0005451457325736819,5
"KAN(cat,1L)",0.9583355057770486,0.0007084480819297721,0.9648875355246627,0.0005152317906321828,0.9926679895493382,0.000490790139292628,0.9524350710493253,0.001231424002324363,0.9721348808732115,0.0004938452795274339,0.8927328753992534,0.0015339732736201364,0.9927311001030288,0.00028745311397010295,0.997338112493751,0.0001673564042263275,9773.4,15.4854770672393,226.6,15.485477067239483,1532.0,39.67366884975473,30676.6,39.44363066453161,0.022660000000000003,0.001548547706723949,0.04756492895067466,0.0012314240023243704,5
