exp,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,fit_seconds_mean,fit_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,ratio_mean,ratio_std,train_pos_rate_mean,train_pos_rate_std,test_pos_rate_mean,test_pos_rate_std,n_runs
bot->bot,DecisionTree(d=5),0.9846210545356724,0.00034541643736740214,0.9860055205952125,0.008501956718764579,0.9999983392563891,2.2733568654049138e-06,0.9846206903132323,0.0003473754977732148,0.9922499136260152,0.00017539969634148707,0.0897045504426761,0.0010090469528176366,0.9925301674426787,0.008823890064636263,0.9999981342957313,2.2793443198408397e-06,94.2,1.9235384061671343,1.2,1.6431676725154984,11282.4,254.83779154591645,722326.6,254.83779154590871,0.012609649122807019,0.017299907507976713,0.015379309686767748,0.00034737549777322333,0.32,0.0447213595499958,19461.6,27.933850432763638,733704.4,0.5477225574945389,50.0,0.0,0.980392156862745,0.0,0.9998699748840638,7.464193897423277e-07,5
bot->bot,"KAN(cat,1L)",0.9757479986394705,0.0008919452892764251,0.9857783968821721,0.0027791341573231657,0.9999994413482977,7.649656750291063e-07,0.975745390255572,0.0008922573543873135,0.987723380405322,0.00045698497753754035,0.07185553455427203,0.0013756263747227554,0.9967650025482048,0.0002560861866242182,0.9999995720442261,3.464276847788562e-08,95.0,0.7071067811865476,0.4,0.5477225575051661,17793.4,654.5680254946767,715815.6,654.568025494674,0.00418859649122807,0.005735602969883091,0.02425460974442789,0.0008922573543872507,3.3,0.18708286933869703,19461.6,27.933850432763638,733704.4,0.5477225574945389,50.0,0.0,0.980392156862745,0.0,0.9998699748840638,7.464193897423277e-07,5
bot->bot,"KAN(cat,ML)",0.988957133160253,0.0006748208791425942,0.9892263371337229,0.006210394600530045,0.9999986223166923,1.6868720218890692e-06,0.9889570602323581,0.0006760980753970227,0.9944470997305015,0.0003412032993329341,0.10624902938331009,0.0025527487941436255,0.9995185535578457,0.00020680724278927364,0.9999999345819239,2.7212489068910223e-08,94.4,1.5165750888103082,1.0,1.224744871391589,8101.2,495.9916329939448,725507.8,495.99163299394655,0.01050438596491228,0.012892144535941683,0.011042939767641891,0.0006760980753970373,8.32,0.6685805860178713,19461.6,27.933850432763638,733704.4,0.5477225574945389,50.0,0.0,0.980392156862745,0.0,0.9998699748840638,7.464193897423277e-07,5
bot->bot,LightGBM,0.9898485002151833,0.0005338488835718931,0.9865474876035236,0.0068444713786137345,0.9999977971879461,1.8469909004435571e-06,0.9898493611719594,0.0005351607973452798,0.9948976416788298,0.0002697316596743024,0.11008082690150485,0.0021929555054019632,0.9994773487869262,0.00014964140642226355,0.9999999236387189,2.0904437272867852e-08,93.8,1.3038404810405295,1.6,1.3416407864998738,7446.6,392.598777379655,726162.4,392.5987773796623,0.01675438596491228,0.014049514583566812,0.010150638828040551,0.0005351607973452554,6.82,0.5167204273105527,19461.6,27.933850432763638,733704.4,0.5477225574945389,50.0,0.0,0.980392156862745,0.0,0.9998699748840638,7.464193897423277e-07,5
bot->bot,MLP(16),0.9994240184862349,0.0009415608058559293,0.8342510531268473,0.08445599257036503,0.9999569170558992,2.2065557663867043e-05,0.9994670185343963,0.0009578780744669144,0.9997117176652658,0.000471404267222414,0.4556429693999928,0.14144167625025808,0.9751008778386728,0.013380940286284351,0.9999820996947726,1.917914158132522e-05,63.8,16.006248779773482,31.6,16.195678435928517,391.0,702.7079763315627,733218.0,702.7079763315625,0.33096491228070174,0.16961676642673765,0.0005329814656036117,0.0009578780744668654,1.5,0.33166247903554,19461.6,27.933850432763638,733704.4,0.5477225574945389,50.0,0.0,0.980392156862745,0.0,0.9998699748840638,7.464193897423277e-07,5
bot->bot,XGBoost,0.9997737508650276,3.342677323195931e-05,0.9600126546180141,0.012790240601102962,0.9999896382106513,3.283168040334234e-06,0.9997840811658527,3.594359101835473e-05,0.9998868488259841,1.6719645689071824e-05,0.5744157546372927,0.0203930127584104,0.9994532316416558,0.0002581242295523203,0.9999999207313592,3.5414689832199905e-08,87.8,2.8635642126552687,7.6,2.4083189157584592,158.4,26.368541863364385,733450.6,26.3685418633672,0.07975877192982457,0.025608833736489887,0.00021591883414734552,3.5943591018327734e-05,2.68,0.1303840481040529,19461.6,27.933850432763638,733704.4,0.5477225574945389,50.0,0.0,0.980392156862745,0.0,0.9998699748840638,7.464193897423277e-07,5
bot->ton,DecisionTree(d=5),0.4005329087753049,0.017611066898879705,0.4923132851888419,0.03778640140980762,0.756333689940878,0.039972205895462506,0.31787990371101715,0.01794337570950053,0.4471416006027549,0.017457999829145074,-0.013208840031250895,0.0677608675874128,0.5557743930503033,0.03519077161983467,0.7837646411353213,0.016169218696267564,33337.333333333336,4132.75953006382,16662.666666666668,4132.759530063821,109850.66666666667,2889.655054385097,51192.333333333336,2889.655054385096,0.33325333333333335,0.08265519060127642,0.6821200962889828,0.017943375709500546,0.10000000000000002,0.0,24327.0,0.0,211043.0,0.0,50.0,0.0,0.9803921568627451,0.0,0.7630814573333397,0.0,3
bot->ton,"KAN(cat,1L)",0.36715108611357244,0.09297669301712855,0.5723725655673744,0.05683879139285945,0.9190635588186113,0.05195324510109513,0.18233846446808202,0.12554663088716106,0.292311166217119,0.182131238779672,0.16165874903996924,0.10178278038685312,0.7357329991989717,0.08975013034369955,0.8739180038617412,0.03708832760862835,48120.333333333336,634.7955051300635,1879.6666666666667,634.7955051300642,131678.66666666666,20218.406077961077,29364.333333333332,20218.406077961077,0.03759333333333333,0.012695910102601283,0.817661535531918,0.125546630887161,1.7666666666666666,0.20816659994661324,24327.0,0.0,211043.0,0.0,50.0,0.0,0.9803921568627451,0.0,0.7630814573333397,0.0,3
bot->ton,"KAN(cat,ML)",0.4388410576675527,0.07714408571626238,0.5270032209202925,0.07599820845999013,0.7861657020310867,0.07081840279548632,0.359446441840585,0.08131324999244649,0.49179717367407877,0.08882639647677584,0.046386738425791635,0.13267945720714408,0.5361219930908722,0.09962117095797658,0.7798420230225659,0.01920211226726988,34728.0,4201.496995119715,15272.0,4201.496995119715,103156.66666666667,13094.929718533556,57886.333333333336,13094.929718533558,0.30544,0.0840299399023943,0.640553558159415,0.08131324999244649,7.733333333333333,0.3214550253664318,24327.0,0.0,211043.0,0.0,50.0,0.0,0.9803921568627451,0.0,0.7630814573333397,0.0,3
bot->ton,LightGBM,0.5023873491816043,0.033974187857980225,0.5785611192869813,0.01691311785710023,0.834716149603126,0.011784916745083982,0.43378890524062935,0.05316291418508334,0.5696055785754921,0.04723417404968475,0.13684207676133373,0.027625088424802356,0.6251396281531435,0.03314578162522037,0.8319606022678254,0.01371207605368176,36166.666666666664,1938.5645032686782,13833.333333333334,1938.5645032686775,91184.33333333333,8561.515189108373,69858.66666666667,8561.515189108373,0.27666666666666667,0.03877129006537354,0.5662110947593707,0.053162914185083336,3.6333333333333333,0.20816659994661324,24327.0,0.0,211043.0,0.0,50.0,0.0,0.9803921568627451,0.0,0.7630814573333397,0.0,3
