accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,dst,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,ratio,variant,n_normal,n_attack,n_per_domain,n_joint,train_pool_ton_normal,train_pool_bot_normal,train_pool_ton_attack,train_pool_bot_attack
0.9954600282129739,0.9556299094815186,0.9999890455226997,0.9954703452788266,0.9977245791222791,0.15244398456937178,0.9950575345138927,0.9999993365184237,87,8,3323,730287,0.08421052631578947,0.0045296547211733755,MLP(16),42,bot,2.4,4584,733705,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9344452604894691,0.9425316076251979,0.98609826971338,0.9271632152503958,0.9557230409805898,0.8358475988238753,0.9776743627557516,0.9888009803045132,9579,421,2346,29863,0.0421,0.07283678474960414,"KAN(cat,1L)",43,ton,0.3,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9954327693010133,0.9766661835953279,0.9999945225513408,0.9954376303485504,0.9977108732495968,0.1588345541138505,0.9977273311002046,0.9999997017930179,91,4,3347,730263,0.042105263157894736,0.00456236965144968,"KAN(cat,1L)",43,bot,5.0,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9878935771991755,0.9837931013070881,0.9925414879731493,0.9915862026141762,0.9920636153260751,0.9665551711621597,0.9968685879723059,0.9981883309928551,9760,240,271,31938,0.024,0.008413797385823839,"KAN(cat,ML)",43,ton,2.1,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9965231257794345,0.9877363851006451,0.9999972642576631,0.9965254017802374,0.9982583143131607,0.18529588127373856,0.9996595997156096,0.9999999542060498,93,2,2549,731061,0.021052631578947368,0.0034745982197625443,"KAN(cat,ML)",43,bot,6.8,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9773271103319198,0.965699220714707,0.9825818406423719,0.9877984414294141,0.9851832355354627,0.936981546740951,0.9822860271973671,0.9907564020168395,9436,564,393,31816,0.0564,0.012201558570585861,DecisionTree(d=5),43,ton,0.1,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9963909200564259,0.9771453210116662,0.9999945278191992,0.9963959051812271,0.9981919731254011,0.1781749506015811,0.992427132156122,0.999998127951662,91,4,2644,730966,0.042105263157894736,0.0036040948187729175,DecisionTree(d=5),43,bot,1.7,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9889597005378,0.9849743332608898,0.9929802764404411,0.9925486665217796,0.9927644245699024,0.9694811353151277,0.9959007777329317,0.9980506878029787,9774,226,240,31969,0.0226,0.007451333478220373,LightGBM,43,ton,1.0,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9964658820643174,0.9982327122040321,1.0,0.9964654244080642,0.9982295833683251,0.18766284130980626,0.9998984115322997,0.9999999834146527,95,0,2593,731017,0.0,0.00353457559193577,LightGBM,43,bot,8.3,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.987609277642209,0.983158624918501,0.9921409045725647,0.9916172498370021,0.9918790080899365,0.9657518228301487,0.9976849715917911,0.9990362672627642,9747,253,270,31939,0.0253,0.00838275016299792,XGBoost,43,ton,0.9,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9964795115202977,0.9982395278145064,1.0,0.9964790556290127,0.9982364230864029,0.18801417951067154,0.9998922129139318,0.9999999826075374,95,0,2583,731027,0.0,0.0035209443709873093,XGBoost,43,bot,3.6,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9572366083062854,0.9473292635598746,0.9775397373876987,0.9661585271197491,0.9718158112518152,0.8834994177772479,0.9802760330963395,0.9904459387635415,9285,715,1090,31119,0.0715,0.03384147288025086,MLP(16),43,ton,0.4,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9958525565452055,0.9558261990631765,0.9999890498410173,0.9958629244421423,0.9979217220680607,0.15935748688044216,0.9858226549457298,0.9999962362104823,87,8,3035,730575,0.08421052631578947,0.004137075557857717,MLP(16),43,bot,2.3,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,pkts_src",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9391125115496695,0.9456587118507249,0.9862519276831709,0.9332174237014499,0.9590020100181859,0.8459581568846596,0.9846173103790867,0.9929740332295907,9581,419,2151,30058,0.0419,0.0667825762985501,"KAN(cat,1L)",44,ton,0.3,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9954954647985226,0.9556476300687515,0.9999890459126877,0.9955057864532926,0.9977423799345734,0.15303172151787267,0.9960950713092214,0.9999994835229753,87,8,3297,730313,0.08421052631578947,0.0044942135467073785,"KAN(cat,1L)",44,bot,4.9,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9852164230377408,0.980659877673942,0.9912894695909161,0.9893197553478841,0.9903036330298038,0.9592116810436855,0.996942320469434,0.9986462950193298,9720,280,344,31865,0.028,0.010680244652115868,"KAN(cat,ML)",44,ton,2.1,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9964004606756122,0.9929375209400664,0.9999986319566714,0.9964013576696065,0.9981967538838753,0.1841055867107492,0.9995788239699998,0.9999999415552613,94,1,2640,730970,0.010526315789473684,0.0035986423303935333,"KAN(cat,ML)",44,bot,6.6,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.976568978180009,0.9637199804402496,0.9812850712215576,0.9881399608804993,0.9847005862970468,0.934793719783412,0.9806409574963519,0.9896299033054505,9393,607,382,31827,0.0607,0.011860039119500761,DecisionTree(d=5),44,ton,0.1,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9963622981988673,0.9823934845633597,0.9999958957352585,0.9963659164951405,0.9981776059245219,0.17938485674302018,0.9869263103369854,0.9999963563812072,92,3,2666,730944,0.031578947368421054,0.0036340835048595302,DecisionTree(d=5),44,bot,1.7,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9894335331327442,0.9842160374429507,0.9920376738854293,0.9941320748859015,0.9930837701206463,0.9707174777647823,0.997052316122823,0.9987719793433621,9743,257,189,32020,0.0257,0.0058679251140985435,LightGBM,44,ton,1.0,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9964086383492002,0.9929416103063509,0.9999986319679005,0.9964095364021756,0.9982008579893171,0.1843087102410558,0.9997369174356947,0.9999999581531615,94,1,2634,730976,0.010526315789473684,0.003590463597824457,LightGBM,44,bot,8.2,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9883437181643725,0.9822263249402341,0.990899241603467,0.9938526498804682,0.992373748333695,0.967674602715462,0.9977540144059116,0.9990682978197543,9706,294,198,32011,0.0294,0.006147350119531808,XGBoost,44,ton,0.7,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.996340491069299,0.9929075322539798,0.9999986318743185,0.9963413802974332,0.998166656083117,0.182636153263768,0.9997156240337078,0.9999999553843026,94,1,2684,730926,0.010526315789473684,0.003658619702566759,XGBoost,44,bot,3.4,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9606008197303892,0.9224006985625136,0.9552309985096871,0.9950013971250272,0.9747106859897504,0.889535146169166,0.9818186236766121,0.9912779519920094,8498,1502,161,32048,0.1502,0.004998602874972833,MLP(16),44,ton,0.3,4584,42209,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9959534145194594,0.9137768239111703,0.9999781023795871,0.9959747004539197,0.9979723864853993,0.1467791786452798,0.9528738416152568,0.999963664863825,79,16,2953,730657,0.16842105263157894,0.004025299546080343,MLP(16),44,bot,2.2,4584,733705,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9359141415337962,0.9420805396007327,0.984816616274484,0.9303610792014654,0.9568146622603254,0.8380930365269731,0.979764655841535,0.9908473919842387,9538,462,2243,29966,0.0462,0.06963892079853456,"KAN(cat,1L)",45,ton,0.3,4584,42209,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9932670487457493,0.9913706120920409,0.9999986276404198,0.9932675399735554,0.9966217186561825,0.13547341926267287,0.9971876495398746,0.9999996308717918,94,1,4939,728671,0.010526315789473684,0.006732460026444569,"KAN(cat,1L)",45,bot,4.7,4584,733705,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
