seed,fold,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
42,1,src_ip_bytes,dst_ip_bytes,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype,dns_qclass,dns_rcode
42,2,src_ip_bytes,dst_ip_bytes,duration,src_bytes,dst_pkts,src_pkts,dst_bytes,dns_qtype,dns_qclass,dns_rcode
42,3,src_ip_bytes,dst_ip_bytes,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype,dns_qclass,dns_rcode
42,4,src_ip_bytes,dst_ip_bytes,duration,src_bytes,dst_bytes,dst_pkts,src_pkts,dns_qtype,dns_qclass,dns_rcode
42,5,src_ip_bytes,dst_ip_bytes,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype,dns_qclass,dns_rcode
