accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.37643987244305666,0.5798012049576822,0.9486515313119,0.1933024099153642,0.3211629130600749,0.18727128989720682,0.6602305283061046,0.8455470197092396,48315,1685,129913,31130,0.0337,0.8066975900846358,"KAN(cat,1L)",42,2.0,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,pkts_src",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.5279018967698526,0.6121679606067945,0.8647627646178336,0.4520159212135889,0.5937011919860045,0.1947980182355421,0.6417615061815788,0.7905511350129333,38616,11384,88249,72794,0.22768,0.5479840787864111,"KAN(cat,ML)",42,8.1,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,pkts_src",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.3863667593807897,0.45017297218755237,0.7119737620302167,0.3289059443751048,0.4499509427070281,-0.08869028747058237,0.5184198500400514,0.7651111565760593,28572,21428,108075,52968,0.42856,0.6710940556248952,DecisionTree(d=5),42,0.1,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,pkts_src",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.5363219817762257,0.5979578413839781,0.8446175158436685,0.4808156827679564,0.6127888572333017,0.16805622866813108,0.6515982386070801,0.8435690776901703,35755,14245,83611,77432,0.2849,0.5191843172320436,LightGBM,42,3.7,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,pkts_src",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.6258677141625166,0.5879964011475196,0.8145428906447583,0.6599728022950392,0.7291562330632603,0.15403312961635782,0.6111416947647522,0.791985838192017,25801,24199,54759,106284,0.48398,0.34002719770496076,XGBoost,42,1.0,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,pkts_src",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.7727240420198728,0.5546813957762834,0.784044209997488,0.9690827915525667,0.866798299328229,0.20085401050294385,0.44009140962351667,0.7082864175095461,7014,42986,4979,156064,0.85972,0.030917208447433293,MLP(16),42,0.8,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,pkts_src",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.45513473557521456,0.6251317767925336,0.9494641916027405,0.30204355358506735,0.45829446846999633,0.24818894068044986,0.8349628371304559,0.9158858552414929,47411,2589,112401,48642,0.05178,0.6979564464149327,"KAN(cat,1L)",43,1.6,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.39278251351620286,0.4660918296976584,0.7273192171605485,0.32676365939531676,0.4509351100066411,-0.0607492428636842,0.5227306230013102,0.7913013691862555,30271,19729,108420,52623,0.39458,0.6732363406046832,"KAN(cat,ML)",43,7.6,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.3949811175921495,0.50358764429376,0.7674716956926136,0.2971752885875201,0.42844929073728405,0.0066867584283761446,0.588303342958092,0.7937836756912052,35500,14500,113185,47858,0.29,0.7028247114124799,DecisionTree(d=5),43,0.1,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.50246632202916,0.5668932571425023,0.821681131468981,0.44444651428500465,0.5768665046685284,0.11554263302003841,0.6358602558943887,0.8354812508014585,34467,15533,89468,71575,0.31066,0.5555534857149954,LightGBM,43,3.4,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
