L,byte_modello,deviazione_max_edge,limite_scostamento_logit,margine_minimo_osservato,vettori_entro_il_limite,decisioni_identiche,scostamento_max_osservato,decisioni_garantite
9,234,3185250,16533344,336,168834,168090,6492865,False
17,394,1738389,8439408,336,128577,168595,3074012,False
33,714,602186,2897380,336,22087,168761,692443,False
65,1354,172193,825654,336,4597,168811,204379,False
129,2634,45889,219538,336,1418,168828,52884,False
257,5194,11822,56586,336,374,168833,14136,False
513,10314,3098,14850,336,95,168834,3704,False
1025,20554,889,4271,336,34,168834,1175,False
