accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.9843792592107988,0.9921886181876176,1.0,0.9843772363752352,0.9921271201168876,0.0899577981974261,0.9996327457097288,0.999999951007554,95,0,11461,722148,0.0,0.0156227636247646,"KAN(cat,1L)",43,9.5,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.9965585576744844,0.9982790560094,1.0,0.9965581120188002,0.998276089255564,0.1900914009180103,0.9999345700502584,0.9999999907960764,95,0,2525,731084,0.0,0.0034418879811997,"KAN(cat,ML)",43,48.5,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.994828977353265,0.9974141538612532,1.0,0.994828307722506,0.9974074499256538,0.1558895122984497,0.9990535973881396,0.999999767099153,95,0,3794,729815,0.0,0.0051716922774938,DecisionTree(d=5),43,1.6,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.9966716823133036,0.9983356256534476,1.0,0.996671251306895,0.9983328508932424,0.1931868382255911,0.9999824802700364,0.9999999963391444,95,0,2442,731167,0.0,0.0033287486931049,LightGBM,43,13.8,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.9998855124137256,0.9841553197956948,0.999995910193298,0.999889586959811,0.9999427457502352,0.7175902743846935,0.9999796105353984,0.9999999959599458,92,3,81,733528,0.031578947368421,0.0001104130401889,XGBoost,43,5.2,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.9998691570442576,0.9578347593881754,0.9999890938190584,0.9998800450921403,0.9999345664824986,0.6746914660092016,0.998483818750143,0.9999997974660794,87,8,88,733521,0.0842105263157894,0.0001199549078596,MLP(16),43,5.9,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,3,cat,50.0,0.9803921568627452,0.9998705199917132
0.989110049829359,0.9945543198079632,1.0,0.9891086396159262,0.9945245019969464,0.1078062124318483,0.9987797170886455,0.9999998375774364,95,0,7990,725619,0.0,0.0108913603840738,"KAN(cat,1L)",43,10.5,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9965803648337748,0.9982899610010236,1.0,0.9965799220020474,0.9982870317585268,0.1906765912183002,0.9998239130826252,0.9999999751319038,95,0,2509,731100,0.0,0.0034200779979525,"KAN(cat,ML)",43,49.2,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9947526522957488,0.9815885573922892,0.999995889087583,0.9947560621529996,0.997369093615166,0.1499739318508409,0.9838271584655272,0.9999958275173932,92,3,3847,729762,0.031578947368421,0.0052439378470002,DecisionTree(d=5),43,1.5,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.996848865482538,0.9878992760448686,0.9999972651480034,0.9968511836686844,0.998421746045832,0.1943252916999873,0.9998699938465716,0.9999999790143366,93,2,2310,731299,0.0210526315789473,0.0031488163313154,LightGBM,43,10.6,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
