exp,model,variant,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std,recall_attack_mean,recall_attack_std,recall_normal_mean,recall_normal_std,precision_mean,precision_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,n_runs
ton->ton,DecisionTree(d=5),cat,0.9919,0.0009,0.9828,0.0015,0.9919,0.0033,0.9738,0.0058,0.9919,0.0018,0.9947,0.0005,0.9657,0.0034,50
ton->ton,DecisionTree(d=5),nocat,0.9815,0.0005,0.9663,0.0011,0.977,0.0007,0.9555,0.0019,0.9861,0.0006,0.9949,0.0005,0.9233,0.002,14
ton->ton,"KAN(cat,1L)",cat,0.9797,0.0007,0.9701,0.0012,0.9688,0.0013,0.9715,0.0019,0.991,0.0006,0.9974,0.0002,0.9184,0.0028,50
ton->ton,"KAN(cat,1L)",nocat,0.9702,0.0009,0.9544,0.0012,0.9559,0.0017,0.9529,0.0017,0.9849,0.0005,0.9932,0.0005,0.8817,0.0033,14
ton->ton,"KAN(cat,ML)",cat,0.9957,0.0003,0.9932,0.0007,0.9938,0.0005,0.9927,0.0013,0.9977,0.0004,0.9999,0.0,0.9822,0.0012,50
ton->ton,LightGBM,cat,0.9978,0.0002,0.9963,0.0004,0.997,0.0003,0.9955,0.0007,0.9986,0.0002,1.0,0.0,0.9909,0.0007,50
ton->ton,LightGBM,nocat,0.9962,0.0003,0.9927,0.0005,0.9955,0.0006,0.99,0.0011,0.9969,0.0004,0.9999,0.0,0.984,0.0012,14
ton->ton,MLP(16),cat,0.9948,0.0006,0.9879,0.0016,0.9958,0.0006,0.9799,0.0031,0.9938,0.0009,0.9995,0.0001,0.978,0.0024,50
ton->ton,MLP(16),nocat,0.9863,0.001,0.9658,0.0024,0.9908,0.0012,0.9408,0.0045,0.9818,0.0014,0.9978,0.0004,0.9415,0.0042,14
ton->ton,XGBoost,cat,0.9976,0.0002,0.9947,0.0004,0.9977,0.0003,0.9918,0.001,0.9974,0.0003,0.9999,0.0,0.9898,0.0006,50
ton->ton,XGBoost,nocat,0.9949,0.0005,0.9866,0.0016,0.9973,0.0003,0.976,0.0034,0.9926,0.001,0.9998,0.0001,0.9784,0.002,14
