model,n_fold,nested_mean,nested_std,k_costante,k_uguale_al_fisso,k_scelti,k_modale,flat_mean,ottimismo
"KAN(cat,1L)",15,0.9844569158945176,0.0006335008990621979,True,False,16x15,16,0.9835299692206668,-0.000926946673850737
LightGBM,15,0.9992382074714744,8.267667056653118e-05,False,False,"12x1,14x3,16x11",16,0.9991357059190418,-0.00010250155243263226
