exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
ton->bot,42,statico,0,0.0,0.96965,0,0,False,0.0471,1.0
ton->bot,42,ogni_batch,0,0.0,0.96965,0,0,False,0.0471,1.0
ton->bot,42,su_innesco,0,0.0,0.96965,0,0,False,0.0471,1.0
ton->bot,42,oracolo,0,0.0,0.96965,0,0,False,0.0471,1.0
ton->bot,42,stat_13x13,0,0.0,0.96965,0,0,False,0.0471,1.0
ton->bot,42,martingala,0,0.0,0.96965,0,0,False,0.0471,1.0
ton->bot,42,stat_13x13_adaptive,0,0.0,0.96965,0,0,False,0.0471,1.0
ton->bot,42,statico,1,0.053,0.9422,0,0,False,0.05335,1.0
ton->bot,42,ogni_batch,1,0.053,0.9422,1,32,False,0.05335,1.0
ton->bot,42,su_innesco,1,0.053,0.9422,0,0,False,0.05335,1.0
ton->bot,42,oracolo,1,0.053,0.9422,1,32,False,0.05335,1.0
ton->bot,42,stat_13x13,1,0.053,1.0,1,32,False,0.05335,1.0
ton->bot,42,martingala,1,0.053,0.9422,1,32,False,0.05335,1.0
ton->bot,42,stat_13x13_adaptive,1,0.053,1.0,1,32,False,0.05335,1.0
ton->bot,42,statico,2,0.105,0.91385,0,0,False,0.06015,1.0
ton->bot,42,ogni_batch,2,0.105,0.91385,2,64,False,0.06015,1.0
ton->bot,42,su_innesco,2,0.105,0.91385,0,0,False,0.06015,1.0
ton->bot,42,oracolo,2,0.105,0.91385,2,64,False,0.06015,1.0
ton->bot,42,stat_13x13,2,0.105,1.0,2,64,False,0.06015,1.0
ton->bot,42,martingala,2,0.105,0.91385,2,64,False,0.06015,1.0
ton->bot,42,stat_13x13_adaptive,2,0.105,1.0,2,64,False,0.06015,1.0
ton->bot,42,statico,3,0.158,0.9422442244224423,0,0,False,0.06665,1.0
ton->bot,42,ogni_batch,3,0.158,0.9422442244224423,3,96,False,0.06665,1.0
ton->bot,42,su_innesco,3,0.158,0.9422442244224423,0,0,False,0.06665,1.0
ton->bot,42,oracolo,3,0.158,0.9422442244224423,3,96,False,0.06665,1.0
ton->bot,42,stat_13x13,3,0.158,0.5,3,96,False,0.06665,1.0
ton->bot,42,martingala,3,0.158,0.9422442244224423,3,96,False,0.06665,1.0
ton->bot,42,stat_13x13_adaptive,3,0.158,0.5,3,96,False,0.06665,1.0
ton->bot,42,statico,4,0.211,0.85675,0,0,False,0.0742,1.0
ton->bot,42,ogni_batch,4,0.211,0.85675,4,128,False,0.0742,1.0
ton->bot,42,su_innesco,4,0.211,0.85675,0,0,False,0.0742,1.0
ton->bot,42,oracolo,4,0.211,0.9947,4,128,False,0.0742,1.0
