exp,seed,selezione,stima,budget,normali,bal_acc
ton->bot,47,adattiva,L2,32,21,0.9172935103535957
ton->bot,47,adattiva,Firth,32,21,0.6761839335373971
ton->bot,47,adattiva,L2,128,23,0.9659239988659244
ton->bot,47,adattiva,Firth,128,23,0.8687858923291556
ton->bot,47,kcenter,L2,8,3,0.7470342296532098
ton->bot,47,kcenter,Firth,8,3,0.7834788749465572
ton->bot,47,kcenter,L2,32,15,0.9317321517783557
ton->bot,47,kcenter,Firth,32,15,0.943482582383139
ton->bot,47,kcenter,L2,128,43,0.92689957748172
ton->bot,47,kcenter,Firth,128,43,0.9315897390031316
ton->bot,47,margine+kcenter,L2,8,4,0.8590659551034572
ton->bot,47,margine+kcenter,Firth,8,4,0.6443242236937763
ton->bot,47,margine+kcenter,L2,32,9,0.8568594683260369
ton->bot,47,margine+kcenter,Firth,32,9,0.31400070944056
ton->bot,47,margine+kcenter,L2,128,53,0.7618477801817192
ton->bot,47,margine+kcenter,Firth,128,53,0.4959716143553833
ton->bot,48,adattiva,—,8,0,
ton->bot,48,adattiva,—,32,0,
ton->bot,48,adattiva,—,128,0,
ton->bot,48,kcenter,L2,8,4,0.9299712368454558
ton->bot,48,kcenter,Firth,8,4,0.9138457399169124
ton->bot,48,kcenter,L2,32,17,0.8916299972497937
ton->bot,48,kcenter,Firth,32,17,0.8905311648373628
ton->bot,48,kcenter,L2,128,43,0.6852401152978496
ton->bot,48,kcenter,Firth,128,43,0.6970819049709029
ton->bot,48,margine+kcenter,—,8,0,
ton->bot,48,margine+kcenter,L2,32,3,0.8241645355032176
ton->bot,48,margine+kcenter,Firth,32,3,0.4261848031255671
ton->bot,48,margine+kcenter,L2,128,46,0.8766705137969677
ton->bot,48,margine+kcenter,Firth,128,46,0.49722213253605674
ton->bot,49,adattiva,—,8,0,
ton->bot,49,adattiva,—,32,0,
ton->bot,49,adattiva,—,128,0,
ton->bot,49,kcenter,L2,8,2,0.755764472934188
ton->bot,49,kcenter,Firth,8,2,0.786961008830265
ton->bot,49,kcenter,L2,32,14,0.8228591653162391
ton->bot,49,kcenter,Firth,32,14,0.8751898794001611
ton->bot,49,kcenter,L2,128,42,0.6789064642623914
ton->bot,49,kcenter,Firth,128,42,0.6789889997526523
ton->bot,49,margine+kcenter,—,8,0,
ton->bot,49,margine+kcenter,L2,32,3,0.7075825361766064
ton->bot,49,margine+kcenter,Firth,32,3,0.4454249821920381
ton->bot,49,margine+kcenter,L2,128,56,0.6527884123795256
ton->bot,49,margine+kcenter,Firth,128,56,0.43385896238560373
ton->bot,50,adattiva,L2,8,4,0.7634085239844333
ton->bot,50,adattiva,Firth,8,4,0.852302405456143
ton->bot,50,adattiva,L2,32,20,0.7469320861658701
ton->bot,50,adattiva,Firth,32,20,0.6419471601556488
ton->bot,50,adattiva,L2,128,20,0.8323754345946374
ton->bot,50,adattiva,Firth,128,20,0.5589345763123466
ton->bot,50,kcenter,L2,8,4,0.8100960856426431
ton->bot,50,kcenter,Firth,8,4,0.7277411563030415
ton->bot,50,kcenter,L2,32,12,0.7740136916917498
ton->bot,50,kcenter,Firth,32,12,0.7202452503314847
ton->bot,50,kcenter,L2,128,43,0.8793010070754725
ton->bot,50,kcenter,Firth,128,43,0.7769299244805771
ton->bot,50,margine+kcenter,L2,8,4,0.6437508189910098
ton->bot,50,margine+kcenter,Firth,8,4,0.6507535911817602
ton->bot,50,margine+kcenter,L2,32,8,0.656030066891609
ton->bot,50,margine+kcenter,Firth,32,8,0.6704717998995701
ton->bot,50,margine+kcenter,L2,128,61,0.7557035152449147
ton->bot,50,margine+kcenter,Firth,128,61,0.5170175097600004
ton->bot,51,adattiva,L2,8,1,0.9065933746756767
ton->bot,51,adattiva,Firth,8,1,0.9150601888713163
ton->bot,51,adattiva,L2,32,21,0.9025851520517839
ton->bot,51,adattiva,Firth,32,21,0.6628331334539189
ton->bot,51,adattiva,L2,128,78,0.9105700109237835
ton->bot,51,adattiva,Firth,128,78,0.7033873129936619
ton->bot,51,kcenter,L2,8,4,0.9304562465456497
ton->bot,51,kcenter,Firth,8,4,0.876400038571596
ton->bot,51,kcenter,L2,32,15,0.8833208777291524
ton->bot,51,kcenter,Firth,32,15,0.8089036431733061
ton->bot,51,kcenter,L2,128,42,0.6834441396007179
ton->bot,51,kcenter,Firth,128,42,0.7553000203880773
ton->bot,51,margine+kcenter,L2,8,5,0.8417101044651263
ton->bot,51,margine+kcenter,Firth,8,5,0.6203431875630677
ton->bot,51,margine+kcenter,L2,32,25,0.8644195799065356
ton->bot,51,margine+kcenter,Firth,32,25,0.47318958154685853
ton->bot,51,margine+kcenter,L2,128,53,0.7409978093200045
ton->bot,51,margine+kcenter,Firth,128,53,0.5856630552494921
bot->ton,42,adattiva,L2,8,1,0.6834444923082122
bot->ton,42,adattiva,Firth,8,1,0.5119862404948241
bot->ton,42,adattiva,L2,32,6,0.9142336798582235
bot->ton,42,adattiva,Firth,32,6,0.8733087888691933
bot->ton,42,adattiva,L2,128,32,0.9406029213950522
bot->ton,42,adattiva,Firth,128,32,0.940780434209203
bot->ton,42,kcenter,L2,8,5,0.5325560527364211
bot->ton,42,kcenter,Firth,8,5,0.58388555044029
bot->ton,42,kcenter,L2,32,14,0.7817454612489447
bot->ton,42,kcenter,Firth,32,14,0.867603051630423
bot->ton,42,kcenter,L2,128,45,0.7852889730479101
bot->ton,42,kcenter,Firth,128,45,0.7850218259306139
bot->ton,42,margine+kcenter,L2,8,2,0.6198085575018597
bot->ton,42,margine+kcenter,Firth,8,2,0.5375121355568655
bot->ton,42,margine+kcenter,L2,32,4,0.6716719535494708
bot->ton,42,margine+kcenter,Firth,32,4,0.34183334014608013
bot->ton,42,margine+kcenter,L2,128,13,0.6947110177110952
bot->ton,42,margine+kcenter,Firth,128,13,0.5761151540780598
bot->ton,43,adattiva,L2,8,2,0.7695007407218921
bot->ton,43,adattiva,Firth,8,2,0.5485722118949774
bot->ton,43,adattiva,L2,32,7,0.8999846094291182
bot->ton,43,adattiva,Firth,32,7,0.8960602513764788
bot->ton,43,adattiva,L2,128,20,0.9042524857832033
bot->ton,43,adattiva,Firth,128,20,0.9010383014236545
bot->ton,43,kcenter,L2,8,4,0.7661458658407412
bot->ton,43,kcenter,Firth,8,4,0.7654486125493161
bot->ton,43,kcenter,L2,32,15,0.7725647188151203
bot->ton,43,kcenter,Firth,32,15,0.7713608789081646
bot->ton,43,kcenter,L2,128,54,0.7855592728154657
bot->ton,43,kcenter,Firth,128,54,0.7809207044640087
bot->ton,43,margine+kcenter,L2,8,1,0.7176621003917135
bot->ton,43,margine+kcenter,Firth,8,1,0.5666499572819147
bot->ton,43,margine+kcenter,L2,32,5,0.7324184941224783
bot->ton,43,margine+kcenter,Firth,32,5,0.2295470898259896
bot->ton,43,margine+kcenter,L2,128,17,0.6937632708326409
bot->ton,43,margine+kcenter,Firth,128,17,0.29676363656880234
bot->ton,44,adattiva,L2,8,1,0.7217978451945899
