exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias
ton->bot,51,intero non adattato,0.49429846960167717,0.9984686522643496,,,,
ton->bot,51,intero + guadagni float  n=8,0.4869890096702901,,8.0,2.0,,
ton->bot,51,intero + guadagni interi n=8,0.5916952508575257,,8.0,,"[-173, 69, -512, 17, -145, -80, 59, 135, -229, 34, 525, 637]",134.0
ton->bot,51,intero + guadagni float  n=32,0.6105157189573575,,32.0,11.0,,
ton->bot,51,intero + guadagni interi n=32,0.7545392534456461,,32.0,,"[-240, 64, -34, -17, -115, -102, 23, 27, -137, 24, 375, 611]",1004.0
ton->bot,51,intero + guadagni float  n=128,0.8095558089087269,,128.0,17.0,,
ton->bot,51,intero + guadagni interi n=128,0.5644895797602452,,128.0,,"[-307, 64, 53, -31, -132, -119, 38, 41, -258, 47, 91, -304]",0.0
bot->ton,42,float non adattato,0.590449634569649,,,,,
bot->ton,42,intero non adattato,0.6640593029190961,0.7793909298105125,,,,
bot->ton,42,intero + guadagni float  n=8,0.7103565733195472,,8.0,2.0,,
bot->ton,42,intero + guadagni interi n=8,0.5967047061323203,,8.0,,"[58, 135, 146, 80, 45, 744, 393, -153, 67, 340, -50, -341]",1721.0
bot->ton,42,intero + guadagni float  n=32,0.844167785201534,,32.0,5.0,,
bot->ton,42,intero + guadagni interi n=32,0.8345319438412764,,32.0,,"[103, 46, 110, 61, -41, 54, -146, -77, 128, 140, 777, -23]",0.0
bot->ton,42,intero + guadagni float  n=128,0.8842107561087548,,128.0,27.0,,
bot->ton,42,intero + guadagni interi n=128,0.8727241840964067,,128.0,,"[-1, -2, 36, 31, 38, -7, -112, -127, 95, 87, 866, -147]",0.0
bot->ton,43,float non adattato,0.7105053078991326,,,,,
bot->ton,43,intero non adattato,0.7666631183596928,0.8664205872736835,,,,
bot->ton,43,intero + guadagni interi n=8,,,8.0,,,
bot->ton,43,intero + guadagni float  n=32,0.868937449414551,,32.0,7.0,,
bot->ton,43,intero + guadagni interi n=32,0.8546908454674493,,32.0,,"[14, 49, 36, 160, 10, -62, -40, -116, 91, 42, 842, -573]",881.0
bot->ton,43,intero + guadagni float  n=128,0.8627952381790461,,128.0,28.0,,
bot->ton,43,intero + guadagni interi n=128,0.873197209558408,,128.0,,"[28, 10, 16, 1, 40, -144, -59, -624, 105, 86, 987, -464]",17.0
bot->ton,44,float non adattato,0.49563425904882547,,,,,
bot->ton,44,intero non adattato,0.6802687120831082,0.710755627999981,,,,
bot->ton,44,intero + guadagni float  n=8,0.6666879901099352,,8.0,1.0,,
bot->ton,44,intero + guadagni interi n=8,0.7102626606296503,,8.0,,"[43, 52, 135, -88, -67, -174, 5, 36, 86, -26, 693, 37362]",2000.0
bot->ton,44,intero + guadagni float  n=32,0.726082840766457,,32.0,6.0,,
bot->ton,44,intero + guadagni interi n=32,0.7640489378397244,,32.0,,"[-62, 83, 117, -112, 22, -29, 321, -512, 238, 120, 674, -294]",2000.0
bot->ton,44,intero + guadagni float  n=128,0.8355870719990858,,128.0,20.0,,
bot->ton,44,intero + guadagni interi n=128,0.834741271846608,,128.0,,"[2, -44, 114, -1, 50, -7, 131, -79, 91, 128, 617, -398]",1361.0
bot->ton,45,float non adattato,0.5778067830951982,,,,,
bot->ton,45,intero non adattato,0.6485182648112615,0.8757741313381633,,,,
bot->ton,45,intero + guadagni float  n=8,0.7262379198385208,,8.0,2.0,,
bot->ton,45,intero + guadagni interi n=8,0.7854013439585256,,8.0,,"[-11, -30, -8, -84, 24, -50, -45, 61, 25, -4, 1875, 165]",2000.0
bot->ton,45,intero + guadagni float  n=32,0.7268770412086071,,32.0,2.0,,
bot->ton,45,intero + guadagni interi n=32,0.7848979456374133,,32.0,,"[4, 27, 30, -75, 2, 2, 5, -79, -11, 32, 1283, 4]",2000.0
bot->ton,45,intero + guadagni float  n=128,0.7772983228715318,,128.0,6.0,,
bot->ton,45,intero + guadagni interi n=128,0.7848694065185524,,128.0,,"[0, 30, 21, -69, -2, 9, 0, -102, -13, 39, 1156, 5]",786.0
bot->ton,46,float non adattato,0.6121975759890216,,,,,
bot->ton,46,intero non adattato,0.743978347149519,0.7450709097198202,,,,
bot->ton,46,intero + guadagni float  n=8,0.73506413091326,,8.0,1.0,,
bot->ton,46,intero + guadagni interi n=8,0.7850730919832137,,8.0,,"[-15, -13, 62, -74, -13, 17, 5, -61, 18, 31, 1670, -124]",2000.0
bot->ton,46,intero + guadagni float  n=32,0.563909299175934,,32.0,3.0,,
bot->ton,46,intero + guadagni interi n=32,0.6182963480945229,,32.0,,"[-51, 18, 32, -49, 17, 0, 110, -361, -4, 46, 1196, 418]",164.0
bot->ton,46,intero + guadagni float  n=128,0.6156671244419304,,128.0,6.0,,
bot->ton,46,intero + guadagni interi n=128,0.76274539339287,,128.0,,"[-39, 14, -4, 38, -48, 32, 21, -131, -1, 60, 964, 355]",201.0
bot->ton,47,float non adattato,0.6087325486981737,,,,,
bot->ton,47,intero non adattato,0.7560879239706165,0.6945646147941414,,,,
bot->ton,47,intero + guadagni float  n=8,0.7701537316881188,,8.0,2.0,,
bot->ton,47,intero + guadagni interi n=8,0.7832475543102277,,8.0,,"[-15, 138, 34, -49, -3, -3, -70, -86, 140, 62, 1355, -78]",1870.0
bot->ton,47,intero + guadagni float  n=32,0.8399455624814688,,32.0,7.0,,
bot->ton,47,intero + guadagni interi n=32,0.8376871938560984,,32.0,,"[50, 86, 101, -42, 20, -96, -20, -114, 78, 48, 171, -924]",43.0
bot->ton,47,intero + guadagni float  n=128,0.8153524161402803,,128.0,24.0,,
bot->ton,47,intero + guadagni interi n=128,0.8674874336788637,,128.0,,"[37, 56, 84, 27, 50, -21, 59, -65, 80, 31, 893, -735]",13.0
bot->ton,48,float non adattato,0.5512176487646157,,,,,
bot->ton,48,intero non adattato,0.63778724042647,0.7349355344645404,,,,
bot->ton,48,intero + guadagni float  n=8,0.7359094413539715,,8.0,5.0,,
bot->ton,48,intero + guadagni interi n=8,0.7256640418140174,,8.0,,"[27, -40, -22, -172, -19, 10, -160, -177, 114, 107, 599, -214]",0.0
bot->ton,48,intero + guadagni float  n=32,0.8751587446807244,,32.0,8.0,,
bot->ton,48,intero + guadagni interi n=32,0.838428057530995,,32.0,,"[33, -153, -7, -4, 13, -61, -2, -71, 157, 42, 366, -496]",0.0
bot->ton,48,intero + guadagni float  n=128,0.8379450310475083,,128.0,34.0,,
bot->ton,48,intero + guadagni interi n=128,0.8606627954511071,,128.0,,"[76, -91, -52, 13, 21, 1, -61, -15, 78, 35, 581, -304]",-3.0
bot->ton,49,float non adattato,0.6968267652117758,,,,,
bot->ton,49,intero non adattato,0.7149460898641977,0.7996569419502186,,,,
bot->ton,49,intero + guadagni interi n=8,,,8.0,,,
bot->ton,49,intero + guadagni float  n=32,0.8437311139884929,,32.0,10.0,,
bot->ton,49,intero + guadagni interi n=32,0.8399584010056929,,32.0,,"[129, -33, 168, 130, 42, -98, 221, -113, 105, 50, 1400, -30]",0.0
bot->ton,49,intero + guadagni float  n=128,0.8714808766343847,,128.0,28.0,,
bot->ton,49,intero + guadagni interi n=128,0.8575472801542754,,128.0,,"[80, -43, 61, 67, 31, -24, 16, -168, 73, 77, 1079, -132]",48.0
bot->ton,50,float non adattato,0.6922856045279832,,,,,
bot->ton,50,intero non adattato,0.733406101351813,0.7947479897461655,,,,
bot->ton,50,intero + guadagni interi n=8,,,8.0,,,
bot->ton,50,intero + guadagni float  n=32,0.8648752403426574,,32.0,10.0,,
bot->ton,50,intero + guadagni interi n=32,0.8022288628734497,,32.0,,"[38, 69, 79, 73, -1, 46, -57, -276, 256, 24, 731, -297]",0.0
bot->ton,50,intero + guadagni float  n=128,0.8593965669538878,,128.0,32.0,,
bot->ton,50,intero + guadagni interi n=128,0.7420478167146473,,128.0,,"[36, 44, 105, 56, 99, 39, -50, -510, 109, 67, 691, -1362]",0.0
bot->ton,51,float non adattato,0.5764178359816944,,,,,
bot->ton,51,intero non adattato,0.7518403066261805,0.6606331411134224,,,,
bot->ton,51,intero + guadagni interi n=8,,,8.0,,,
bot->ton,51,intero + guadagni float  n=32,0.8598716523560308,,32.0,3.0,,
bot->ton,51,intero + guadagni interi n=32,0.8654566554353975,,32.0,,"[45, 31, 74, 63, 14, 0, 15, -237, 56, 50, 1371, -624]",283.0
bot->ton,51,intero + guadagni float  n=128,0.8428084283718503,,128.0,23.0,,
bot->ton,51,intero + guadagni interi n=128,0.8592968054422583,,128.0,,"[56, 41, -17, 23, 39, -4, 73, -179, 77, 69, 751, -937]",86.0
ton->unsw,42,float non adattato,0.22506183172790337,,,,,
ton->unsw,42,intero non adattato,0.29607566099227345,0.9104213479875657,,,,
ton->unsw,42,intero + guadagni float  n=8,0.5028777221510258,,8.0,4.0,,
ton->unsw,42,intero + guadagni interi n=8,0.5111794634452591,,8.0,,"[-164, 4, -135, -11, -931, -145, -153, -111, 204, -18, 161, -886]",32.0
ton->unsw,42,intero + guadagni float  n=32,0.7456095615426194,,32.0,18.0,,
ton->unsw,42,intero + guadagni interi n=32,0.77048656499101,,32.0,,"[153, 127, 92, -37, -208, -308, -144, -20, -306, -43, -111, -643]",1993.0
ton->unsw,42,intero + guadagni float  n=128,0.5758642664269527,,128.0,77.0,,
ton->unsw,42,intero + guadagni interi n=128,0.5891677406702167,,128.0,,"[4, 147, 127, -75, -450, -159, -22, 63, 63, -64, 170, -1097]",1973.0
ton->unsw,43,float non adattato,0.21307170515643614,,,,,
ton->unsw,43,intero non adattato,0.29497921883505984,0.8842990922603455,,,,
ton->unsw,43,intero + guadagni interi n=8,,,8.0,,,
ton->unsw,43,intero + guadagni float  n=32,0.5483990020682348,,32.0,21.0,,
ton->unsw,43,intero + guadagni interi n=32,0.48660466851786693,,32.0,,"[-274, 85, -14, 206, -396, -133, 224, 89, 192, 13, 325, -655]",1952.0
ton->unsw,43,intero + guadagni float  n=128,0.5688655979251309,,128.0,71.0,,
ton->unsw,43,intero + guadagni interi n=128,0.5793280285507139,,128.0,,"[-34, 35, -4, 29, -186, -173, 4, -14, 98, -45, 298, 175]",7.0
ton->unsw,44,float non adattato,0.22293098384814639,,,,,
ton->unsw,44,intero non adattato,0.30322507871415944,0.8956351655004599,,,,
ton->unsw,44,intero + guadagni float  n=8,0.6919486724645331,,8.0,4.0,,
ton->unsw,44,intero + guadagni interi n=8,0.7503747378224306,,8.0,,"[100, -5, 45, -13, -372, -31, -29, -59, 121, -23, 312, -1527]",0.0
ton->unsw,44,intero + guadagni float  n=32,0.770535642922147,,32.0,21.0,,
ton->unsw,44,intero + guadagni interi n=32,0.7628892028218781,,32.0,,"[216, 30, -17, -56, -809, -49, -47, -54, 173, 16, -70, -4400]",0.0
ton->unsw,44,intero + guadagni float  n=128,0.5828388643797738,,128.0,84.0,,
ton->unsw,44,intero + guadagni interi n=128,0.7617688129578228,,128.0,,"[276, 51, 57, -11, -402, -256, -63, -55, 110, -41, 343, 203]",0.0
ton->unsw,45,float non adattato,0.22469049688502904,,,,,
ton->unsw,45,intero non adattato,0.40360544984263047,0.7175295820671936,,,,
ton->unsw,45,intero + guadagni float  n=8,0.49909894149301837,,8.0,4.0,,
ton->unsw,45,intero + guadagni interi n=8,0.48373740003917326,,8.0,,"[-304, -62, -59, 512, -152, -182, 234, 438, 165, -220, -19, 10669]",950.0
ton->unsw,45,intero + guadagni float  n=32,0.5990261373920706,,32.0,21.0,,
ton->unsw,45,intero + guadagni interi n=32,0.5982537296190944,,32.0,,"[93, 46, 45, 94, -255, -144, 308, -239, 87, 24, -694, -627]",2000.0
ton->unsw,45,intero + guadagni float  n=128,0.48418529601773824,,128.0,64.0,,
ton->unsw,45,intero + guadagni interi n=128,0.4929017666159082,,128.0,,"[-91, 97, -30, 25, -280, -65, -4, -26, 266, -11, -18, 714]",12.0
ton->unsw,46,float non adattato,0.22808777708628028,,,,,
ton->unsw,46,intero non adattato,0.28909253235591237,0.9204301576028532,,,,
ton->unsw,46,intero + guadagni float  n=8,0.4160299945404461,,8.0,2.0,,
ton->unsw,46,intero + guadagni interi n=8,0.39734838461753796,,8.0,,"[-152, 88, 490, -5, -512, 79, 121, 206, 396, 5, 193, -1951]",1971.0
ton->unsw,46,intero + guadagni float  n=32,0.5496583180848817,,32.0,15.0,,
