src,dst,exp,seed,spazio,terna,ratio,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,3.0,False,32 etichette,0.7566431914767904,257673,0.1626712926849146,0.0,,,32.0,11.0
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,3.0,False,rifit completo n=32,0.7551554239491819,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,3.0,False,128 etichette,0.7640472907683225,257673,0.1626712926849146,0.0,,,128.0,55.0
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,3.0,False,rifit completo n=128,0.7911817212873709,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,45,ricco,ton+bot+unsw,3.0,True,non adattato,0.9709763885870408,42209,0.0,0.0,0.9928475115650905,0.7630837025278969,,
ton,bot,ton->bot,45,ricco,ton+bot+unsw,3.0,False,non adattato,0.5521526153039833,200477,0.00027434568553998714,0.0,0.5301762788259958,0.9976206746908622,,
ton,bot,ton->bot,45,ricco,ton+bot+unsw,3.0,False,8 etichette,,200477,0.00027434568553998714,0.0,,,8.0,0.0
ton,bot,ton->bot,45,ricco,ton+bot+unsw,3.0,False,32 etichette,0.9020917914386359,200477,0.00027434568553998714,0.0,,,32.0,15.0
ton,bot,ton->bot,45,ricco,ton+bot+unsw,3.0,False,rifit completo n=32,0.7881756312922962,200477,0.00027434568553998714,0.0,,,32.0,
ton,bot,ton->bot,45,ricco,ton+bot+unsw,3.0,False,128 etichette,0.9222204618518107,200477,0.00027434568553998714,0.0,,,128.0,30.0
ton,bot,ton->bot,45,ricco,ton+bot+unsw,3.0,False,rifit completo n=128,0.7954065277220738,200477,0.00027434568553998714,0.0,,,128.0,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,3.0,False,non adattato,0.22520542911729463,257673,0.1626712926849146,0.0,0.27634275363184735,0.6390774353541117,,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,3.0,False,8 etichette,0.7584416275933334,257673,0.1626712926849146,0.0,,,8.0,4.0
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,3.0,False,rifit completo n=8,0.7565818426303987,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,3.0,False,32 etichette,0.7790535444668791,257673,0.1626712926849146,0.0,,,32.0,10.0
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,3.0,False,rifit completo n=32,0.7897616653210096,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,3.0,False,128 etichette,0.7856072331588493,257673,0.1626712926849146,0.0,,,128.0,40.0
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,3.0,False,rifit completo n=128,0.784575165079049,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,46,ricco,ton+bot+unsw,3.0,True,non adattato,0.969696594119656,42209,0.0,0.0,0.9934716135241703,0.7630837025278969,,
ton,bot,ton->bot,46,ricco,ton+bot+unsw,3.0,False,non adattato,0.5533951153039832,200477,0.0002693575821665328,0.0,0.5281589779874214,0.9976206746908622,,
ton,bot,ton->bot,46,ricco,ton+bot+unsw,3.0,False,8 etichette,0.9095071838821287,200477,0.0002693575821665328,0.0,,,8.0,3.0
ton,bot,ton->bot,46,ricco,ton+bot+unsw,3.0,False,rifit completo n=8,0.8232030800770018,200477,0.0002693575821665328,0.0,,,8.0,
ton,bot,ton->bot,46,ricco,ton+bot+unsw,3.0,False,32 etichette,0.9080422366544205,200477,0.0002693575821665328,0.0,,,32.0,16.0
