exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
ton->bot,49,intero + guadagni interi n=32,0.8479537295546726,50.0,,32.0,,0.8103345753248234,"[-1095, 114, 103, 21, -299, -243, 6, -72, 126, 65, 244, -929]",6001.0,6000.0
ton->bot,49,intero + guadagni float  n=128,0.7995558502288238,50.0,,128.0,2.0,0.7516148294667307,,,
ton->bot,49,intero + guadagni interi n=128,0.833210107895883,50.0,,128.0,,0.7903173794184468,"[-189, 154, 76, 14, -226, -328, -10, 78, 40, 89, 427, -1402]",6006.0,6000.0
ton->bot,50,float non adattato,0.5490897431865829,50.0,,,,,,,
ton->bot,50,intero non adattato,0.5176489203354298,50.0,0.9975259007267666,,,,,,
ton->bot,50,intero + guadagni float  n=8,0.7209293281395341,50.0,,8.0,1.0,0.7923478924528977,,,
ton->bot,50,intero + guadagni interi n=8,0.8136581251098809,50.0,,8.0,,0.8827402908606969,"[506, 127, 27, 29, 200, -910, 33, 136, -349, 88, 761, -1078]",6009.0,6000.0
ton->bot,50,intero + guadagni float  n=32,0.7896683412661039,50.0,,32.0,1.0,0.8145936357947959,,,
ton->bot,50,intero + guadagni interi n=32,0.7751918317082594,50.0,,32.0,,0.800441340896735,"[289, 110, -32, 16, -219, -823, -67, 4, 126, 61, 663, -796]",6000.0,6000.0
ton->bot,50,intero + guadagni float  n=128,0.8516499851630028,50.0,,128.0,2.0,0.8928116996412527,,,
ton->bot,50,intero + guadagni interi n=128,0.8456401832726506,50.0,,128.0,,0.8928200385338477,"[199, 88, -215, 10, -312, -978, -23, 51, -170, 86, 1024, -255]",4699.0,6000.0
ton->bot,51,float non adattato,0.5714091037735849,50.0,,,,,,,
ton->bot,51,intero non adattato,0.49429846960167717,50.0,0.9984686522643496,,,,,,
ton->bot,51,intero + guadagni float  n=8,0.4815508444337804,50.0,,8.0,2.0,0.49961311188811186,,,
ton->bot,51,intero + guadagni interi n=8,0.5881411699055605,50.0,,8.0,,0.6035311188811189,"[-246, 96, -512, 23, -211, -99, 72, 174, -306, 41, 659, 812]",134.0,6000.0
ton->bot,51,intero + guadagni float  n=32,0.6043919718911682,50.0,,32.0,11.0,0.6244853358575294,,,
