exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti
ton->bot,42,martingala,9,0.474,0.9607238519657217,8,256,False,0.10515
ton->bot,42,stat_13x13_adaptive,9,0.474,0.9683298868420381,9,288,False,0.10515
ton->bot,42,statico,10,0.526,0.8129045166633802,0,0,False,0.1097
ton->bot,42,ogni_batch,10,0.526,0.9625234571490521,10,320,False,0.1097
ton->bot,42,su_innesco,10,0.526,0.8129045166633802,0,0,False,0.1097
ton->bot,42,oracolo,10,0.526,0.9609136963989385,10,320,False,0.1097
ton->bot,42,stat_13x13,10,0.526,0.9678460078352527,10,320,False,0.1097
ton->bot,42,martingala,10,0.526,0.9677499149219926,9,288,False,0.1097
ton->bot,42,stat_13x13_adaptive,10,0.526,0.9648049738100809,10,320,False,0.1097
ton->bot,42,statico,11,0.579,0.8028341787442113,0,0,False,0.1183
ton->bot,42,ogni_batch,11,0.579,0.9687576012820167,11,352,False,0.1183
ton->bot,42,su_innesco,11,0.579,0.8028341787442113,0,0,False,0.1183
ton->bot,42,oracolo,11,0.579,0.9612380319690175,11,352,False,0.1183
ton->bot,42,stat_13x13,11,0.579,0.7811432328153252,11,352,False,0.1183
ton->bot,42,martingala,11,0.579,0.9723119831731847,10,320,False,0.1183
ton->bot,42,stat_13x13_adaptive,11,0.579,0.9731267647219113,11,352,False,0.1183
ton->bot,42,statico,12,0.632,0.7920140531581454,0,0,False,0.1274
ton->bot,42,ogni_batch,12,0.632,0.9770887056989235,12,384,False,0.1274
ton->bot,42,su_innesco,12,0.632,0.7920140531581454,0,0,False,0.1274
ton->bot,42,oracolo,12,0.632,0.9640404761766981,12,384,False,0.1274
ton->bot,42,stat_13x13,12,0.632,0.9737105207911082,12,384,False,0.1274
ton->bot,42,martingala,12,0.632,0.9747227856983821,11,352,False,0.1274
ton->bot,42,stat_13x13_adaptive,12,0.632,0.9764751456971792,12,384,False,0.1274
ton->bot,42,statico,13,0.684,0.7771456749299308,0,0,True,0.13625
ton->bot,42,ogni_batch,13,0.684,0.9786761373318975,13,416,True,0.13625
ton->bot,42,su_innesco,13,0.684,0.7771456749299308,0,0,True,0.13625
ton->bot,42,oracolo,13,0.684,0.9613145805459773,13,416,True,0.13625
ton->bot,42,stat_13x13,13,0.684,0.9168989010112436,13,416,True,0.13625
ton->bot,42,martingala,13,0.684,0.9717848868197492,12,384,True,0.13625
ton->bot,42,stat_13x13_adaptive,13,0.684,0.831415813690405,13,416,True,0.13625
ton->bot,42,statico,14,0.737,0.7590658005990671,0,0,True,0.14275
ton->bot,42,ogni_batch,14,0.737,0.9752362179613729,14,448,True,0.14275
ton->bot,42,su_innesco,14,0.737,0.5698627614129372,1,32,True,0.14275
ton->bot,42,oracolo,14,0.737,0.9613307216964424,14,448,True,0.14275
ton->bot,42,stat_13x13,14,0.737,0.9160013335493704,14,448,True,0.14275
ton->bot,42,martingala,14,0.737,0.9642576548027167,13,416,True,0.14275
ton->bot,42,stat_13x13_adaptive,14,0.737,0.87911053190159,14,448,True,0.14275
ton->bot,42,statico,15,0.789,0.7517175151442211,0,0,True,0.1523
ton->bot,42,ogni_batch,15,0.789,0.9769606417405491,15,480,True,0.1523
ton->bot,42,su_innesco,15,0.789,0.7205289445179925,2,64,True,0.1523
ton->bot,42,oracolo,15,0.789,0.958105584974793,15,480,True,0.1523
ton->bot,42,stat_13x13,15,0.789,0.9690696834757493,15,480,True,0.1523
ton->bot,42,martingala,15,0.789,0.9699259337264814,14,448,True,0.1523
ton->bot,42,stat_13x13_adaptive,15,0.789,0.9689660475254409,15,480,True,0.1523
ton->bot,42,statico,16,0.842,0.7389658540043733,0,0,True,0.1613
ton->bot,42,ogni_batch,16,0.842,0.975958939808795,16,512,True,0.1613
ton->bot,42,su_innesco,16,0.842,0.7400393211103425,3,96,True,0.1613
ton->bot,42,oracolo,16,0.842,0.9656777551148494,16,512,True,0.1613
ton->bot,42,stat_13x13,16,0.842,0.71326236319106,16,512,True,0.1613
ton->bot,42,martingala,16,0.842,0.9715195748113951,15,480,True,0.1613
ton->bot,42,stat_13x13_adaptive,16,0.842,0.8382254351686778,16,512,True,0.1613
ton->bot,42,statico,17,0.895,0.7217582099853568,0,0,True,0.16875
ton->bot,42,ogni_batch,17,0.895,0.9666366381710234,17,544,True,0.16875
ton->bot,42,su_innesco,17,0.895,0.7560327673539766,4,128,True,0.16875
ton->bot,42,oracolo,17,0.895,0.968741167344082,17,544,True,0.16875
ton->bot,42,stat_13x13,17,0.895,0.9053231540585509,17,544,True,0.16875
ton->bot,42,martingala,17,0.895,0.9702205928569894,16,512,True,0.16875
ton->bot,42,stat_13x13_adaptive,17,0.895,0.9033725183911864,17,544,True,0.16875
ton->bot,42,statico,18,0.947,0.7057045205666247,0,0,True,0.17115
ton->bot,42,ogni_batch,18,0.947,0.9668988563268441,18,576,True,0.17115
ton->bot,42,su_innesco,18,0.947,0.7835966015230571,5,160,True,0.17115
ton->bot,42,oracolo,18,0.947,0.9568466460703438,18,576,True,0.17115
ton->bot,42,stat_13x13,18,0.947,0.8614167375658693,18,576,True,0.17115
ton->bot,42,martingala,18,0.947,0.9646123047553078,17,544,True,0.17115
ton->bot,42,stat_13x13_adaptive,18,0.947,0.820172015269053,18,576,True,0.17115
ton->bot,42,statico,19,1.0,0.7202470247024703,0,0,True,0.18265
ton->bot,42,ogni_batch,19,1.0,0.9982998299829984,19,608,True,0.18265
ton->bot,42,su_innesco,19,1.0,0.7477497749774977,6,192,True,0.18265
ton->bot,42,oracolo,19,1.0,0.9963496349634964,19,608,True,0.18265
ton->bot,42,stat_13x13,19,1.0,0.9912741274127412,19,608,True,0.18265
ton->bot,42,martingala,19,1.0,0.9902990299029903,18,576,True,0.18265
ton->bot,42,stat_13x13_adaptive,19,1.0,0.99997499749975,19,608,True,0.18265
ton->bot,43,statico,0,0.0,0.9720282137530325,0,0,False,0.0279
ton->bot,43,ogni_batch,0,0.0,0.9720282137530325,0,0,False,0.0279
ton->bot,43,su_innesco,0,0.0,0.9720282137530325,0,0,False,0.0279
ton->bot,43,oracolo,0,0.0,0.9720282137530325,0,0,False,0.0279
ton->bot,43,stat_13x13,0,0.0,0.9720282137530325,0,0,False,0.0279
ton->bot,43,martingala,0,0.0,0.9720282137530325,0,0,False,0.0279
ton->bot,43,stat_13x13_adaptive,0,0.0,0.9720282137530325,0,0,False,0.0279
ton->bot,43,statico,1,0.053,0.9529248585522972,0,0,False,0.02935
ton->bot,43,ogni_batch,1,0.053,0.9560319191718527,1,32,False,0.02935
ton->bot,43,su_innesco,1,0.053,0.9529248585522972,0,0,False,0.02935
ton->bot,43,oracolo,1,0.053,0.9454449297709764,1,32,False,0.02935
ton->bot,43,stat_13x13,1,0.053,0.8198808892088076,1,32,False,0.02935
ton->bot,43,martingala,1,0.053,0.9529248585522972,0,0,False,0.02935
ton->bot,43,stat_13x13_adaptive,1,0.053,0.8214313591693108,1,32,False,0.02935
ton->bot,43,statico,2,0.105,0.9354174393091065,0,0,False,0.034
ton->bot,43,ogni_batch,2,0.105,0.930226931022174,2,64,False,0.034
ton->bot,43,su_innesco,2,0.105,0.9354174393091065,0,0,False,0.034
ton->bot,43,oracolo,2,0.105,0.9540861295652767,2,64,False,0.034
ton->bot,43,stat_13x13,2,0.105,0.9635071331802298,2,64,False,0.034
ton->bot,43,martingala,2,0.105,0.9354174393091065,0,0,False,0.034
ton->bot,43,stat_13x13_adaptive,2,0.105,0.9459465702663046,2,64,False,0.034
ton->bot,43,statico,3,0.158,0.9190113053220897,0,0,False,0.0369
