src,dst,exp,seed,spazio,terna,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
ton,cic,ton->cic,44,minimo,ton+bot+cic (prof.),False,128 etichette,0.9380219456222252,237607,0.013454990804142976,0.0,,,128.0,17.0
ton,cic,ton->cic,44,minimo,ton+bot+cic (prof.),False,rifit completo n=128,0.9763731052830623,237607,0.013454990804142976,0.0,,,128.0,
bot,ton,bot->ton,42,minimo,ton+bot+cic (prof.),False,non adattato,0.6308172437796117,211043,0.0,0.212525409513701,0.5990846242307954,0.7630814573333397,,
bot,ton,bot->ton,42,minimo,ton+bot+cic (prof.),False,8 etichette,,211043,0.0,0.212525409513701,,,8.0,0.0
bot,ton,bot->ton,42,minimo,ton+bot+cic (prof.),False,32 etichette,0.8146953880452104,211043,0.0,0.212525409513701,,,32.0,6.0
bot,ton,bot->ton,42,minimo,ton+bot+cic (prof.),False,rifit completo n=32,0.9063096990520099,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,42,minimo,ton+bot+cic (prof.),False,128 etichette,0.8800490564814246,211043,0.0,0.212525409513701,,,128.0,32.0
bot,ton,bot->ton,42,minimo,ton+bot+cic (prof.),False,rifit completo n=128,0.9073942893546373,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,42,minimo,ton+bot+cic (prof.),True,non adattato,0.9839095633059011,733705,0.0,0.0,0.9964781086178731,0.9998705201681874,,
bot,cic,bot->cic,42,minimo,ton+bot+cic (prof.),False,non adattato,0.5322422396761242,237607,0.0,0.0,0.6046671494668546,0.8417260434246466,,
bot,cic,bot->cic,42,minimo,ton+bot+cic (prof.),False,8 etichette,,237607,0.0,0.0,,,8.0,0.0
bot,cic,bot->cic,42,minimo,ton+bot+cic (prof.),False,32 etichette,0.7714779822876796,237607,0.0,0.0,,,32.0,7.0
bot,cic,bot->cic,42,minimo,ton+bot+cic (prof.),False,rifit completo n=32,0.9658120912055497,237607,0.0,0.0,,,32.0,
bot,cic,bot->cic,42,minimo,ton+bot+cic (prof.),False,128 etichette,0.8947780869384783,237607,0.0,0.0,,,128.0,18.0
bot,cic,bot->cic,42,minimo,ton+bot+cic (prof.),False,rifit completo n=128,0.9872773128921457,237607,0.0,0.0,,,128.0,
bot,ton,bot->ton,43,minimo,ton+bot+cic (prof.),False,non adattato,0.6275705973559856,211043,0.0,0.212525409513701,0.6308224006010817,0.7630814573333397,,
bot,ton,bot->ton,43,minimo,ton+bot+cic (prof.),False,8 etichette,0.7891998194505175,211043,0.0,0.212525409513701,,,8.0,2.0
bot,ton,bot->ton,43,minimo,ton+bot+cic (prof.),False,rifit completo n=8,0.7364439701379482,211043,0.0,0.212525409513701,,,8.0,
bot,ton,bot->ton,43,minimo,ton+bot+cic (prof.),False,32 etichette,0.7732406807531499,211043,0.0,0.212525409513701,,,32.0,7.0
bot,ton,bot->ton,43,minimo,ton+bot+cic (prof.),False,rifit completo n=32,0.8465560815399473,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,43,minimo,ton+bot+cic (prof.),False,128 etichette,0.7802060072794147,211043,0.0,0.212525409513701,,,128.0,20.0
bot,ton,bot->ton,43,minimo,ton+bot+cic (prof.),False,rifit completo n=128,0.8922197977895604,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,43,minimo,ton+bot+cic (prof.),True,non adattato,0.9833356889039708,733705,0.0,0.0,0.9956656304547306,0.9998705201681874,,
