exp,politica,bal_media,adattamenti,etichette
bot->ton,martingala,0.7978,10,320
bot->ton,ogni_batch,0.8351,19,608
bot->ton,oracolo,0.8945,19,608
bot->ton,stat_13x13,0.7115,19,608
bot->ton,stat_13x13_adaptive,0.6838,19,608
bot->ton,statico,0.7638,0,0
bot->ton,su_innesco,0.8591,17,544
bot->unsw,martingala,0.7953,10,320
bot->unsw,ogni_batch,0.8288,19,608
bot->unsw,oracolo,0.85,19,608
bot->unsw,stat_13x13,0.7303,19,608
bot->unsw,stat_13x13_adaptive,0.7156,19,608
bot->unsw,statico,0.6713,0,0
bot->unsw,su_innesco,0.8078,16,512
ton->bot,martingala,0.6907,19,608
ton->bot,ogni_batch,0.6907,19,608
ton->bot,oracolo,0.8927,19,608
ton->bot,stat_13x13,0.6884,19,608
ton->bot,stat_13x13_adaptive,0.6852,19,608
ton->bot,statico,0.6907,0,0
ton->bot,su_innesco,0.6907,8,256
ton->unsw,martingala,0.57,8,256
ton->unsw,ogni_batch,0.6736,19,608
ton->unsw,oracolo,0.7208,19,608
ton->unsw,stat_13x13,0.6069,19,608
ton->unsw,stat_13x13_adaptive,0.5886,19,608
ton->unsw,statico,0.4182,0,0
ton->unsw,su_innesco,0.4182,0,0
unsw->bot,martingala,0.7651,3,96
unsw->bot,ogni_batch,0.7678,19,608
unsw->bot,oracolo,0.8548,19,608
unsw->bot,stat_13x13,0.7072,19,608
unsw->bot,stat_13x13_adaptive,0.7038,19,608
unsw->bot,statico,0.7651,0,0
unsw->bot,su_innesco,0.7651,0,0
unsw->ton,martingala,0.7371,19,608
unsw->ton,ogni_batch,0.7415,19,608
unsw->ton,oracolo,0.7984,19,608
unsw->ton,stat_13x13,0.5951,19,608
unsw->ton,stat_13x13_adaptive,0.5906,19,608
unsw->ton,statico,0.4977,0,0
unsw->ton,su_innesco,0.4977,0,0
