exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
bot->ton,0.0,0.9816,0.9816,0.9816,0.9816,0.9816,0.9816,0.9816
bot->ton,0.053,0.8868,0.8868,0.8868,0.5077,0.5062,0.8868,0.8868
bot->ton,0.105,0.8349,0.8071,0.9237,0.5601,0.5305,0.8766,0.8766
bot->ton,0.158,0.734,0.7109,0.9147,0.5849,0.5521,0.8599,0.8599
bot->ton,0.211,0.7114,0.6919,0.9012,0.6125,0.6036,0.8459,0.8016
bot->ton,0.263,0.7134,0.7082,0.8904,0.6681,0.6303,0.8336,0.7517
bot->ton,0.316,0.7297,0.723,0.8815,0.6697,0.6162,0.8208,0.7422
bot->ton,0.368,0.7686,0.7671,0.8715,0.6837,0.6234,0.8048,0.757
bot->ton,0.421,0.8091,0.8166,0.8576,0.7379,0.6557,0.7899,0.8121
bot->ton,0.474,0.8181,0.8276,0.8737,0.7318,0.6722,0.7754,0.8381
bot->ton,0.526,0.8117,0.8379,0.8811,0.7362,0.6763,0.7595,0.8531
bot->ton,0.579,0.8099,0.8475,0.8769,0.7036,0.7246,0.7424,0.8854
bot->ton,0.632,0.8061,0.8686,0.8815,0.7347,0.7145,0.7275,0.8887
bot->ton,0.684,0.801,0.8858,0.8879,0.7404,0.7167,0.7077,0.886
bot->ton,0.737,0.8013,0.8861,0.8907,0.7456,0.7291,0.6905,0.8945
bot->ton,0.789,0.7978,0.8843,0.8971,0.7477,0.7463,0.6737,0.8851
bot->ton,0.842,0.7926,0.8906,0.8985,0.7527,0.7349,0.6546,0.8906
bot->ton,0.895,0.7877,0.8959,0.9031,0.7825,0.7472,0.636,0.8916
bot->ton,0.947,0.7823,0.8856,0.8941,0.76,0.7588,0.6148,0.9044
bot->ton,1.0,0.7777,0.8979,0.8954,0.7878,0.7562,0.594,0.8957
bot->unsw,0.0,0.9816,0.9816,0.9816,0.9816,0.9816,0.9816,0.9816
bot->unsw,0.053,0.8314,0.8314,0.8314,0.5052,0.5026,0.8314,0.8314
bot->unsw,0.105,0.7984,0.81,0.9253,0.524,0.5115,0.8131,0.8131
bot->unsw,0.158,0.8156,0.8257,0.9225,0.5939,0.559,0.7993,0.7993
bot->unsw,0.211,0.8399,0.8465,0.9099,0.6705,0.6074,0.7809,0.7797
bot->unsw,0.263,0.8394,0.8467,0.8931,0.6933,0.6795,0.7637,0.7556
bot->unsw,0.316,0.8281,0.8432,0.8783,0.7319,0.6979,0.7466,0.7605
bot->unsw,0.368,0.84,0.855,0.8613,0.7743,0.7277,0.729,0.7838
bot->unsw,0.421,0.832,0.8553,0.8437,0.7739,0.7445,0.7108,0.8174
bot->unsw,0.474,0.8239,0.849,0.8453,0.7515,0.7497,0.6909,0.8101
bot->unsw,0.526,0.8099,0.8251,0.8274,0.7439,0.743,0.6717,0.8067
bot->unsw,0.579,0.7988,0.8273,0.8288,0.7506,0.7464,0.6496,0.8171
bot->unsw,0.632,0.7863,0.8183,0.8368,0.7516,0.7574,0.6245,0.8206
bot->unsw,0.684,0.7723,0.8187,0.8301,0.7617,0.754,0.6011,0.8273
bot->unsw,0.737,0.757,0.8071,0.8324,0.772,0.7561,0.5763,0.8179
bot->unsw,0.789,0.7433,0.8079,0.8112,0.7676,0.7577,0.5499,0.8074
bot->unsw,0.842,0.7286,0.8,0.8006,0.7672,0.7554,0.5224,0.7993
bot->unsw,0.895,0.7106,0.7871,0.7927,0.767,0.762,0.4937,0.7854
bot->unsw,0.947,0.6924,0.7749,0.7788,0.7665,0.7641,0.4613,0.7746
bot->unsw,1.0,0.6757,0.7645,0.7685,0.7588,0.755,0.4293,0.7663
