exp,seed,metodo,coefficienti_aggiornati,etichette_target,bal_acc,nota,roc_auc
ton->bot,42,gain_per_edge_8_etichette,13,8,0.9110484119775089,,0.9728705916207004
ton->bot,42,rifit_completo_8_etichette,101,8,0.8553101839401871,,0.9556081675993311
ton->bot,42,soglia_da_32_etichette,1,32,0.5473185144657199,,0.5480307663965326
ton->bot,42,gain_per_edge_32_etichette,13,32,0.928831185202552,,0.9771464294167442
ton->bot,42,rifit_completo_32_etichette,101,32,0.9499476457288599,,0.9658303465358469
ton->bot,42,soglia_da_128_etichette,1,128,0.5380467075713482,,0.5530311770641491
ton->bot,42,gain_per_edge_128_etichette,13,128,0.9412125774614395,,0.9879780304390335
ton->bot,42,rifit_completo_128_etichette,101,128,0.9697933468624613,,0.9802133191280094
ton->bot,42,soglia_da_512_etichette,1,512,0.5375984338717265,,0.5672704913848076
ton->bot,42,gain_per_edge_512_etichette,13,512,0.9710679045967562,,0.9948235961737235
ton->bot,42,rifit_completo_512_etichette,101,512,0.9845495936879842,,0.9935092074636618
ton->bot,43,qt_target,10,0,0.5038373808212797,,0.504945483429238
ton->bot,43,qt_target+soglia_prior,11,0,0.4917491284501221,,0.504945483429238
ton->bot,43,qt_target+soglia_oracolo,11,3668522,0.562947914493652,tetto superiore: usa tutte le etichette del target,0.504945483429238
ton->bot,43,source,0,0,0.5677390840040797,,0.5148655462685092
ton->bot,43,source+soglia_prior,1,0,0.4571823334003265,,0.5148655462685092
ton->bot,43,source+soglia_oracolo,1,3668522,0.614140210866931,tetto superiore: usa tutte le etichette del target,0.5148655462685092
ton->bot,43,soglia_da_8_etichette,1,8,0.5395776448218718,,0.5151613560718388
ton->bot,43,gain_per_edge_8_etichette,13,8,0.9188096096087532,,0.9688121242437736
ton->bot,43,rifit_completo_8_etichette,101,8,0.8133314386139487,,0.9493839290598904
ton->bot,43,soglia_da_32_etichette,1,32,0.5368495591574924,,0.5137267860907591
ton->bot,43,gain_per_edge_32_etichette,13,32,0.9319822737476151,,0.9566814151743048
ton->bot,43,rifit_completo_32_etichette,101,32,0.9342915571360992,,0.9625268183758253
ton->bot,43,soglia_da_128_etichette,1,128,0.5291893785590537,,0.5108334189349405
ton->bot,43,gain_per_edge_128_etichette,13,128,0.9531267613135369,,0.9874247914839279
ton->bot,43,rifit_completo_128_etichette,101,128,0.9686371209911045,,0.986840987984052
ton->bot,43,soglia_da_512_etichette,1,512,0.5330719111309848,,0.5101500889542404
ton->bot,43,gain_per_edge_512_etichette,13,512,0.9737920253136241,,0.9975205259128032
ton->bot,43,rifit_completo_512_etichette,101,512,0.9883874193757839,,0.9954165150568615
ton->bot,44,qt_target,10,0,0.5106900924176035,,0.4950319958769758
ton->bot,44,qt_target+soglia_prior,11,0,0.5102364444802915,,0.4950319958769758
ton->bot,44,qt_target+soglia_oracolo,11,3668522,0.5807714377396721,tetto superiore: usa tutte le etichette del target,0.4950319958769758
ton->bot,44,source,0,0,0.5656426479453794,,0.5411704561841195
ton->bot,44,source+soglia_prior,1,0,0.49137356351061545,,0.5411704561841195
ton->bot,44,source+soglia_oracolo,1,3668522,0.6268678112375556,tetto superiore: usa tutte le etichette del target,0.5411704561841195
ton->bot,44,soglia_da_8_etichette,1,8,0.5551894363290888,,0.542353618366882
ton->bot,44,gain_per_edge_8_etichette,13,8,0.9319095168422744,,0.941148950813041
ton->bot,44,rifit_completo_8_etichette,101,8,0.87148802928052,,0.9657246563627483
ton->bot,44,soglia_da_32_etichette,1,32,0.5411631594760578,,0.544057450315413
ton->bot,44,gain_per_edge_32_etichette,13,32,0.9143501447430169,,0.9717457560675946
ton->bot,44,rifit_completo_32_etichette,101,32,0.9260312676013593,,0.9598060770364056
ton->bot,44,soglia_da_128_etichette,1,128,0.5391927481216348,,0.5421376363827414
ton->bot,44,gain_per_edge_128_etichette,13,128,0.9304061161757557,,0.9876394799912069
ton->bot,44,rifit_completo_128_etichette,101,128,0.9570342282627509,,0.978958749903828
ton->bot,44,soglia_da_512_etichette,1,512,0.5172333075175825,,0.5313357436667163
ton->bot,44,gain_per_edge_512_etichette,13,512,0.9688921618922628,,0.9931164301162219
ton->bot,44,rifit_completo_512_etichette,101,512,0.9802927619472586,,0.9961783768805079
