exp,martingala_int,ogni_batch_int,statico
bot->ton,0.8481,0.8544,0.7755
bot->unsw,0.7905,0.8188,0.7029
ton->bot,0.8163,0.9137,0.7583
ton->unsw,0.5864,0.7245,0.5864
