exp,politica,bal_media,adattamenti,etichette
bot->ton,martingala,0.8626,10,320
bot->ton,ogni_batch,0.8506,19,608
bot->ton,oracolo,0.8879,19,608
bot->ton,stat_13x13,0.7245,19,608
bot->ton,stat_13x13_adaptive,0.6857,19,608
bot->ton,statico,0.8108,0,0
bot->ton,su_innesco,0.8725,16,512
bot->unsw,martingala,0.7886,11,352
bot->unsw,ogni_batch,0.8223,19,608
bot->unsw,oracolo,0.8576,19,608
bot->unsw,stat_13x13,0.7268,19,608
bot->unsw,stat_13x13_adaptive,0.691,19,608
bot->unsw,statico,0.6976,0,0
bot->unsw,su_innesco,0.813,15,480
ton->bot,martingala,0.9227,18,576
ton->bot,ogni_batch,0.9351,19,608
ton->bot,oracolo,0.9491,19,608
ton->bot,stat_13x13,0.9329,19,608
ton->bot,stat_13x13_adaptive,0.9198,19,608
ton->bot,statico,0.8211,0,0
ton->bot,su_innesco,0.8482,7,224
ton->unsw,martingala,0.5785,0,0
ton->unsw,ogni_batch,0.726,19,608
ton->unsw,oracolo,0.7244,19,608
ton->unsw,stat_13x13,0.6876,19,608
ton->unsw,stat_13x13_adaptive,0.6886,19,608
ton->unsw,statico,0.5785,0,0
ton->unsw,su_innesco,0.5785,0,0
