exp,non adattato,8 etichette,32 etichette,128 etichette,rifit completo n=8,rifit completo n=32,rifit completo n=128
bot->bot,0.9931,,,,,,
bot->ton,0.634,0.775,0.8004,0.8624,0.6318,0.8116,0.9002
bot->unsw,0.4551,0.6489,0.7381,0.7551,0.6773,0.7494,0.7717
ton->bot,0.5554,0.7698,0.8623,0.9029,0.7558,0.7788,0.7657
ton->ton,0.9705,,,,,,
ton->unsw,0.2237,0.6434,0.7161,0.7495,0.6568,0.741,0.7693
unsw->bot,0.7368,,,,,,
unsw->ton,0.2984,0.6095,0.7069,0.8364,0.6749,0.8145,0.9074
unsw->unsw,0.8184,,,,,,
