exp,ratio,seed,batch,politica,bal_acc,norma_guadagni,bias,n_min,saltati
bot->ton,50.0,42,0,statico,0.9857,3.4641016151377544,0.0,,
bot->ton,50.0,42,0,rls,0.9857,3.4641016151377544,0.0,0.0,0.0
bot->ton,50.0,42,0,rls_guardia,0.9857,3.4641016151377544,0.0,0.0,1.0
bot->ton,50.0,42,0,rls_prossimale,0.9857,3.4641016151377544,0.0,0.0,0.0
bot->ton,50.0,42,0,rls_guardia_prossimale,0.9857,3.4641016151377544,0.0,0.0,1.0
bot->ton,50.0,42,1,statico,0.9673657634665322,3.4641016151377544,0.0,,
bot->ton,50.0,42,1,rls,0.5930368174973157,1.967601236283864,1.6943763521327224,4.0,0.0
bot->ton,50.0,42,1,rls_guardia,0.9673657634665322,3.4641016151377544,0.0,0.0,2.0
bot->ton,50.0,42,1,rls_prossimale,0.767688812736048,2.879659158100831,1.234997518371665,12.0,0.0
bot->ton,50.0,42,1,rls_guardia_prossimale,0.9673657634665322,3.4641016151377544,0.0,0.0,2.0
bot->ton,50.0,42,2,statico,0.9642315589954192,3.4641016151377544,0.0,,
bot->ton,50.0,42,2,rls,0.592293871426315,3.5447512178121654,2.338965237290972,10.0,0.0
bot->ton,50.0,42,2,rls_guardia,0.9642315589954192,3.4641016151377544,0.0,0.0,3.0
bot->ton,50.0,42,2,rls_prossimale,0.796288106144369,3.8603754015072576,1.4904635334419103,2.0,0.0
bot->ton,50.0,42,2,rls_guardia_prossimale,0.9642315589954192,3.4641016151377544,0.0,0.0,3.0
bot->ton,50.0,42,3,statico,0.9481104936712412,3.4641016151377544,0.0,,
bot->ton,50.0,42,3,rls,0.7188199882125116,12.601086503261548,2.8358899852253523,4.0,0.0
bot->ton,50.0,42,3,rls_guardia,0.9481104936712412,3.4641016151377544,0.0,1.0,3.0
bot->ton,50.0,42,3,rls_prossimale,0.7955144396733181,4.722739424066413,2.5063588881768992,15.0,0.0
bot->ton,50.0,42,3,rls_guardia_prossimale,0.9481104936712412,3.4641016151377544,0.0,1.0,3.0
bot->ton,50.0,42,4,statico,0.935040685671004,3.4641016151377544,0.0,,
bot->ton,50.0,42,4,rls,0.5779045366974771,4.6357344277425225,2.449178361674526,8.0,0.0
bot->ton,50.0,42,4,rls_guardia,0.5528251954347132,3.527299546395942,2.407003715306899,5.0,3.0
bot->ton,50.0,42,4,rls_prossimale,0.8502196831853308,18.778728825965565,2.272598669314707,8.0,0.0
bot->ton,50.0,42,4,rls_guardia_prossimale,0.6406244300981143,4.252720436814903,1.8916702793823512,7.0,3.0
