exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
ton->unsw,0.316,0.7053,0.7263,0.7281,0.7,0.7075,0.7053,0.7053
ton->unsw,0.368,0.6652,0.6873,0.6955,0.6913,0.692,0.6652,0.6652
ton->unsw,0.421,0.6249,0.6623,0.6708,0.6708,0.6749,0.6249,0.6249
ton->unsw,0.474,0.587,0.6322,0.6435,0.6434,0.6339,0.587,0.587
ton->unsw,0.526,0.549,0.614,0.618,0.6356,0.6337,0.549,0.549
ton->unsw,0.579,0.5115,0.611,0.613,0.623,0.6335,0.5115,0.5115
ton->unsw,0.632,0.4725,0.6222,0.5947,0.6095,0.6159,0.4725,0.4725
ton->unsw,0.684,0.4371,0.652,0.6119,0.6123,0.6035,0.4371,0.4371
ton->unsw,0.737,0.4007,0.666,0.6507,0.6082,0.6034,0.4007,0.4007
ton->unsw,0.789,0.3665,0.7083,0.6605,0.5984,0.5888,0.3665,0.3665
ton->unsw,0.842,0.3319,0.7047,0.6903,0.6049,0.5857,0.3319,0.3319
ton->unsw,0.895,0.2955,0.709,0.7198,0.5975,0.5849,0.2955,0.2955
ton->unsw,0.947,0.2613,0.7296,0.7277,0.6275,0.6111,0.2613,0.2613
ton->unsw,1.0,0.2259,0.7459,0.7359,0.6449,0.6374,0.2259,0.2259
