exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
bot->ton,0.0,0.991,0.991,0.991,0.991,0.991,0.991,0.991
bot->ton,0.053,0.9529,0.9529,0.9529,0.4969,0.4917,0.9529,0.9529
bot->ton,0.105,0.9367,0.8094,0.9144,0.5376,0.5246,0.9367,0.9367
bot->ton,0.158,0.9213,0.795,0.9084,0.6156,0.5821,0.9213,0.9213
bot->ton,0.211,0.9077,0.7729,0.9,0.655,0.6148,0.9077,0.8858
bot->ton,0.263,0.8927,0.8023,0.8871,0.6748,0.6321,0.8927,0.8795
bot->ton,0.316,0.8777,0.8187,0.8755,0.6912,0.6581,0.8777,0.8457
bot->ton,0.368,0.8615,0.8353,0.8617,0.7376,0.6692,0.8615,0.8016
bot->ton,0.421,0.8438,0.846,0.8501,0.7489,0.6901,0.8438,0.7718
bot->ton,0.474,0.8261,0.8379,0.8529,0.7572,0.6877,0.8261,0.8325
bot->ton,0.526,0.8094,0.8405,0.8618,0.7396,0.693,0.8099,0.835
bot->ton,0.579,0.7914,0.8425,0.8597,0.7396,0.706,0.7918,0.8478
bot->ton,0.632,0.797,0.8266,0.8707,0.747,0.6896,0.772,0.8457
bot->ton,0.684,0.8015,0.8533,0.8752,0.7331,0.7027,0.7537,0.8641
bot->ton,0.737,0.7525,0.8564,0.8659,0.7573,0.7158,0.7334,0.8532
bot->ton,0.789,0.8202,0.8641,0.8792,0.7667,0.7127,0.7124,0.8703
bot->ton,0.842,0.8569,0.8584,0.8862,0.7664,0.7137,0.6914,0.8832
bot->ton,0.895,0.8642,0.875,0.88,0.7783,0.7362,0.6691,0.8798
bot->ton,0.947,0.871,0.868,0.8884,0.771,0.7353,0.6467,0.8698
bot->ton,1.0,0.8763,0.8664,0.897,0.7848,0.7684,0.6249,0.8819
bot->unsw,0.0,0.991,0.991,0.991,0.991,0.991,0.991,0.991
bot->unsw,0.053,0.8545,0.8545,0.8545,0.5013,0.4957,0.8545,0.8545
bot->unsw,0.105,0.8391,0.7088,0.9332,0.5684,0.5578,0.8391,0.8391
bot->unsw,0.158,0.822,0.7622,0.9241,0.6219,0.5556,0.822,0.822
bot->unsw,0.211,0.8053,0.8266,0.9092,0.6599,0.6101,0.8053,0.8053
bot->unsw,0.263,0.7915,0.8372,0.8971,0.7051,0.634,0.7915,0.7778
bot->unsw,0.316,0.7739,0.8339,0.8831,0.7236,0.6775,0.7739,0.775
bot->unsw,0.368,0.7559,0.8486,0.866,0.7425,0.6718,0.7559,0.7959
bot->unsw,0.421,0.7376,0.8407,0.8539,0.7534,0.6894,0.7376,0.7677
bot->unsw,0.474,0.7017,0.8415,0.8475,0.7641,0.7073,0.7199,0.7909
bot->unsw,0.526,0.7054,0.8354,0.8511,0.761,0.7252,0.6987,0.8085
bot->unsw,0.579,0.7143,0.8285,0.8537,0.7501,0.7104,0.6756,0.8225
bot->unsw,0.632,0.7739,0.8347,0.8468,0.7468,0.7094,0.6533,0.8195
bot->unsw,0.684,0.7692,0.8291,0.8402,0.7459,0.7011,0.6303,0.8162
bot->unsw,0.737,0.803,0.819,0.827,0.7526,0.7157,0.6047,0.8185
bot->unsw,0.789,0.811,0.807,0.812,0.7478,0.713,0.5785,0.8099
bot->unsw,0.842,0.7952,0.7975,0.8057,0.7573,0.7378,0.5503,0.7975
bot->unsw,0.895,0.7859,0.7907,0.794,0.749,0.7391,0.5216,0.7911
bot->unsw,0.947,0.7804,0.7848,0.785,0.7483,0.7388,0.4911,0.784
bot->unsw,1.0,0.7609,0.7752,0.7772,0.745,0.7392,0.4562,0.7729
ton->bot,0.0,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701,0.9701
ton->bot,0.053,0.9527,0.9421,0.94,0.9245,0.927,0.9527,0.9527
ton->bot,0.105,0.8881,0.9247,0.9281,0.9028,0.8981,0.9353,0.9353
ton->bot,0.158,0.8761,0.9262,0.9197,0.9302,0.9057,0.9181,0.9181
ton->bot,0.211,0.887,0.9235,0.9197,0.9437,0.9372,0.9022,0.9022
ton->bot,0.263,0.8837,0.9256,0.9229,0.9434,0.9358,0.8862,0.8862
ton->bot,0.316,0.8977,0.9309,0.9384,0.953,0.9477,0.8704,0.8704
ton->bot,0.368,0.8929,0.9397,0.9455,0.9471,0.9251,0.856,0.856
ton->bot,0.421,0.924,0.9413,0.9557,0.9496,0.9465,0.8414,0.8414
ton->bot,0.474,0.9492,0.948,0.9579,0.9553,0.9375,0.8278,0.8278
ton->bot,0.526,0.9555,0.9599,0.9603,0.9546,0.9349,0.8137,0.8137
ton->bot,0.579,0.9631,0.963,0.9608,0.9333,0.9419,0.8015,0.8015
ton->bot,0.632,0.9652,0.9648,0.9603,0.9446,0.921,0.7876,0.7876
ton->bot,0.684,0.9607,0.9645,0.9605,0.9364,0.9409,0.7745,0.7745
ton->bot,0.737,0.9634,0.9552,0.9628,0.9456,0.8954,0.762,0.6209
ton->bot,0.789,0.9334,0.9483,0.9615,0.9446,0.9207,0.7507,0.7519
ton->bot,0.842,0.9219,0.9437,0.9621,0.9321,0.9355,0.7403,0.8224
ton->bot,0.895,0.9234,0.9213,0.9621,0.9239,0.8662,0.7287,0.8795
ton->bot,0.947,0.9304,0.9033,0.9665,0.8885,0.8752,0.7193,0.8982
ton->bot,1.0,0.8157,0.8055,0.9272,0.834,0.8327,0.5834,0.8541
ton->unsw,0.0,0.9699,0.9699,0.9699,0.9699,0.9699,0.9699,0.9699
ton->unsw,0.053,0.9228,0.8638,0.9054,0.8123,0.8496,0.9228,0.9228
ton->unsw,0.105,0.8756,0.8607,0.869,0.8143,0.8373,0.8756,0.8756
ton->unsw,0.158,0.8329,0.8202,0.8342,0.7865,0.7993,0.8329,0.8329
ton->unsw,0.211,0.7878,0.7858,0.7895,0.7709,0.7661,0.7878,0.7878
ton->unsw,0.263,0.7466,0.7484,0.7591,0.7315,0.7442,0.7466,0.7466
