src,dst,exp,seed,spazio,terna,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
bot,bot,bot->bot,42,ridotto,ton+bot+unsw,True,non adattato,0.9933895394010441,733705,0.0,0.0,0.9986058848133132,0.9998705201681874,,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,non adattato,0.4877885184186138,257673,0.0,0.0,0.41391437958276256,0.6390774353541117,,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,8 etichette,0.7644452756177197,257673,0.0,0.0,,,8.0,3.0
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=8,0.7486049839910212,257673,0.0,0.0,,,8.0,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,32 etichette,0.7142216507912302,257673,0.0,0.0,,,32.0,8.0
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=32,0.7139804867653832,257673,0.0,0.0,,,32.0,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,128 etichette,0.7647767078211742,257673,0.0,0.0,,,128.0,48.0
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=128,0.7953288638568202,257673,0.0,0.0,,,128.0,
bot,ton,bot->ton,43,ridotto,ton+bot+unsw,False,non adattato,0.4736983806188409,211043,0.0,0.212525409513701,0.7726754728240284,0.7630814573333397,,
bot,ton,bot->ton,43,ridotto,ton+bot+unsw,False,8 etichette,0.7775313972748183,211043,0.0,0.212525409513701,,,8.0,2.0
bot,ton,bot->ton,43,ridotto,ton+bot+unsw,False,rifit completo n=8,0.6593188852835881,211043,0.0,0.212525409513701,,,8.0,
bot,ton,bot->ton,43,ridotto,ton+bot+unsw,False,32 etichette,0.9103578483772261,211043,0.0,0.212525409513701,,,32.0,7.0
bot,ton,bot->ton,43,ridotto,ton+bot+unsw,False,rifit completo n=32,0.9157683709698168,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,43,ridotto,ton+bot+unsw,False,128 etichette,0.9160829463671012,211043,0.0,0.212525409513701,,,128.0,20.0
bot,ton,bot->ton,43,ridotto,ton+bot+unsw,False,rifit completo n=128,0.9276142603560205,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,43,ridotto,ton+bot+unsw,True,non adattato,0.9910538296915254,733705,0.0,0.0,0.9991979389593928,0.9998705201681874,,
bot,unsw,bot->unsw,43,ridotto,ton+bot+unsw,False,non adattato,0.46977928359683696,257673,0.0,0.0,0.47509601837829274,0.6390774353541117,,
bot,unsw,bot->unsw,43,ridotto,ton+bot+unsw,False,8 etichette,0.6480859727752777,257673,0.0,0.0,,,8.0,2.0
bot,unsw,bot->unsw,43,ridotto,ton+bot+unsw,False,rifit completo n=8,0.572540156862685,257673,0.0,0.0,,,8.0,
bot,unsw,bot->unsw,43,ridotto,ton+bot+unsw,False,32 etichette,0.7636734235313407,257673,0.0,0.0,,,32.0,8.0
bot,unsw,bot->unsw,43,ridotto,ton+bot+unsw,False,rifit completo n=32,0.759059289358488,257673,0.0,0.0,,,32.0,
bot,unsw,bot->unsw,43,ridotto,ton+bot+unsw,False,128 etichette,0.774650280065997,257673,0.0,0.0,,,128.0,54.0
bot,unsw,bot->unsw,43,ridotto,ton+bot+unsw,False,rifit completo n=128,0.8130450752318592,257673,0.0,0.0,,,128.0,
bot,ton,bot->ton,44,ridotto,ton+bot+unsw,False,non adattato,0.5695219858671287,211043,0.0,0.212525409513701,0.7646134000856915,0.7630814573333397,,
bot,ton,bot->ton,44,ridotto,ton+bot+unsw,False,8 etichette,0.7835608871942957,211043,0.0,0.212525409513701,,,8.0,1.0
bot,ton,bot->ton,44,ridotto,ton+bot+unsw,False,rifit completo n=8,0.5121392553040459,211043,0.0,0.212525409513701,,,8.0,
bot,ton,bot->ton,44,ridotto,ton+bot+unsw,False,32 etichette,0.8270776181024222,211043,0.0,0.212525409513701,,,32.0,9.0
bot,ton,bot->ton,44,ridotto,ton+bot+unsw,False,rifit completo n=32,0.7364827257528886,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,44,ridotto,ton+bot+unsw,False,128 etichette,0.8862525692447317,211043,0.0,0.212525409513701,,,128.0,25.0
bot,ton,bot->ton,44,ridotto,ton+bot+unsw,False,rifit completo n=128,0.953243808433358,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,44,ridotto,ton+bot+unsw,True,non adattato,0.994816728234348,733705,0.0,0.0,0.9993585290908191,0.9998705201681874,,
bot,unsw,bot->unsw,44,ridotto,ton+bot+unsw,False,non adattato,0.4550419372664849,257673,0.0,0.0,0.44262082763043786,0.6390774353541117,,
bot,unsw,bot->unsw,44,ridotto,ton+bot+unsw,False,8 etichette,0.6078139517152586,257673,0.0,0.0,,,8.0,2.0
bot,unsw,bot->unsw,44,ridotto,ton+bot+unsw,False,rifit completo n=8,0.5393525987474334,257673,0.0,0.0,,,8.0,
bot,unsw,bot->unsw,44,ridotto,ton+bot+unsw,False,32 etichette,0.7828064280430811,257673,0.0,0.0,,,32.0,11.0
bot,unsw,bot->unsw,44,ridotto,ton+bot+unsw,False,rifit completo n=32,0.7718886291081535,257673,0.0,0.0,,,32.0,
bot,unsw,bot->unsw,44,ridotto,ton+bot+unsw,False,128 etichette,0.7810387440553138,257673,0.0,0.0,,,128.0,55.0
bot,unsw,bot->unsw,44,ridotto,ton+bot+unsw,False,rifit completo n=128,0.7859358120962455,257673,0.0,0.0,,,128.0,
unsw,ton,unsw->ton,42,ridotto,ton+bot+unsw,False,non adattato,0.32658470601019607,211043,0.0,0.212525409513701,0.29744196581037363,0.7630814573333397,,
unsw,ton,unsw->ton,42,ridotto,ton+bot+unsw,False,8 etichette,0.7022209200859544,211043,0.0,0.212525409513701,,,8.0,1.0
unsw,ton,unsw->ton,42,ridotto,ton+bot+unsw,False,rifit completo n=8,0.7169893830699089,211043,0.0,0.212525409513701,,,8.0,
unsw,ton,unsw->ton,42,ridotto,ton+bot+unsw,False,32 etichette,0.7689636082251978,211043,0.0,0.212525409513701,,,32.0,6.0
unsw,ton,unsw->ton,42,ridotto,ton+bot+unsw,False,rifit completo n=32,0.9007819994523851,211043,0.0,0.212525409513701,,,32.0,
unsw,ton,unsw->ton,42,ridotto,ton+bot+unsw,False,128 etichette,0.7196538004867766,211043,0.0,0.212525409513701,,,128.0,32.0
unsw,ton,unsw->ton,42,ridotto,ton+bot+unsw,False,rifit completo n=128,0.9511022143362604,211043,0.0,0.212525409513701,,,128.0,
unsw,bot,unsw->bot,42,ridotto,ton+bot+unsw,False,non adattato,0.5941121907756813,200477,0.0,0.0,0.5751183752620544,0.9976206746908622,,
unsw,bot,unsw->bot,42,ridotto,ton+bot+unsw,False,8 etichette,,200477,0.0,0.0,,,8.0,0.0
unsw,bot,unsw->bot,42,ridotto,ton+bot+unsw,False,32 etichette,,200477,0.0,0.0,,,32.0,0.0
unsw,bot,unsw->bot,42,ridotto,ton+bot+unsw,False,128 etichette,,200477,0.0,0.0,,,128.0,0.0
