exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
bot->ton,42,statico,0,0.0,0.988,0,0,False,0.0472,20.0
bot->ton,42,ogni_batch,0,0.0,0.988,0,0,False,0.0472,20.0
bot->ton,42,su_innesco,0,0.0,0.988,0,0,False,0.0472,20.0
bot->ton,42,oracolo,0,0.0,0.988,0,0,False,0.0472,20.0
bot->ton,42,stat_13x13,0,0.0,0.988,0,0,False,0.0472,20.0
bot->ton,42,martingala,0,0.0,0.988,0,0,False,0.0472,20.0
bot->ton,42,stat_13x13_adaptive,0,0.0,0.988,0,0,False,0.0472,20.0
bot->ton,42,statico,1,0.053,0.9627752280896835,0,0,False,0.07485,20.0
bot->ton,42,ogni_batch,1,0.053,0.9627752280896835,1,32,False,0.07485,20.0
bot->ton,42,su_innesco,1,0.053,0.9627752280896835,0,0,False,0.07485,20.0
bot->ton,42,oracolo,1,0.053,0.9627752280896835,1,32,False,0.07485,20.0
bot->ton,42,stat_13x13,1,0.053,0.49997466686933173,1,32,False,0.07485,20.0
bot->ton,42,martingala,1,0.053,0.9627752280896835,0,0,False,0.07485,20.0
bot->ton,42,stat_13x13_adaptive,1,0.053,0.49997466686933173,1,32,False,0.07485,20.0
bot->ton,42,statico,2,0.105,0.9495843398580224,0,0,False,0.10985,20.0
bot->ton,42,ogni_batch,2,0.105,0.9495843398580224,2,64,False,0.10985,20.0
bot->ton,42,su_innesco,2,0.105,0.9495843398580224,0,0,False,0.10985,20.0
bot->ton,42,oracolo,2,0.105,0.9379880319454533,2,64,False,0.10985,20.0
bot->ton,42,stat_13x13,2,0.105,0.5783666550874001,2,64,False,0.10985,20.0
bot->ton,42,martingala,2,0.105,0.9495843398580224,0,0,False,0.10985,20.0
bot->ton,42,stat_13x13_adaptive,2,0.105,0.5789906365587973,2,64,False,0.10985,20.0
bot->ton,42,statico,3,0.158,0.9354816062467712,0,0,False,0.14085,20.0
bot->ton,42,ogni_batch,3,0.158,0.9354816062467712,3,96,False,0.14085,20.0
bot->ton,42,su_innesco,3,0.158,0.9354816062467712,0,0,False,0.14085,20.0
bot->ton,42,oracolo,3,0.158,0.8711670696545661,3,96,False,0.14085,20.0
bot->ton,42,stat_13x13,3,0.158,0.5584018164366487,3,96,False,0.14085,20.0
bot->ton,42,martingala,3,0.158,0.9354816062467712,1,32,False,0.14085,20.0
bot->ton,42,stat_13x13_adaptive,3,0.158,0.5612365660062855,3,96,False,0.14085,20.0
bot->ton,42,statico,4,0.211,0.924627035872655,0,0,True,0.1722,20.0
