exp,non adattato,8 etichette,32 etichette,128 etichette,rifit completo n=8,rifit completo n=32,rifit completo n=128
bot->bot,0.9949,,,,,,
bot->ton,0.59,0.76,0.8451,0.8275,0.6212,0.8437,0.8685
bot->unsw,0.4671,0.6312,0.7156,0.7562,0.6534,0.7345,0.7672
