exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
ton->bot,49,intero + guadagni float  n=8,0.667862323867936,1.0,,8.0,3.0,0.6610748869624017,,,
ton->bot,49,intero + guadagni interi n=8,0.655925926369496,1.0,,8.0,,0.6597690913896184,"[496, -114, 211, -45, -124, 178, 125, -336, -243, 29, 458, 287]",0.0,6000.0
ton->bot,49,intero + guadagni float  n=32,0.9004961459116599,1.0,,32.0,3.0,0.8944361823477162,,,
ton->bot,49,intero + guadagni interi n=32,0.7662494587627477,1.0,,32.0,,0.7776876951250586,"[287, -46, 29, -138, -232, 120, 79, -378, -389, 29, 68, -9]",0.0,6000.0
ton->bot,49,intero + guadagni float  n=128,0.8994308456310407,1.0,,128.0,3.0,0.8934408653387973,,,
ton->bot,49,intero + guadagni interi n=128,0.9288827091555374,1.0,,128.0,,0.934550414562089,"[359, -72, 119, -135, -172, 96, 66, -364, -295, 27, 214, -7]",28.0,6000.0
ton->bot,50,float non adattato,0.4564933071278826,1.0,,,,,,,
ton->bot,50,intero non adattato,0.4889802253668763,1.0,0.8092948318260947,,,,,,
ton->bot,50,intero + guadagni float  n=8,0.8384950546702765,1.0,,8.0,3.0,0.8943669014319257,,,
ton->bot,50,intero + guadagni interi n=8,0.795915656884558,1.0,,8.0,,0.820023226126317,"[256, 164, 100, -184, 620, 105, 364, -512, -512, 82, 24, -1060]",4958.0,6000.0
ton->bot,50,intero + guadagni float  n=32,0.8100387187107099,1.0,,32.0,10.0,0.7952993656173128,,,
ton->bot,50,intero + guadagni interi n=32,0.8792873471253857,1.0,,32.0,,0.890211438984274,"[256, 394, 256, -166, 825, 135, 104, -368, -512, -25, 108, -737]",6000.0,6000.0
ton->bot,50,intero + guadagni float  n=128,0.8081556493820645,1.0,,128.0,10.0,0.832666674809539,,,
ton->bot,50,intero + guadagni interi n=128,0.8181710427936844,1.0,,128.0,,0.8429737895033051,"[142, 93, 204, -165, 381, 51, 52, -217, -293, 7, 277, -389]",212.0,6000.0
ton->bot,51,float non adattato,0.47562261530398325,1.0,,,,,,,
ton->bot,51,intero non adattato,0.4799555450733753,1.0,0.8319258568314569,,,,,,
ton->bot,51,intero + guadagni float  n=8,0.5887459521218679,1.0,,8.0,3.0,0.60904266244813,,,
ton->bot,51,intero + guadagni interi n=8,0.656467035030605,1.0,,8.0,,0.7040964180388922,"[-339, 126, -53, -32, -60, 77, 72, -24, -258, -33, 430, 98]",5804.0,6000.0
ton->bot,51,intero + guadagni float  n=32,0.9394270988151439,1.0,,32.0,8.0,0.934369678102562,,,
ton->bot,51,intero + guadagni interi n=32,0.9317301379515346,1.0,,32.0,,0.9414618766841223,"[-43, 68, -157, -200, -126, 94, 241, -487, -108, -56, 614, 92]",36.0,6000.0
ton->bot,51,intero + guadagni float  n=128,0.9742214454748572,1.0,,128.0,9.0,0.969076438744791,,,
ton->bot,51,intero + guadagni interi n=128,0.8725439469942049,1.0,,128.0,,0.8840672788408643,"[94, 0, -19, -147, -29, 67, 169, -428, -106, -22, 648, 100]",40.0,6000.0
bot->ton,42,float non adattato,0.5330154497246077,1.0,,,,,,,
bot->ton,42,intero non adattato,0.45636341436759126,1.0,0.7990693839644054,,,,,,
bot->ton,42,intero + guadagni float  n=8,0.8289308127950217,1.0,,8.0,2.0,0.8311734822297199,,,
bot->ton,42,intero + guadagni interi n=8,0.8579898343959549,1.0,,8.0,,0.8587157203673421,"[-23, -116, 82, 118, -29, 53, 113, -227, 164, -31, 1692, 159]",367.0,6000.0
bot->ton,42,intero + guadagni float  n=32,0.8716068827025436,1.0,,32.0,8.0,0.8712193478969059,,,
bot->ton,42,intero + guadagni interi n=32,0.7440323079222559,1.0,,32.0,,0.7418604696269417,"[-9, 2, 191, 82, -64, -67, 123, -184, 69, -157, 1701, 412]",3367.0,6000.0
bot->ton,42,intero + guadagni float  n=128,0.8744049712542437,1.0,,128.0,26.0,0.8763444857035121,,,
bot->ton,42,intero + guadagni interi n=128,0.875142218046205,1.0,,128.0,,0.8756439790920558,"[6, -39, 108, 85, -65, -111, 78, -148, 105, -199, 1575, -396]",0.0,6000.0
bot->ton,43,float non adattato,0.5129055331184839,1.0,,,,,,,
bot->ton,43,intero non adattato,0.46472937395602415,1.0,0.8422359424382708,,,,,,
bot->ton,43,intero + guadagni interi n=8,,1.0,,8.0,,,,,
bot->ton,43,intero + guadagni float  n=32,0.8344171798889402,1.0,,32.0,8.0,0.8350978120959733,,,
bot->ton,43,intero + guadagni interi n=32,0.8629566000043256,1.0,,32.0,,0.8643029050898681,"[57, -238, -24, -38, -39, -137, 75, -97, 60, 94, 1334, 566]",0.0,6000.0
bot->ton,43,intero + guadagni float  n=128,0.8727176874957284,1.0,,128.0,23.0,0.8747326504581892,,,
bot->ton,43,intero + guadagni interi n=128,0.883380374633827,1.0,,128.0,,0.8847576194274093,"[55, -233, -29, 7, 2, -140, 91, -163, 111, 96, 1884, -18]",0.0,6000.0
bot->ton,44,float non adattato,0.5210033396670455,1.0,,,,,,,
bot->ton,44,intero non adattato,0.5376407212980384,1.0,0.8192169368327782,,,,,,
bot->ton,44,intero + guadagni float  n=8,0.8515331415302623,1.0,,8.0,2.0,0.849498172405466,,,
bot->ton,44,intero + guadagni interi n=8,0.8392973178020653,1.0,,8.0,,0.8359413303548685,"[52, -52, 112, 71, -190, 25, -232, -112, 128, -129, 929, 460]",0.0,6000.0
bot->ton,44,intero + guadagni float  n=32,0.7503450794418782,1.0,,32.0,8.0,0.7516210555119656,,,
bot->ton,44,intero + guadagni interi n=32,0.7223830318094848,1.0,,32.0,,0.7233912837310807,"[-13, -68, 71, 230, 0, 48, -183, -154, 102, -176, 1024, 261]",4255.0,6000.0
bot->ton,44,intero + guadagni float  n=128,0.8927693275839408,1.0,,128.0,20.0,0.8896206200724766,,,
bot->ton,44,intero + guadagni interi n=128,0.860209587323703,1.0,,128.0,,0.8567270599143881,"[-24, -101, 38, 112, -100, 52, -207, -79, 102, -31, 1024, 381]",2567.0,6000.0
bot->ton,45,float non adattato,0.560261097532957,1.0,,,,,,,
bot->ton,45,intero non adattato,0.45309191110448765,1.0,0.7505152978303,,,,,,
bot->ton,45,intero + guadagni float  n=8,0.7865878709448042,1.0,,8.0,2.0,0.7827598985923991,,,
bot->ton,45,intero + guadagni interi n=8,0.8355870226117719,1.0,,8.0,,0.8334290572763775,"[-66, -60, -118, 115, 136, 28, -158, 22, 256, 23, 831, -279]",6000.0,6000.0
bot->ton,45,intero + guadagni float  n=32,0.7995639641718203,1.0,,32.0,7.0,0.7989261904248133,,,
bot->ton,45,intero + guadagni interi n=32,0.8395339995516353,1.0,,32.0,,0.8361349866629997,"[-209, -256, -32, 124, -213, 1, -102, -231, 128, 83, 1001, -52]",295.0,6000.0
