src,dst,exp,seed,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
bot,ton,bot->ton,42,False,non adattato,0.7063761329582783,211043,0.0,0.212525409513701,0.8509130426035283,0.7630814573333397,,
bot,ton,bot->ton,42,False,8 etichette,,211043,0.0,0.212525409513701,,,8.0,0.0
bot,ton,bot->ton,42,False,32 etichette,0.8904441495461677,211043,0.0,0.212525409513701,,,32.0,6.0
bot,ton,bot->ton,42,False,rifit completo n=32,0.8586519779766393,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,42,False,128 etichette,0.9362582227652259,211043,0.0,0.212525409513701,,,128.0,32.0
bot,ton,bot->ton,42,False,rifit completo n=128,0.9511026916310485,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,42,True,non adattato,0.9925314540423386,733705,0.0,0.0,0.9991011572906585,0.9998705201681874,,
bot,unsw,bot->unsw,42,False,non adattato,0.44833279835325646,257673,0.0,0.0,0.39953209890255625,0.6390774353541117,,
bot,unsw,bot->unsw,42,False,8 etichette,0.7643414652213333,257673,0.0,0.0,,,8.0,3.0
bot,unsw,bot->unsw,42,False,rifit completo n=8,0.7493875355482371,257673,0.0,0.0,,,8.0,
bot,unsw,bot->unsw,42,False,32 etichette,0.7480880064406401,257673,0.0,0.0,,,32.0,8.0
bot,unsw,bot->unsw,42,False,rifit completo n=32,0.7247446122635017,257673,0.0,0.0,,,32.0,
bot,unsw,bot->unsw,42,False,128 etichette,0.7651752898813096,257673,0.0,0.0,,,128.0,48.0
bot,unsw,bot->unsw,42,False,rifit completo n=128,0.8000898134765748,257673,0.0,0.0,,,128.0,
bot,ton,bot->ton,43,False,non adattato,0.5522953996137677,211043,0.0,0.212525409513701,0.7916517718870115,0.7630814573333397,,
bot,ton,bot->ton,43,False,8 etichette,0.786168379613964,211043,0.0,0.212525409513701,,,8.0,2.0
bot,ton,bot->ton,43,False,rifit completo n=8,0.5768238999088084,211043,0.0,0.212525409513701,,,8.0,
bot,ton,bot->ton,43,False,32 etichette,0.9153620224863006,211043,0.0,0.212525409513701,,,32.0,7.0
bot,ton,bot->ton,43,False,rifit completo n=32,0.7444785537808702,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,43,False,128 etichette,0.9244333086016586,211043,0.0,0.212525409513701,,,128.0,20.0
bot,ton,bot->ton,43,False,rifit completo n=128,0.9520893379254955,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,43,True,non adattato,0.9938236937882526,733705,0.0,0.0,0.9988321487324042,0.9998705201681874,,
bot,unsw,bot->unsw,43,False,non adattato,0.46044339338783435,257673,0.0,0.0,0.40308752928335195,0.6390774353541117,,
bot,unsw,bot->unsw,43,False,8 etichette,0.6495552441827228,257673,0.0,0.0,,,8.0,2.0
bot,unsw,bot->unsw,43,False,rifit completo n=8,0.6826950322345401,257673,0.0,0.0,,,8.0,
bot,unsw,bot->unsw,43,False,32 etichette,0.7668775188844443,257673,0.0,0.0,,,32.0,8.0
bot,unsw,bot->unsw,43,False,rifit completo n=32,0.7548743040927244,257673,0.0,0.0,,,32.0,
bot,unsw,bot->unsw,43,False,128 etichette,0.7646781380038967,257673,0.0,0.0,,,128.0,54.0
bot,unsw,bot->unsw,43,False,rifit completo n=128,0.7875993997647395,257673,0.0,0.0,,,128.0,
bot,ton,bot->ton,44,False,non adattato,0.6250089950510112,211043,0.0,0.212525409513701,0.8112896663624001,0.7630814573333397,,
bot,ton,bot->ton,44,False,8 etichette,0.7389084156158396,211043,0.0,0.212525409513701,,,8.0,1.0
bot,ton,bot->ton,44,False,rifit completo n=8,0.5179751484321522,211043,0.0,0.212525409513701,,,8.0,
bot,ton,bot->ton,44,False,32 etichette,0.8368965502723542,211043,0.0,0.212525409513701,,,32.0,9.0
bot,ton,bot->ton,44,False,rifit completo n=32,0.8630556096048102,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,44,False,128 etichette,0.8951340020078388,211043,0.0,0.212525409513701,,,128.0,25.0
bot,ton,bot->ton,44,False,rifit completo n=128,0.9304533576593192,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,44,True,non adattato,0.9933575060318153,733705,0.0,0.0,0.9993220691619453,0.9998705201681874,,
bot,unsw,bot->unsw,44,False,non adattato,0.44927198800437934,257673,0.0,0.0,0.431908173278434,0.6390774353541117,,
bot,unsw,bot->unsw,44,False,8 etichette,,257673,0.0,0.0,,,8.0,0.0
bot,unsw,bot->unsw,44,False,32 etichette,0.7548510385517684,257673,0.0,0.0,,,32.0,11.0
bot,unsw,bot->unsw,44,False,rifit completo n=32,0.7727973347890229,257673,0.0,0.0,,,32.0,
bot,unsw,bot->unsw,44,False,128 etichette,0.7854149184570476,257673,0.0,0.0,,,128.0,55.0
bot,unsw,bot->unsw,44,False,rifit completo n=128,0.7919796483986564,257673,0.0,0.0,,,128.0,
unsw,ton,unsw->ton,43,False,non adattato,0.32676271157392744,211043,0.0,0.212525409513701,0.2581520701924331,0.7630814573333397,,
unsw,ton,unsw->ton,43,False,8 etichette,0.638043320499563,211043,0.0,0.212525409513701,,,8.0,2.0
unsw,ton,unsw->ton,43,False,rifit completo n=8,0.7778677642383178,211043,0.0,0.212525409513701,,,8.0,
unsw,ton,unsw->ton,43,False,32 etichette,0.6917137780973371,211043,0.0,0.212525409513701,,,32.0,7.0
unsw,ton,unsw->ton,43,False,rifit completo n=32,0.9544129532293684,211043,0.0,0.212525409513701,,,32.0,
unsw,ton,unsw->ton,43,False,128 etichette,0.7804274911567759,211043,0.0,0.212525409513701,,,128.0,20.0
unsw,ton,unsw->ton,43,False,rifit completo n=128,0.9666210244000667,211043,0.0,0.212525409513701,,,128.0,
unsw,bot,unsw->bot,43,False,non adattato,0.7097310429769392,200477,0.0,0.0,0.7695174056603774,0.9976206746908622,,
unsw,bot,unsw->bot,43,False,8 etichette,,200477,0.0,0.0,,,8.0,0.0
unsw,bot,unsw->bot,43,False,32 etichette,,200477,0.0,0.0,,,32.0,0.0
unsw,bot,unsw->bot,43,False,128 etichette,,200477,0.0,0.0,,,128.0,0.0
unsw,unsw,unsw->unsw,43,True,non adattato,0.8183680465432891,51535,0.0,0.0,0.9279212215001527,0.6390802367323178,,
unsw,ton,unsw->ton,44,False,non adattato,0.27986689946163446,211043,0.0,0.212525409513701,0.2371888372049701,0.7630814573333397,,
unsw,ton,unsw->ton,44,False,8 etichette,0.5563633961394794,211043,0.0,0.212525409513701,,,8.0,1.0
unsw,ton,unsw->ton,44,False,rifit completo n=8,0.5660280835215055,211043,0.0,0.212525409513701,,,8.0,
unsw,ton,unsw->ton,44,False,32 etichette,0.7741383499955343,211043,0.0,0.212525409513701,,,32.0,9.0
unsw,ton,unsw->ton,44,False,rifit completo n=32,0.833875361321093,211043,0.0,0.212525409513701,,,32.0,
unsw,ton,unsw->ton,44,False,128 etichette,0.8523175226236207,211043,0.0,0.212525409513701,,,128.0,25.0
unsw,ton,unsw->ton,44,False,rifit completo n=128,0.9401313901016619,211043,0.0,0.212525409513701,,,128.0,
unsw,bot,unsw->bot,44,False,non adattato,0.7212971331236897,200477,0.0,0.0,0.7676802777777779,0.9976206746908622,,
unsw,bot,unsw->bot,44,False,8 etichette,,200477,0.0,0.0,,,8.0,0.0
unsw,bot,unsw->bot,44,False,32 etichette,,200477,0.0,0.0,,,32.0,0.0
unsw,bot,unsw->bot,44,False,128 etichette,,200477,0.0,0.0,,,128.0,0.0
unsw,unsw,unsw->unsw,44,True,non adattato,0.8198368732155712,51535,0.0,0.0,0.9291136174054141,0.6390802367323178,,
