exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias,iters_used
ton->bot,50,intero + guadagni float  n=128,0.8640418568961603,,128.0,2.0,,,
ton->bot,50,intero + guadagni interi n=128,0.8608964700392827,,128.0,,"[211, 89, -228, 12, -305, -1024, -25, 58, -177, 90, 1024, -251]",4699.0,7900.0
ton->bot,51,float non adattato,0.5714091037735849,,,,,,
ton->bot,51,intero non adattato,0.49429846960167717,0.9984686522643496,,,,,
ton->bot,51,intero + guadagni float  n=8,0.4869890096702901,,8.0,2.0,,,
ton->bot,51,intero + guadagni interi n=8,0.5906426192785783,,8.0,,"[-184, 73, -512, 18, -154, -85, 62, 141, -242, 36, 546, 663]",134.0,3000.0
ton->bot,51,intero + guadagni float  n=32,0.6105157189573575,,32.0,11.0,,,
ton->bot,51,intero + guadagni interi n=32,0.7092235135332987,,32.0,,"[-387, 114, -213, -17, -175, -261, 13, 36, -65, 18, 549, 1009]",1004.0,9100.0
ton->bot,51,intero + guadagni float  n=128,0.8095558089087269,,128.0,17.0,,,
ton->bot,51,intero + guadagni interi n=128,0.5863037518431425,,128.0,,"[-512, 82, -117, -39, -164, -264, 63, 72, -263, 56, 400, -265]",0.0,10900.0
bot->ton,42,float non adattato,0.590449634569649,,,,,,
bot->ton,42,intero non adattato,0.6640593029190961,0.7793909298105125,,,,,
bot->ton,42,intero + guadagni float  n=8,0.7103565733195472,,8.0,2.0,,,
bot->ton,42,intero + guadagni interi n=8,0.597949650767938,,8.0,,"[78, 228, 198, 101, 66, 1210, 654, -232, 90, 452, -208, -468]",4108.0,6700.0
bot->ton,42,intero + guadagni float  n=32,0.844167785201534,,32.0,5.0,,,
bot->ton,42,intero + guadagni interi n=32,0.8306832723442266,,32.0,,"[128, 57, 127, 80, -53, 65, -216, -105, 128, 170, 1024, -116]",0.0,4700.0
bot->ton,42,intero + guadagni float  n=128,0.8842107561087548,,128.0,27.0,,,
bot->ton,42,intero + guadagni interi n=128,0.8814826329489662,,128.0,,"[-11, -10, 9, 37, 53, -9, -171, -167, 128, 92, 1024, -205]",0.0,4200.0
bot->ton,43,float non adattato,0.7105053078991326,,,,,,
bot->ton,43,intero non adattato,0.7666631183596928,0.8664205872736835,,,,,
bot->ton,43,intero + guadagni interi n=8,,,8.0,,,,
bot->ton,43,intero + guadagni float  n=32,0.868937449414551,,32.0,7.0,,,
bot->ton,43,intero + guadagni interi n=32,0.8606393318719119,,32.0,,"[12, 63, 33, 179, 4, -91, -66, -88, 115, 52, 839, -719]",2531.0,3700.0
bot->ton,43,intero + guadagni float  n=128,0.8627952381790461,,128.0,28.0,,,
bot->ton,43,intero + guadagni interi n=128,0.8729105778094708,,128.0,,"[33, 33, 19, 13, 43, -205, -131, -667, 128, 118, 1093, -725]",77.0,5900.0
bot->ton,44,float non adattato,0.49563425904882547,,,,,,
bot->ton,44,intero non adattato,0.6802687120831082,0.710755627999981,,,,,
bot->ton,44,intero + guadagni float  n=8,0.6666879901099352,,8.0,1.0,,,
bot->ton,44,intero + guadagni interi n=8,0.7091195731115496,,8.0,,"[50, 63, 153, -101, -78, -206, 4, 41, 101, -31, 806, 44185]",5700.0,5700.0
bot->ton,44,intero + guadagni float  n=32,0.726082840766457,,32.0,6.0,,,
bot->ton,44,intero + guadagni interi n=32,0.7595952606868268,,32.0,,"[-81, 87, 157, -113, 26, -40, 388, -512, 250, 128, 758, -394]",4000.0,4000.0
bot->ton,44,intero + guadagni float  n=128,0.8355870719990858,,128.0,20.0,,,
bot->ton,44,intero + guadagni interi n=128,0.8441689183828998,,128.0,,"[-1, -50, 109, 2, 54, -8, 158, -102, 110, 128, 666, -492]",5161.0,5800.0
bot->ton,45,float non adattato,0.5778067830951982,,,,,,
bot->ton,45,intero non adattato,0.6485182648112615,0.8757741313381633,,,,,
bot->ton,45,intero + guadagni float  n=8,0.7262379198385208,,8.0,2.0,,,
bot->ton,45,intero + guadagni interi n=8,0.7854044488350447,,8.0,,"[-14, -34, -10, -95, 27, -57, -55, 66, 28, -4, 2048, 185]",4600.0,4600.0
bot->ton,45,intero + guadagni float  n=32,0.7268770412086071,,32.0,2.0,,,
bot->ton,45,intero + guadagni interi n=32,0.7849424213409073,,32.0,,"[1, 33, 23, -108, 7, -46, 10, -87, -11, 39, 1810, -32]",8100.0,8100.0
bot->ton,45,intero + guadagni float  n=128,0.7772983228715318,,128.0,6.0,,,
bot->ton,45,intero + guadagni interi n=128,0.7865616996876297,,128.0,,"[-8, 35, -6, -85, -3, 19, -16, -135, -11, 53, 1388, -38]",786.0,6200.0
bot->ton,46,float non adattato,0.6121975759890216,,,,,,
bot->ton,46,intero non adattato,0.743978347149519,0.7450709097198202,,,,,
bot->ton,46,intero + guadagni float  n=8,0.73506413091326,,8.0,1.0,,,
bot->ton,46,intero + guadagni interi n=8,0.7849761948789735,,8.0,,"[-22, -20, 73, -91, -16, 11, 11, -58, 27, 37, 2048, -169]",5900.0,5900.0
bot->ton,46,intero + guadagni float  n=32,0.563909299175934,,32.0,3.0,,,
bot->ton,46,intero + guadagni interi n=32,0.6179368635594976,,32.0,,"[-81, 24, 41, -78, 24, -2, 161, -539, -7, 59, 1584, 655]",164.0,6400.0
bot->ton,46,intero + guadagni float  n=128,0.6156671244419304,,128.0,6.0,,,
bot->ton,46,intero + guadagni interi n=128,0.6310239244729651,,128.0,,"[-113, -12, 55, 119, -128, 96, 54, -241, 15, 91, 1610, 1700]",201.0,12800.0
bot->ton,47,float non adattato,0.6087325486981737,,,,,,
bot->ton,47,intero non adattato,0.7560879239706165,0.6945646147941414,,,,,
bot->ton,47,intero + guadagni float  n=8,0.7701537316881188,,8.0,2.0,,,
bot->ton,47,intero + guadagni interi n=8,0.7807510886474692,,8.0,,"[-36, 206, 44, -63, -9, -8, -124, -203, 200, 89, 1712, -129]",6070.0,6200.0
bot->ton,47,intero + guadagni float  n=32,0.8399455624814688,,32.0,7.0,,,
bot->ton,47,intero + guadagni interi n=32,0.6808463403609815,,32.0,,"[33, 136, 148, -122, 30, -158, -2, -174, 108, 57, -73, -1414]",43.0,5800.0
bot->ton,47,intero + guadagni float  n=128,0.8153524161402803,,128.0,24.0,,,
bot->ton,47,intero + guadagni interi n=128,0.8579815603631487,,128.0,,"[31, 94, 104, -21, 77, -50, 98, -185, 128, 48, 914, -1318]",3189.0,6700.0
bot->ton,48,float non adattato,0.5512176487646157,,,,,,
bot->ton,48,intero non adattato,0.63778724042647,0.7349355344645404,,,,,
bot->ton,48,intero + guadagni float  n=8,0.7359094413539715,,8.0,5.0,,,
