exp,non adattato,8 etichette,32 etichette,128 etichette,rifit completo n=8,rifit completo n=32,rifit completo n=128
bot->bot,0.9931,,,,,,
bot->cic,0.4359,0.7521,0.7904,0.868,0.79,0.871,0.9267
bot->ton,0.5158,0.724,0.8167,0.8533,0.62,0.8359,0.8911
cic->bot,0.2597,0.776,0.8703,0.6844,0.6376,0.6907,0.6612
cic->cic,0.9906,,,,,,
cic->ton,0.5644,0.5704,0.6824,0.7432,0.634,0.8302,0.9208
ton->bot,0.6313,0.7195,0.5823,0.5995,0.5537,0.5379,0.5387
ton->cic,0.4462,0.7339,0.7979,0.9137,0.7745,0.8577,0.9334
ton->ton,0.9613,,,,,,
