exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,guadagni_q15,bias,iters_used
bot->ton,42,float non adattato,0.6803247908943574,100.0,,,,,,
bot->ton,42,intero non adattato,0.7032335569382091,100.0,0.7607027951649664,,,,,
bot->ton,42,intero + guadagni float  n=8,0.7746757054457657,100.0,,8.0,3.0,,,
bot->ton,42,intero + guadagni interi n=8,0.8115370840331866,100.0,,8.0,,"[256, 142, 90, -24, 92, 181, 255, -309, 117, 68, 962, -591]",57.0,6000.0
bot->ton,42,intero + guadagni float  n=32,0.8567757741682589,100.0,,32.0,7.0,,,
bot->ton,42,intero + guadagni interi n=32,0.8627006943798647,100.0,,32.0,,"[141, 173, -56, 89, -25, -43, -380, -512, 256, 128, 860, -1094]",5885.0,6000.0
bot->ton,42,intero + guadagni float  n=128,0.8665124368535904,100.0,,128.0,27.0,,,
bot->ton,42,intero + guadagni interi n=128,0.8575498142336325,100.0,,128.0,,"[50, 118, 5, 119, 66, 4, 7, -420, 128, 71, 1431, -378]",37.0,6000.0
bot->ton,43,float non adattato,0.7311060098234633,100.0,,,,,,
bot->ton,43,intero non adattato,0.7196791308532504,100.0,0.7508754140151533,,,,,
bot->ton,43,intero + guadagni interi n=8,,100.0,,8.0,,,,
bot->ton,43,intero + guadagni interi n=32,,100.0,,32.0,,,,
bot->ton,43,intero + guadagni interi n=128,,100.0,,128.0,,,,
bot->ton,44,float non adattato,0.7015012016666357,100.0,,,,,,
bot->ton,44,intero non adattato,0.7329542748210105,100.0,0.7716626469487261,,,,,
bot->ton,44,intero + guadagni interi n=8,,100.0,,8.0,,,,
bot->ton,44,intero + guadagni float  n=32,0.8678523748981064,100.0,,32.0,9.0,,,
bot->ton,44,intero + guadagni interi n=32,0.7359579346068406,100.0,,32.0,,"[28, 186, 168, 102, 42, -22, 28, -512, 104, 102, 1297, 461]",2913.0,6000.0
bot->ton,44,intero + guadagni float  n=128,0.8607488420154532,100.0,,128.0,28.0,,,
bot->ton,44,intero + guadagni interi n=128,0.8543353583910323,100.0,,128.0,,"[51, 65, 67, 193, -18, 4, -57, -256, 128, 83, 1146, 114]",5984.0,6000.0
bot->ton,45,float non adattato,0.6745718400675595,100.0,,,,,,
bot->ton,45,intero non adattato,0.7678812713995641,100.0,0.7647161952777396,,,,,
bot->ton,45,intero + guadagni float  n=8,0.4275479974191252,100.0,,8.0,1.0,,,
bot->ton,45,intero + guadagni interi n=8,0.48554876143599524,100.0,,8.0,,"[-128, 256, 74, 256, -79, 4096, 1024, 784, -86, -256, 613, -38456]",5607.0,6000.0
bot->ton,45,intero + guadagni float  n=32,0.5512658869082089,100.0,,32.0,9.0,,,
bot->ton,45,intero + guadagni interi n=32,0.5548789560285055,100.0,,32.0,,"[52, 16, 91, 120, 6, 73, 327, 12, -11, 10, 922, -101]",0.0,6000.0
bot->ton,45,intero + guadagni float  n=128,0.8653268795245114,100.0,,128.0,29.0,,,
bot->ton,45,intero + guadagni interi n=128,0.8575108003814297,100.0,,128.0,,"[66, 14, 111, 167, 25, 61, 51, -133, 36, 16, 1683, -364]",0.0,6000.0
bot->ton,46,float non adattato,0.600930889017219,100.0,,,,,,
bot->ton,46,intero non adattato,0.6325172994790211,100.0,0.9013945025421359,,,,,
bot->ton,46,intero + guadagni float  n=8,0.7837048274535624,100.0,,8.0,1.0,,,
bot->ton,46,intero + guadagni interi n=8,0.7799272515915556,100.0,,8.0,,"[6, 78, 80, -141, -20, -7, -44, -294, 115, 49, 913, -511]",6000.0,6000.0
bot->ton,46,intero + guadagni float  n=32,0.8646367869597705,100.0,,32.0,11.0,,,
bot->ton,46,intero + guadagni interi n=32,0.8653294189378666,100.0,,32.0,,"[44, 256, 57, 26, -49, 153, -73, -504, 128, 44, 848, -1767]",853.0,6000.0
bot->ton,46,intero + guadagni float  n=128,0.8521842301335574,100.0,,128.0,34.0,,,
bot->ton,46,intero + guadagni interi n=128,0.8489538448528113,100.0,,128.0,,"[89, 180, 62, 151, -51, -75, -87, -128, 128, 80, 718, -985]",4154.0,6000.0
bot->ton,47,float non adattato,0.6147585984488615,100.0,,,,,,
bot->ton,47,intero non adattato,0.6385212780437524,100.0,0.8714764289741901,,,,,
bot->ton,47,intero + guadagni interi n=8,,100.0,,8.0,,,,
bot->ton,47,intero + guadagni interi n=32,,100.0,,32.0,,,,
bot->ton,47,intero + guadagni float  n=128,0.7809841489108519,100.0,,128.0,3.0,,,
bot->ton,47,intero + guadagni interi n=128,0.730384537846255,100.0,,128.0,,"[27, -65, -165, -199, -64, 113, -159, 39, 105, 34, 1024, -288]",1280.0,6000.0
bot->ton,48,float non adattato,0.7235244315493378,100.0,,,,,,
bot->ton,48,intero non adattato,0.7316684260725397,100.0,0.8101240031652317,,,,,
bot->ton,48,intero + guadagni interi n=8,,100.0,,8.0,,,,
bot->ton,48,intero + guadagni float  n=32,0.6735456725465434,100.0,,32.0,6.0,,,
bot->ton,48,intero + guadagni interi n=32,0.6671854480204827,100.0,,32.0,,"[58, -27, 109, 8, 1, 23, 126, -512, 128, 106, 467, -982]",5760.0,6000.0
bot->ton,48,intero + guadagni float  n=128,0.6756846705604369,100.0,,128.0,19.0,,,
bot->ton,48,intero + guadagni interi n=128,0.675489816357514,100.0,,128.0,,"[49, -104, 181, -18, 68, 8, 79, -512, 122, 122, 892, -833]",4321.0,6000.0
bot->ton,49,float non adattato,0.6284971271026993,100.0,,,,,,
bot->ton,49,intero non adattato,0.6795506544835851,100.0,0.8548637007624039,,,,,
bot->ton,49,intero + guadagni interi n=8,,100.0,,8.0,,,,
bot->ton,49,intero + guadagni float  n=32,0.7861685623357151,100.0,,32.0,4.0,,,
bot->ton,49,intero + guadagni interi n=32,0.8056990741913144,100.0,,32.0,,"[63, 62, 143, -99, 43, -8, -430, -512, 128, 256, 587, -60]",16.0,6000.0
bot->ton,49,intero + guadagni float  n=128,0.8629316216865544,100.0,,128.0,18.0,,,
bot->ton,49,intero + guadagni interi n=128,0.8611310687445275,100.0,,128.0,,"[46, -57, 41, 84, 30, -26, -148, -256, 103, 128, 1267, -292]",782.0,6000.0
