exp,non adattato,8 etichette,32 etichette,128 etichette,rifit completo n=8,rifit completo n=32,rifit completo n=128
bot->bot,0.9945,,,,,,
bot->ton,0.6496,0.7753,0.8681,0.8538,0.681,0.8594,0.9002
bot->unsw,0.4645,0.6126,0.7076,0.7582,0.6341,0.727,0.7746
