exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
ton->unsw,0.053,0.9221,0.8684,0.9111,0.8179,0.859,0.9233,0.9233
ton->unsw,0.105,0.8442,0.8639,0.8694,0.8218,0.8553,0.877,0.877
ton->unsw,0.158,0.8154,0.8279,0.8306,0.7838,0.8195,0.8312,0.8312
ton->unsw,0.211,0.7749,0.7836,0.7938,0.7733,0.7797,0.7864,0.7864
ton->unsw,0.263,0.7388,0.7557,0.7655,0.7511,0.7524,0.7465,0.7465
ton->unsw,0.316,0.7014,0.7162,0.7296,0.7228,0.7267,0.7042,0.7042
ton->unsw,0.368,0.6635,0.689,0.7012,0.6786,0.6776,0.6637,0.6637
ton->unsw,0.421,0.6248,0.6599,0.672,0.6674,0.6766,0.6231,0.6231
ton->unsw,0.474,0.5922,0.635,0.6424,0.6472,0.6589,0.5854,0.5854
ton->unsw,0.526,0.5584,0.6097,0.6244,0.6465,0.6353,0.5467,0.5467
ton->unsw,0.579,0.5254,0.6096,0.6088,0.643,0.6324,0.5073,0.5073
ton->unsw,0.632,0.4934,0.6206,0.5963,0.611,0.6177,0.4716,0.4716
ton->unsw,0.684,0.4661,0.636,0.6104,0.6167,0.6139,0.4324,0.4324
ton->unsw,0.737,0.4373,0.6591,0.6033,0.6324,0.6268,0.3985,0.3985
ton->unsw,0.789,0.407,0.6889,0.675,0.6446,0.6244,0.3639,0.3639
ton->unsw,0.842,0.3771,0.6914,0.6927,0.608,0.5994,0.3277,0.3277
ton->unsw,0.895,0.3785,0.7117,0.7033,0.6075,0.5996,0.292,0.292
ton->unsw,0.947,0.3527,0.7275,0.7081,0.6294,0.6246,0.258,0.258
ton->unsw,1.0,0.3277,0.7459,0.7312,0.6672,0.6586,0.2241,0.2241
unsw->bot,0.0,0.8179,0.8179,0.8179,0.8179,0.8179,0.8179,0.8179
unsw->bot,0.053,0.8153,0.7783,0.7846,0.784,0.7892,0.8153,0.8153
unsw->bot,0.105,0.8085,0.8008,0.7933,0.7976,0.7987,0.8085,0.8085
unsw->bot,0.158,0.8044,0.8168,0.8123,0.8088,0.8104,0.8044,0.8044
unsw->bot,0.211,0.7973,0.8267,0.8255,0.8062,0.7957,0.7973,0.7973
unsw->bot,0.263,0.7916,0.8387,0.8363,0.8198,0.8173,0.7916,0.7916
unsw->bot,0.316,0.7879,0.8448,0.8501,0.822,0.8181,0.7879,0.7879
unsw->bot,0.368,0.7839,0.8516,0.8511,0.8219,0.8224,0.7839,0.7839
unsw->bot,0.421,0.7807,0.8593,0.8614,0.8266,0.8253,0.7807,0.7807
unsw->bot,0.474,0.7756,0.8676,0.8675,0.8288,0.8287,0.7756,0.7756
