metodo,bot->ton,bot->unsw,ton->bot,ton->unsw,unsw->bot,unsw->ton
float non adattato,0.5714,0.4003,0.474,0.2163,0.7274,0.2999
intero + guadagni float  n=128,0.8429,0.5728,0.833,0.6673,0.7028,0.7844
intero + guadagni float  n=32,0.8133,0.5503,0.7974,0.7452,0.7559,0.7681
intero + guadagni float  n=8,0.7873,0.5335,0.7087,0.5627,,0.5996
intero + guadagni interi n=128,0.8476,0.6054,0.8189,0.6651,0.72,0.7459
intero + guadagni interi n=32,0.787,0.6191,0.7476,0.7268,0.8047,0.7481
intero + guadagni interi n=8,0.8014,0.5631,0.6839,0.576,,0.6484
intero non adattato,0.4694,0.5434,0.4443,0.4435,0.4091,0.4168
