exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
bot->ton,42,statico,0,0.0,0.9909,0,0,False,0.0453,100.0
bot->ton,42,ogni_batch,0,0.0,0.9909,0,0,False,0.0453,100.0
bot->ton,42,su_innesco,0,0.0,0.9909,0,0,False,0.0453,100.0
bot->ton,42,oracolo,0,0.0,0.9909,0,0,False,0.0453,100.0
bot->ton,42,stat_13x13,0,0.0,0.9909,0,0,False,0.0453,100.0
bot->ton,42,martingala,0,0.0,0.9909,0,0,False,0.0453,100.0
bot->ton,42,stat_13x13_adaptive,0,0.0,0.9909,0,0,False,0.0453,100.0
bot->ton,42,statico,1,0.053,0.9684156006846498,0,0,False,0.07465,100.0
bot->ton,42,ogni_batch,1,0.053,0.9684156006846498,1,32,False,0.07465,100.0
bot->ton,42,su_innesco,1,0.053,0.9684156006846498,0,0,False,0.07465,100.0
bot->ton,42,oracolo,1,0.053,0.9684156006846498,1,32,False,0.07465,100.0
bot->ton,42,stat_13x13,1,0.053,0.5,1,32,False,0.07465,100.0
bot->ton,42,martingala,1,0.053,0.9684156006846498,0,0,False,0.07465,100.0
bot->ton,42,stat_13x13_adaptive,1,0.053,0.5,1,32,False,0.07465,100.0
bot->ton,42,statico,2,0.105,0.9631080464337417,0,0,False,0.1091,100.0
bot->ton,42,ogni_batch,2,0.105,0.9631080464337417,2,64,False,0.1091,100.0
bot->ton,42,su_innesco,2,0.105,0.9631080464337417,0,0,False,0.1091,100.0
bot->ton,42,oracolo,2,0.105,0.9432290756301991,2,64,False,0.1091,100.0
bot->ton,42,stat_13x13,2,0.105,0.5740023157309648,2,64,False,0.1091,100.0
bot->ton,42,martingala,2,0.105,0.9631080464337417,1,32,False,0.1091,100.0
bot->ton,42,stat_13x13_adaptive,2,0.105,0.5869172039363848,2,64,False,0.1091,100.0
bot->ton,42,statico,3,0.158,0.9442029874751277,0,0,False,0.1417,100.0
bot->ton,42,ogni_batch,3,0.158,0.5604190088754384,3,96,False,0.1417,100.0
bot->ton,42,su_innesco,3,0.158,0.9442029874751277,0,0,False,0.1417,100.0
bot->ton,42,oracolo,3,0.158,0.938512794602465,3,96,False,0.1417,100.0
