exp,non adattato,8 etichette,32 etichette,128 etichette,rifit completo n=8,rifit completo n=32,rifit completo n=128
bot->bot,0.9947,,,,,,
bot->ton,0.5797,0.7491,0.8413,0.8835,0.594,0.836,0.9381
bot->unsw,0.3951,0.6897,0.7437,0.7689,0.6695,0.7557,0.7918
ton->bot,0.476,0.7131,0.7337,0.7612,0.7603,0.7445,0.7665
ton->ton,0.9704,,,,,,
ton->unsw,0.2181,0.6793,0.7262,0.7403,0.6772,0.7294,0.7641
unsw->bot,0.7377,,,0.76,,,0.5357
unsw->ton,0.3055,0.63,0.782,0.8226,0.7211,0.8495,0.8811
unsw->unsw,0.8162,,,,,,
