exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
ton->bot,42,stat_13x13_adaptive,8,0.421,0.9482475690014638,8,256,False,0.091,3.0
ton->bot,42,statico,9,0.474,0.8276843826357795,0,0,False,0.10225,3.0
ton->bot,42,ogni_batch,9,0.474,0.9510332135841064,9,288,False,0.10225,3.0
ton->bot,42,su_innesco,9,0.474,0.8276843826357795,0,0,False,0.10225,3.0
ton->bot,42,oracolo,9,0.474,0.9635067143729936,9,288,False,0.10225,3.0
ton->bot,42,stat_13x13,9,0.474,0.9470565191313056,9,288,False,0.10225,3.0
ton->bot,42,martingala,9,0.474,0.9563531823781594,3,96,False,0.10225,3.0
ton->bot,42,stat_13x13_adaptive,9,0.474,0.9560586743942785,9,288,False,0.10225,3.0
ton->bot,42,statico,10,0.526,0.8178244842462181,0,0,False,0.11275,3.0
ton->bot,42,ogni_batch,10,0.526,0.9502857428877632,10,320,False,0.11275,3.0
ton->bot,42,su_innesco,10,0.526,0.8178244842462181,0,0,False,0.11275,3.0
ton->bot,42,oracolo,10,0.526,0.967054213303407,10,320,False,0.11275,3.0
ton->bot,42,stat_13x13,10,0.526,0.95917564132909,10,320,False,0.11275,3.0
ton->bot,42,martingala,10,0.526,0.9586850616709242,4,128,False,0.11275,3.0
ton->bot,42,stat_13x13_adaptive,10,0.526,0.9587685146019523,10,320,False,0.11275,3.0
ton->bot,42,statico,11,0.579,0.8018258162897607,0,0,False,0.1191,3.0
ton->bot,42,ogni_batch,11,0.579,0.9503289928312443,11,352,False,0.1191,3.0
ton->bot,42,su_innesco,11,0.579,0.8018258162897607,0,0,False,0.1191,3.0
ton->bot,42,oracolo,11,0.579,0.9468863272869688,11,352,False,0.1191,3.0
ton->bot,42,stat_13x13,11,0.579,0.948682622293886,11,352,False,0.1191,3.0
ton->bot,42,martingala,11,0.579,0.9654668270874038,5,160,False,0.1191,3.0
ton->bot,42,stat_13x13_adaptive,11,0.579,0.9508053956073812,11,352,False,0.1191,3.0
ton->bot,42,statico,12,0.632,0.7923577629262202,0,0,False,0.1238,3.0
ton->bot,42,ogni_batch,12,0.632,0.9648127599010191,12,384,False,0.1238,3.0
ton->bot,42,su_innesco,12,0.632,0.7923577629262202,0,0,False,0.1238,3.0
ton->bot,42,oracolo,12,0.632,0.9551764644416693,12,384,False,0.1238,3.0
ton->bot,42,stat_13x13,12,0.632,0.9632678899192317,12,384,False,0.1238,3.0
ton->bot,42,martingala,12,0.632,0.9627280165338661,6,192,False,0.1238,3.0
ton->bot,42,stat_13x13_adaptive,12,0.632,0.9600765498624144,12,384,False,0.1238,3.0
ton->bot,42,statico,13,0.684,0.7770309246689169,0,0,True,0.13675,3.0
ton->bot,42,ogni_batch,13,0.684,0.9572301496940612,13,416,True,0.13675,3.0
ton->bot,42,su_innesco,13,0.684,0.7770309246689169,0,0,True,0.13675,3.0
ton->bot,42,oracolo,13,0.684,0.955009013567472,13,416,True,0.13675,3.0
ton->bot,42,stat_13x13,13,0.684,0.9551509532617914,13,416,True,0.13675,3.0
ton->bot,42,martingala,13,0.684,0.9582205524925029,7,224,True,0.13675,3.0
ton->bot,42,stat_13x13_adaptive,13,0.684,0.9513974890168118,13,416,True,0.13675,3.0
ton->bot,42,statico,14,0.737,0.7611357608382372,0,0,True,0.14375,3.0
ton->bot,42,ogni_batch,14,0.737,0.9680892641482196,14,448,True,0.14375,3.0
ton->bot,42,su_innesco,14,0.737,0.5936113138475019,1,32,True,0.14375,3.0
ton->bot,42,oracolo,14,0.737,0.9616335282788342,14,448,True,0.14375,3.0
ton->bot,42,stat_13x13,14,0.737,0.9556752580508703,14,448,True,0.14375,3.0
ton->bot,42,martingala,14,0.737,0.9672853046771663,8,256,True,0.14375,3.0
ton->bot,42,stat_13x13_adaptive,14,0.737,0.9563160783007902,14,448,True,0.14375,3.0
ton->bot,42,statico,15,0.789,0.7473147025275997,0,0,True,0.15085,3.0
ton->bot,42,ogni_batch,15,0.789,0.9697136857127757,15,480,True,0.15085,3.0
ton->bot,42,su_innesco,15,0.789,0.9543254925171493,2,64,True,0.15085,3.0
ton->bot,42,oracolo,15,0.789,0.9529319686167563,15,480,True,0.15085,3.0
ton->bot,42,stat_13x13,15,0.789,0.9321774833509127,15,480,True,0.15085,3.0
ton->bot,42,martingala,15,0.789,0.9739744427473682,9,288,True,0.15085,3.0
ton->bot,42,stat_13x13_adaptive,15,0.789,0.9547932402953979,15,480,True,0.15085,3.0
ton->bot,42,statico,16,0.842,0.7405380370495926,0,0,True,0.15865,3.0
ton->bot,42,ogni_batch,16,0.842,0.9720672787344793,16,512,True,0.15865,3.0
ton->bot,42,su_innesco,16,0.842,0.9105097040324529,3,96,True,0.15865,3.0
