model,mega_over_c3_time,mega_over_c3_energy
coeff,267.62014090321253,563.2113969428989
lut,67.58446863171083,144.38225848804998
mlp,67.63915311339319,141.79266737411436
kanml,225.5885215069088,460.85531832059115
dt5,21.301812034511748,45.183532462123935
