seed,winner_ratio,winner_mean_ba,ratio5_mean_ba,ratio5_gap_to_best,ties,mean_ba_ratio5,mean_ba_ratio10,mean_ba_ratio20,mean_ba_ratio50,mean_ba_ratio100
42,5.0,0.9653669204063673,0.9653669204063673,0.0,5.0,0.9653669204063673,0.9605305957259282,0.9614824280199885,0.9556218625303132,0.9498761181837992
43,5.0,0.9738614317355422,0.9738614317355422,0.0,5.0,0.9738614317355422,0.9719413539375854,0.9682183204395228,0.9625116692423126,0.9501422781241554
44,5.0,0.9743278870132207,0.9743278870132207,0.0,5.0,0.9743278870132207,0.971550939186792,0.9674762175972035,0.9557602742437595,0.9518401779211068
45,5.0,0.9738217033720745,0.9738217033720745,0.0,5.0,0.9738217033720745,0.9723985296427622,0.9714773839259222,0.9640855999091029,0.9510734001894265
46,5.0,0.9796675072411489,0.9796675072411489,0.0,5.0,0.9796675072411489,0.9786550232575459,0.9761039224126851,0.9583786693307466,0.9580292741051267
47,5.0,0.9730915960763419,0.9730915960763419,0.0,5.0,0.9730915960763419,0.9708915551422899,0.9668635219349333,0.9542529039777592,0.9519652159370614
48,5.0,0.9773319976711384,0.9773319976711384,0.0,5.0,0.9773319976711384,0.9734014074576962,0.9531551160500595,0.9724775594318333,0.9567368116506353
49,5.0,0.9724479167926973,0.9724479167926973,0.0,5.0,0.9724479167926973,0.9694753005546132,0.9673245542366378,0.9540351613723977,0.9539144478632047
50,5.0,0.9738090916127012,0.9738090916127012,0.0,5.0,0.9738090916127012,0.9675701003068208,0.959695799538039,0.953318259578377,0.943433150930578
51,5.0,0.968246814426338,0.968246814426338,0.0,5.0,0.968246814426338,0.9655481410209514,0.964834315328005,0.9615226741022859,0.9559796647670561
