ratio,n,mean_ba,historical_mean_ba_rounded_4,sample_sd
5.0,120,0.973197286634757,0.9732,0.022822488550555707
10.0,120,0.9701962946232985,0.9702,0.024313280057338998
20.0,120,0.9656631579482997,0.9657,0.031911302612374466
50.0,120,0.9591964633718888,0.9592,0.04303968687276642
100.0,120,0.952299053967215,0.9523,0.05634419560657954
